movie_name,movie_idx,conversation_id,utterance_id,timestamp,turn_index,utterance_order,speaker_id,speaker_name,reply_to,listener_id,listener_name,current_turn,current_text,context_text,relationship_type,global_category,confidence,evidence,status,parse_success,error,raw_response
dead poets society,,L157213,L157213,,0,0,u4786,NOLAN,,,,"NOLAN: Welcome. back, Mr. Dalton. How's your father?","Welcome. back, Mr. Dalton. How's your father?",,teacher_student_authority,authority,0.85,"Nolan addresses the listener as 'Mr. Dalton' and welcomes him back, which reflects the formal, institutional tone of a teacher or administrator toward a student.",success,True,,"{
  ""relationship_type"": ""teacher_student_authority"",
  ""confidence"": 0.85,
  ""evidence"": ""Nolan addresses the listener as 'Mr. Dalton' and welcomes him back, which reflects the formal, institutional tone of a teacher or administrator toward a student.""
}"
dead poets society,,L157213,L157214,,1,1,u4776,CHARLIE,,u4786,NOLAN,"CHARLIE: Doing fine, sir.","Doing fine, sir.","NOLAN: Welcome. back, Mr. Dalton. How's your father?",teacher_student_authority,authority,0.92,"The speaker addresses the listener as 'sir' and is addressed formally as 'Mr. Dalton,' reflecting a school-based institutional authority relationship.",success,True,,"{
  ""relationship_type"": ""teacher_student_authority"",
  ""confidence"": 0.92,
  ""evidence"": ""The speaker addresses the listener as 'sir' and is addressed formally as 'Mr. Dalton,' reflecting a school-based institutional authority relationship.""
}"
dead poets society,,L157213,L157215,,2,2,u4786,NOLAN,,u4776,CHARLIE,"NOLAN: Your family move into that new house, Mr. Overstreet?","Your family move into that new house, Mr. Overstreet?","NOLAN: Welcome. back, Mr. Dalton. How's your father?
CHARLIE: Doing fine, sir.",teacher_student_authority,authority,0.95,"The speaker uses formal titles like 'Mr. Dalton' and 'Mr. Overstreet' while the listener responds with 'sir', identifying a school-based institutional authority relation.",success,True,,"{
  ""relationship_type"": ""teacher_student_authority"",
  ""confidence"": 0.95,
  ""evidence"": ""The speaker uses formal titles like 'Mr. Dalton' and 'Mr. Overstreet' while the listener responds with 'sir', identifying a school-based institutional authority relation.""
}"
dead poets society,,L157225,L157225,,0,0,u4785,NEIL,,,,NEIL: I hear we're going to be roommates. Neil Perry.,I hear we're going to be roommates. Neil Perry.,,peer_friend,friendship,0.85,"Neil identifies the listener as his future roommate, establishing a peer relationship between two students.",success,True,,"{
  ""relationship_type"": ""peer_friend"",
  ""confidence"": 0.85,
  ""evidence"": ""Neil identifies the listener as his future roommate, establishing a peer relationship between two students.""
}"
dead poets society,,L157225,L157226,,1,1,u4788,TODD,,u4785,NEIL,TODD: Todd Anderson.,Todd Anderson.,NEIL: I hear we're going to be roommates. Neil Perry.,peer_friend,friendship,0.9,"The speaker and listener are identified as future roommates, establishing a peer relationship among students.",success,True,,"{
  ""relationship_type"": ""peer_friend"",
  ""confidence"": 0.9,
  ""evidence"": ""The speaker and listener are identified as future roommates, establishing a peer relationship among students.""
}"
dead poets society,,L157227,L157227,,0,0,u4785,NEIL,,,,NEIL: Why'd you leave Balincrest?,Why'd you leave Balincrest?,,unclear,unclear,0.95,The turn consists of a single question regarding the listener's past school with no prior context or identifiable listener role to establish a relationship.,success,True,,"{
  ""relationship_type"": ""unclear"",
  ""confidence"": 0.95,
  ""evidence"": ""The turn consists of a single question regarding the listener's past school with no prior context or identifiable listener role to establish a relationship.""
}"
dead poets society,,L157227,L157228,,1,1,u4788,TODD,,u4785,NEIL,TODD: My brother went here.,My brother went here.,NEIL: Why'd you leave Balincrest?,peer_friend,friendship,0.85,"The characters are discussing their school backgrounds in a casual manner, suggesting they are fellow students and peers.",success,True,,"{
  ""relationship_type"": ""peer_friend"",
  ""confidence"": 0.85,
  ""evidence"": ""The characters are discussing their school backgrounds in a casual manner, suggesting they are fellow students and peers.""
}"
dead poets society,,L157227,L157229,,2,2,u4785,NEIL,,u4788,TODD,"NEIL: Oh, so you're that Anderson.","Oh, so you're that Anderson.","NEIL: Why'd you leave Balincrest?
TODD: My brother went here.",peer_friend,friendship,0.92,"The speaker and listener are students of similar status discussing their school backgrounds in a casual manner, which aligns with the priority rule for student-to-student interactions.",success,True,,"{
  ""relationship_type"": ""peer_friend"",
  ""confidence"": 0.92,
  ""evidence"": ""The speaker and listener are students of similar status discussing their school backgrounds in a casual manner, which aligns with the priority rule for student-to-student interactions.""
}"
dead poets society,,L157230,L157230,,0,0,u4788,TODD,,,,TODD: My parents wanted me here all along but my grades weren't good enough. I had to go to Balincrest to pull them up.,My parents wanted me here all along but my grades weren't good enough. I had to go to Balincrest to pull them up.,,unclear,unclear,0.9,"The speaker provides personal information about his grades and parents' expectations, but there is no context or direct address to identify the listener's identity or relationship to the speaker.",success,True,,"{
  ""relationship_type"": ""unclear"",
  ""confidence"": 0.9,
  ""evidence"": ""The speaker provides personal information about his grades and parents' expectations, but there is no context or direct address to identify the listener's identity or relationship to the speaker.""
}"
dead poets society,,L157230,L157231,,1,1,u4785,NEIL,,u4788,TODD,"NEIL: Well, you've won the booby prize. Don't expect to like it here.","Well, you've won the booby prize. Don't expect to like it here.",TODD: My parents wanted me here all along but my grades weren't good enough. I had to go to Balincrest to pull them up.,peer_friend,friendship,0.85,"The speaker and listener are discussing their academic backgrounds and feelings about being at the school, indicating a peer relationship between students.",success,True,,"{
  ""relationship_type"": ""peer_friend"",
  ""confidence"": 0.85,
  ""evidence"": ""The speaker and listener are discussing their academic backgrounds and feelings about being at the school, indicating a peer relationship between students.""
}"
