movie_name,movie_idx,conversation_id,utterance_id,timestamp,turn_index,utterance_order,speaker_id,speaker_name,reply_to,listener_id,listener_name,text
an officer and a gentleman,m154,L426539,L426539,,0,0,u2405,BYRON,,,,"You, Zack?"
an officer and a gentleman,m154,L426539,L426540,,1,1,u2415,ZACK,L426539,u2405,BYRON,"Yes, Sir."
an officer and a gentleman,m154,L426539,L426541,,2,2,u2405,BYRON,L426540,u2415,ZACK,I'm Byron. Nice to meet you. C'mon. Let's go get your luggage.
an officer and a gentleman,m154,L426543,L426543,,0,0,u2405,BYRON,,,,"How was the flight? They take care of you okay? Long way from Norfolk, isn't it?"
an officer and a gentleman,m154,L426543,L426544,,1,1,u2415,ZACK,L426543,u2405,BYRON,"Yes, sir."
an officer and a gentleman,m154,L426543,L426545,,2,2,u2405,BYRON,L426544,u2415,ZACK,"Listen, kid, I was sorry to hear about your mom. That's pretty rough. I would've returned your call a lot sooner but I was out at sea..."
an officer and a gentleman,m154,L426543,L426546,,3,3,u2415,ZACK,L426545,u2405,BYRON,I been calling for four months.
an officer and a gentleman,m154,L426543,L426547,,4,4,u2405,BYRON,L426546,u2415,ZACK,"Well, that's how long I've been out at sea."
an officer and a gentleman,m154,L426551,L426551,,0,0,u2405,BYRON,,,,This is it. This is where I live. I suppose you could bunk over there and you could go to school at the base.
an officer and a gentleman,m154,L426551,L426552,,1,1,u2415,ZACK,L426551,u2405,BYRON,Great.
an officer and a gentleman,m154,L426551,L426553,,2,2,u2405,BYRON,L426552,u2415,ZACK,"I'm not finished. I'll only be in port one week a month and when I'm here you'd never catch me playing daddy with you 'cause it's not who I am. Like I told you on the phone, you I'd be better off in that state school back in Virginia."
an officer and a gentleman,m154,L426551,L426554,,3,3,u2415,ZACK,L426553,u2405,BYRON,"I ain't never going back to that school, sir."
an officer and a gentleman,m154,L426551,L426555,,4,4,u2405,BYRON,L426554,u2415,ZACK,You got to kid. Let me spell it out for you. This is a whorehouse. And I happen to like my life the way it is and nobody's gonna make me change.
an officer and a gentleman,m154,L426551,L426556,,5,5,u2415,ZACK,L426555,u2405,BYRON,I don't care about that. I just ain't going back. You don't want me? Okay. I'll find me another place.
an officer and a gentleman,m154,L426558,L426558,,0,0,u2405,BYRON,,,,"Come back here, kid!"
an officer and a gentleman,m154,L426558,L426559,,1,1,u2415,ZACK,L426558,u2405,BYRON,What for?
an officer and a gentleman,m154,L426558,L426560,,2,2,u2405,BYRON,L426559,u2415,ZACK,"Okay, okay. You win."
an officer and a gentleman,m154,L426558,L426561,,3,3,u2415,ZACK,L426560,u2405,BYRON,"Thank you, sir!"
an officer and a gentleman,m154,L426558,L426562,,4,4,u2405,BYRON,L426561,u2415,ZACK,Stop calling me 'sir! I ain't no officer. My name is Byron.
an officer and a gentleman,m154,L426574,L426574,,0,0,u2415,ZACK,,,,"Hi, Byron."
an officer and a gentleman,m154,L426574,L426575,,1,1,u2405,BYRON,L426574,u2415,ZACK,"Zack, you little shit! You haven't changed a bit!"
an officer and a gentleman,m154,L426574,L426576,,2,2,u2415,ZACK,L426575,u2405,BYRON,"Neither have you, pard!"
an officer and a gentleman,m154,L426577,L426577,,0,0,u2405,BYRON,,,,"Hey, honey, look at this! My son! Isn't he beautiful? You should've called!"
an officer and a gentleman,m154,L426577,L426578,,1,1,u2415,ZACK,L426577,u2405,BYRON,"You were out at sea! Hey, guess what? I graduated. I got my degree."
an officer and a gentleman,m154,L426577,L426579,,2,2,u2405,BYRON,L426578,u2415,ZACK,I thought you quit school. Last I heard you were on your way to a construction job or something down in Brazil.
