movie_name,conversation_id,utterance_id,turn_index,utterance_order,speaker_id,speaker_name,listener_id,listener_name,current_turn,current_text,context_text,num_prev_turns,prev_turn_1,prev_turn_2,prev_turn_3,prev_turn_4,prev_turn_5,prev_turn_6
mrs brown,L396374,L396374,0,0,u6701,PONSONBY,,,"PONSONBY: A fine choice, sir.","A fine choice, sir.",,0,,,,,,
mrs brown,L396374,L396375,1,1,u6699,JENNER,u6701,PONSONBY,JENNER: Excellent!,Excellent!,"PONSONBY: A fine choice, sir.",1,,,,,,"PONSONBY: A fine choice, sir."
mrs brown,L396379,L396379,0,0,u6700,LADY ELY,,,"LADY ELY: The Royal Family and senior members of the household, ma'am.","The Royal Family and senior members of the household, ma'am.",,0,,,,,,
mrs brown,L396379,L396380,1,1,u6704,VICTORIA,u6700,LADY ELY,VICTORIA: Just them?,Just them?,"LADY ELY: The Royal Family and senior members of the household, ma'am.",1,,,,,,"LADY ELY: The Royal Family and senior members of the household, ma'am."
mrs brown,L396379,L396381,2,2,u6700,LADY ELY,u6704,VICTORIA,"LADY ELY: Yes, ma'am.","Yes, ma'am.","LADY ELY: The Royal Family and senior members of the household, ma'am.
VICTORIA: Just them?",2,,,,,"LADY ELY: The Royal Family and senior members of the household, ma'am.",VICTORIA: Just them?
mrs brown,L396382,L396382,0,0,u6699,JENNER,,,"JENNER: We're expecting Brown this afternoon, ma'am.","We're expecting Brown this afternoon, ma'am.",,0,,,,,,
mrs brown,L396382,L396383,1,1,u6704,VICTORIA,u6699,JENNER,VICTORIA: Whom?,Whom?,"JENNER: We're expecting Brown this afternoon, ma'am.",1,,,,,,"JENNER: We're expecting Brown this afternoon, ma'am."
mrs brown,L396384,L396384,0,0,u6704,VICTORIA,,,"VICTORIA: That's a very pretty shawl you are wearing, Alex. Silk suits you well. But you are not eating enough. One must not let vanity overrule one's appetite.","That's a very pretty shawl you are wearing, Alex. Silk suits you well. But you are not eating enough. One must not let vanity overrule one's appetite.",,0,,,,,,
mrs brown,L396384,L396385,1,1,u6702,PRINCESS ALEXANDRA,u6704,VICTORIA,"PRINCESS ALEXANDRA: Yes, ma'am.","Yes, ma'am.","VICTORIA: That's a very pretty shawl you are wearing, Alex. Silk suits you well. But you are not eating enough. One must not let vanity overrule one's appetite.",1,,,,,,"VICTORIA: That's a very pretty shawl you are wearing, Alex. Silk suits you well. But you are not eating enough. One must not let vanity overrule one's appetite."
mrs brown,L396387,L396387,0,0,u6701,PONSONBY,,,"PONSONBY: Her Majesty's routine at Osborne House is not as you will remember it. The Household remains in full mourning and no-one is permitted to raise their voice under any circumstances whatsoever. As for the Queen's routine, she breakfasts at nine thirty, lunches at two,takes tea at five thirty and dinner at eight forty five. No one is allowed to leave the building while the Queen is at home. On the rare occasions when she is out, you may ask permission to leave, but only with my consent. You're to be ready to walk the pony at any time after ten o'clock. You'll clean her outdoor things and do any odd jobs as and when she requires.","Her Majesty's routine at Osborne House is not as you will remember it. The Household remains in full mourning and no-one is permitted to raise their voice under any circumstances whatsoever. As for the Queen's routine, she breakfasts at nine thirty, lunches at two,takes tea at five thirty and dinner at eight forty five. No one is allowed to leave the building while the Queen is at home. On the rare occasions when she is out, you may ask permission to leave, but only with my consent. You're to be ready to walk the pony at any time after ten o'clock. You'll clean her outdoor things and do any odd jobs as and when she requires.",,0,,,,,,
mrs brown,L396387,L396388,1,1,u6696,BROWN,u6701,PONSONBY,BROWN: How will I know?,How will I know?,"PONSONBY: Her Majesty's routine at Osborne House is not as you will remember it. The Household remains in full mourning and no-one is permitted to raise their voice under any circumstances whatsoever. As for the Queen's routine, she breakfasts at nine thirty, lunches at two,takes tea at five thirty and dinner at eight forty five. No one is allowed to leave the building while the Queen is at home. On the rare occasions when she is out, you may ask permission to leave, but only with my consent. You're to be ready to walk the pony at any time after ten o'clock. You'll clean her outdoor things and do any odd jobs as and when she requires.",1,,,,,,"PONSONBY: Her Majesty's routine at Osborne House is not as you will remember it. The Household remains in full mourning and no-one is permitted to raise their voice under any circumstances whatsoever. As for the Queen's routine, she breakfasts at nine thirty, lunches at two,takes tea at five thirty and dinner at eight forty five. No one is allowed to leave the building while the Queen is at home. On the rare occasions when she is out, you may ask permission to leave, but only with my consent. You're to be ready to walk the pony at any time after ten o'clock. You'll clean her outdoor things and do any odd jobs as and when she requires."
