movie_name,movie_idx,conversation_id,utterance_id,timestamp,turn_index,utterance_order,speaker_id,speaker_name,reply_to,listener_id,listener_name,text
mrs brown,m446,L396374,L396374,,0,0,u6701,PONSONBY,,,,"A fine choice, sir."
mrs brown,m446,L396374,L396375,,1,1,u6699,JENNER,L396374,u6701,PONSONBY,Excellent!
mrs brown,m446,L396379,L396379,,0,0,u6700,LADY ELY,,,,"The Royal Family and senior members of the household, ma'am."
mrs brown,m446,L396379,L396380,,1,1,u6704,VICTORIA,L396379,u6700,LADY ELY,Just them?
mrs brown,m446,L396379,L396381,,2,2,u6700,LADY ELY,L396380,u6704,VICTORIA,"Yes, ma'am."
mrs brown,m446,L396382,L396382,,0,0,u6699,JENNER,,,,"We're expecting Brown this afternoon, ma'am."
mrs brown,m446,L396382,L396383,,1,1,u6704,VICTORIA,L396382,u6699,JENNER,Whom?
mrs brown,m446,L396384,L396384,,0,0,u6704,VICTORIA,,,,"That's a very pretty shawl you are wearing, Alex. Silk suits you well. But you are not eating enough. One must not let vanity overrule one's appetite."
mrs brown,m446,L396384,L396385,,1,1,u6702,PRINCESS ALEXANDRA,L396384,u6704,VICTORIA,"Yes, ma'am."
mrs brown,m446,L396387,L396387,,0,0,u6701,PONSONBY,,,,"Her Majesty's routine at Osborne House is not as you will remember it. The Household remains in full mourning and no-one is permitted to raise their voice under any circumstances whatsoever. As for the Queen's routine, she breakfasts at nine thirty, lunches at two,takes tea at five thirty and dinner at eight forty five. No one is allowed to leave the building while the Queen is at home. On the rare occasions when she is out, you may ask permission to leave, but only with my consent. You're to be ready to walk the pony at any time after ten o'clock. You'll clean her outdoor things and do any odd jobs as and when she requires."
mrs brown,m446,L396387,L396388,,1,1,u6696,BROWN,L396387,u6701,PONSONBY,How will I know?
mrs brown,m446,L396387,L396389,,2,2,u6701,PONSONBY,L396388,u6696,BROWN,I'm sorry?
mrs brown,m446,L396387,L396390,,3,3,u6696,BROWN,L396389,u6701,PONSONBY,How will I know what she requires?
mrs brown,m446,L396387,L396391,,4,4,u6701,PONSONBY,L396390,u6696,BROWN,You'll be sent a message.
mrs brown,m446,L396387,L396392,,5,5,u6696,BROWN,L396391,u6701,PONSONBY,Who'll bring it to me?
mrs brown,m446,L396387,L396393,,6,6,u6701,PONSONBY,L396392,u6696,BROWN,Her Highness' Equerry.
mrs brown,m446,L396387,L396394,,7,7,u6696,BROWN,L396393,u6701,PONSONBY,I need a man who knows where I am.
