movie_name,conversation_id,utterance_id,turn_index,utterance_order,speaker_id,speaker_name,listener_id,listener_name,current_turn,current_text,context_text,num_prev_turns,prev_turn_1,prev_turn_2,prev_turn_3,prev_turn_4,prev_turn_5,prev_turn_6
dead poets society,L157213,L157213,0,0,u4786,NOLAN,,,"NOLAN: Welcome. back, Mr. Dalton. How's your father?","Welcome. back, Mr. Dalton. How's your father?",,0,,,,,,
dead poets society,L157213,L157214,1,1,u4776,CHARLIE,u4786,NOLAN,"CHARLIE: Doing fine, sir.","Doing fine, sir.","NOLAN: Welcome. back, Mr. Dalton. How's your father?",1,,,,,,"NOLAN: Welcome. back, Mr. Dalton. How's your father?"
dead poets society,L157213,L157215,2,2,u4786,NOLAN,u4776,CHARLIE,"NOLAN: Your family move into that new house, Mr. Overstreet?","Your family move into that new house, Mr. Overstreet?","NOLAN: Welcome. back, Mr. Dalton. How's your father?
CHARLIE: Doing fine, sir.",2,,,,,"NOLAN: Welcome. back, Mr. Dalton. How's your father?","CHARLIE: Doing fine, sir."
dead poets society,L157225,L157225,0,0,u4785,NEIL,,,NEIL: I hear we're going to be roommates. Neil Perry.,I hear we're going to be roommates. Neil Perry.,,0,,,,,,
dead poets society,L157225,L157226,1,1,u4788,TODD,u4785,NEIL,TODD: Todd Anderson.,Todd Anderson.,NEIL: I hear we're going to be roommates. Neil Perry.,1,,,,,,NEIL: I hear we're going to be roommates. Neil Perry.
dead poets society,L157227,L157227,0,0,u4785,NEIL,,,NEIL: Why'd you leave Balincrest?,Why'd you leave Balincrest?,,0,,,,,,
dead poets society,L157227,L157228,1,1,u4788,TODD,u4785,NEIL,TODD: My brother went here.,My brother went here.,NEIL: Why'd you leave Balincrest?,1,,,,,,NEIL: Why'd you leave Balincrest?
dead poets society,L157227,L157229,2,2,u4785,NEIL,u4788,TODD,"NEIL: Oh, so you're that Anderson.","Oh, so you're that Anderson.","NEIL: Why'd you leave Balincrest?
TODD: My brother went here.",2,,,,,NEIL: Why'd you leave Balincrest?,TODD: My brother went here.
dead poets society,L157230,L157230,0,0,u4788,TODD,,,TODD: My parents wanted me here all along but my grades weren't good enough. I had to go to Balincrest to pull them up.,My parents wanted me here all along but my grades weren't good enough. I had to go to Balincrest to pull them up.,,0,,,,,,
dead poets society,L157230,L157231,1,1,u4785,NEIL,u4788,TODD,"NEIL: Well, you've won the booby prize. Don't expect to like it here.","Well, you've won the booby prize. Don't expect to like it here.",TODD: My parents wanted me here all along but my grades weren't good enough. I had to go to Balincrest to pull them up.,1,,,,,,TODD: My parents wanted me here all along but my grades weren't good enough. I had to go to Balincrest to pull them up.
