movie_name,conversation_id,utterance_id,speaker_id,speaker_name,listener_id,listener_name,current_turn,current_text,context_text,relationship_type,graph_summary,translation_context_only,translation_model_context_only,translation_with_graph,translation_model_with_graph
titanic,L614356,L614356,u8447,BODINE,,,BODINE: I'm in the sitting room. Heading for bedroom B-54.,I'm in the sitting room. Heading for bedroom B-54.,,unclear,,我在起居室。正往B-54号卧室去。,gpt-5.4-mini,我在起居室，正前往B-54号舱房。,gpt-5.4-mini
titanic,L614356,L614357,u8460,LOVETT,u8447,BODINE,LOVETT: Stay off the floor. Don't stir it up like you did yesterday.,Stay off the floor. Don't stir it up like you did yesterday.,BODINE: I'm in the sitting room. Heading for bedroom B-54.,adversarial,"Speaker: LOVETT
Listener: BODINE
Relationship: adversarial
Translation guidance: Preserve tension, hostility, or confrontational tone.",别碰地板。别像昨天那样把它搅起来。,gpt-5.4-mini,别碰地板。别像昨天那样把它搅起来。,gpt-5.4-mini
titanic,L614356,L614358,u8447,BODINE,u8460,LOVETT,BODINE: I'm tryin' boss.,I'm tryin' boss.,"BODINE: I'm in the sitting room. Heading for bedroom B-54.
LOVETT: Stay off the floor. Don't stir it up like you did yesterday.",ally,"Speaker: BODINE
Listener: LOVETT
Relationship: ally
Translation guidance: Use neutral wording unless local dialogue strongly suggests otherwise.",我在尽量，老板。,gpt-5.4-mini,我尽量呢，老板。,gpt-5.4-mini
titanic,L614364,L614364,u8447,BODINE,,,BODINE: Who's the best? Say it.,Who's the best? Say it.,,unclear,,谁是最棒的？说出来。,gpt-5.4-mini,谁是最棒的？说出来。,gpt-5.4-mini
titanic,L614364,L614365,u8460,LOVETT,u8447,BODINE,"LOVETT: You are, Lewis. You rolling?","You are, Lewis. You rolling?",BODINE: Who's the best? Say it.,adversarial,"Speaker: LOVETT
Listener: BODINE
Relationship: adversarial
Translation guidance: Preserve tension, hostility, or confrontational tone.",你最厉害，刘易斯。你开录了吗？,gpt-5.4-mini,你最棒，刘易斯。开录了吗？,gpt-5.4-mini
titanic,L614368,L614368,u8460,LOVETT,,,LOVETT: Shit.,Shit.,,unclear,,该死。,gpt-5.4-mini,该死。,gpt-5.4-mini
titanic,L614368,L614369,u8447,BODINE,u8460,LOVETT,"BODINE: You know, boss, this happened to Geraldo and his career never recovered.","You know, boss, this happened to Geraldo and his career never recovered.",LOVETT: Shit.,ally,"Speaker: BODINE
Listener: LOVETT
Relationship: ally
Translation guidance: Use neutral wording unless local dialogue strongly suggests otherwise.",你知道，老板，这事也发生在杰拉尔多身上，他的事业再也没恢复过。,gpt-5.4-mini,你知道吗，老板，格拉尔多也遇到过这种事，他的事业就再也没恢复过。,gpt-5.4-mini
titanic,L614368,L614370,u8460,LOVETT,u8447,BODINE,LOVETT: Get that outta my face.,Get that outta my face.,"LOVETT: Shit.
BODINE: You know, boss, this happened to Geraldo and his career never recovered.",adversarial,"Speaker: LOVETT
Listener: BODINE
Relationship: adversarial
Translation guidance: Preserve tension, hostility, or confrontational tone.",把它从我眼前拿开。,gpt-5.4-mini,把那玩意儿从我眼前拿开。,gpt-5.4-mini
titanic,L614372,L614372,u8449,BUELL,,,BUELL: The partners want to know how it's going?,The partners want to know how it's going?,,unclear,,合伙人想知道进展怎么样？,gpt-5.4-mini,合伙人想知道进展怎么样？,gpt-5.4-mini
titanic,L614372,L614373,u8460,LOVETT,u8449,BUELL,"LOVETT: How it's going? It's going like a first date in prison, whattaya think?!","How it's going? It's going like a first date in prison, whattaya think?!",BUELL: The partners want to know how it's going?,acquaintance,"Speaker: LOVETT
Listener: BUELL
Relationship: acquaintance
Translation guidance: Use neutral social wording without excessive intimacy.",怎么样？就像监狱里的第一次约会，你说呢？！,gpt-5.4-mini,进行得怎么样？就像在监狱里第一次约会，你觉得呢？！,gpt-5.4-mini
titanic,L614386,L614386,u8449,BUELL,,,BUELL: There's a satellite call for you.,There's a satellite call for you.,,unclear,,有你的卫星电话。,gpt-5.4-mini,有你的卫星电话。,gpt-5.4-mini
titanic,L614386,L614387,u8460,LOVETT,u8449,BUELL,"LOVETT: Bobby, we're launching. See these submersibles here, going in the water? Take a message.","Bobby, we're launching. See these submersibles here, going in the water? Take a message.",BUELL: There's a satellite call for you.,acquaintance,"Speaker: LOVETT
Listener: BUELL
Relationship: acquaintance
Translation guidance: Use neutral social wording without excessive intimacy.",鲍比，我们要下水了。看到这些潜水器要下水了吗？记下来。,gpt-5.4-mini,鲍比，我们要下水了。看到这些潜水器了吗？它们正要入水。帮我留言。,gpt-5.4-mini
titanic,L614386,L614388,u8449,BUELL,u8460,LOVETT,"BUELL: No, trust me, you want to take this call.","No, trust me, you want to take this call.","BUELL: There's a satellite call for you.
LOVETT: Bobby, we're launching. See these submersibles here, going in the water? Take a message.",unclear,"Speaker: BUELL
Listener: LOVETT
Relationship: unclear
Translation guidance: Use neutral wording unless local dialogue strongly suggests otherwise.",不，信我，你最好接这个电话。,gpt-5.4-mini,不，听我的，这个电话你最好接。,gpt-5.4-mini
titanic,L614389,L614389,u8460,LOVETT,,,"LOVETT: This is Brock Lovett. What can I do for you, Mrs...?","This is Brock Lovett. What can I do for you, Mrs...?",,unclear,,我是布洛克·洛维特。请问我能为您做什么，夫人……？,gpt-5.4-mini,我是布洛克·洛维特。请问我能帮您什么，夫人……？,gpt-5.4-mini
titanic,L614389,L614390,u8449,BUELL,u8460,LOVETT,BUELL: Rose Calvert.,Rose Calvert.,"LOVETT: This is Brock Lovett. What can I do for you, Mrs...?",unclear,"Speaker: BUELL
Listener: LOVETT
Relationship: unclear
Translation guidance: Use neutral wording unless local dialogue strongly suggests otherwise.",露丝·卡尔弗特。,gpt-5.4-mini,露丝·卡尔弗特。,gpt-5.4-mini
titanic,L614389,L614391,u8460,LOVETT,u8449,BUELL,LOVETT: ...Mrs. Calvert?,...Mrs. Calvert?,"LOVETT: This is Brock Lovett. What can I do for you, Mrs...?
BUELL: Rose Calvert.",acquaintance,"Speaker: LOVETT
Listener: BUELL
Relationship: acquaintance
Translation guidance: Use neutral social wording without excessive intimacy.",……卡尔弗特夫人？,gpt-5.4-mini,……卡尔弗特夫人？,gpt-5.4-mini
titanic,L614393,L614393,u8449,BUELL,,,BUELL: I told you you wanted to take this call.,I told you you wanted to take this call.,,unclear,,我都跟你说了，是你想接这个电话。,gpt-5.4-mini,我跟你说过，是你想接这个电话的。,gpt-5.4-mini
