movie_name,movie_idx,conversation_id,utterance_id,timestamp,turn_index,utterance_order,speaker_id,speaker_name,reply_to,listener_id,listener_name,current_turn,current_text,context_text,relationship_type,global_category,confidence,evidence,status,parse_success,error,raw_response
the godfather,,L592849,L592849,,0,0,u3098,DON CORLEONE,,,,"DON CORLEONE: Bonasera, we know each other for years, but this is the first time you come to me for help. I don't remember the last time you invited me to your house for coffee...even though our wives are friends.","Bonasera, we know each other for years, but this is the first time you come to me for help. I don't remember the last time you invited me to your house for coffee...even though our wives are friends.",,organized_crime_authority,authority,0.92,"The listener (Bonasera) is approaching the speaker (Don Corleone) for 'help', establishing a patronage-based (client-patron) relationship.",success,True,,"{
  ""relationship_type"": ""organized_crime_authority"",
  ""confidence"": 0.92,
  ""evidence"": ""The listener (Bonasera) is approaching the speaker (Don Corleone) for 'help', establishing a patronage-based (client-patron) relationship.""
}"
the godfather,,L592849,L592850,,1,1,u3094,BONASERA,,u3098,DON CORLEONE,"BONASERA: What do you want of me? I'll give you anything you want, but do what I ask!","What do you want of me? I'll give you anything you want, but do what I ask!","DON CORLEONE: Bonasera, we know each other for years, but this is the first time you come to me for help. I don't remember the last time you invited me to your house for coffee...even though our wives are friends.",organized_crime_authority,authority,0.85,"Bonasera is soliciting a favor from Don Corleone in a patron-client interaction, offering to 'give you anything you want' in exchange for help.",success,True,,"{
  ""relationship_type"": ""organized_crime_authority"",
  ""confidence"": 0.85,
  ""evidence"": ""Bonasera is soliciting a favor from Don Corleone in a patron-client interaction, offering to 'give you anything you want' in exchange for help.""
}"
the godfather,,L592849,L592851,,2,2,u3098,DON CORLEONE,,u3094,BONASERA,DON CORLEONE: And what is that Bonasera?,And what is that Bonasera?,"DON CORLEONE: Bonasera, we know each other for years, but this is the first time you come to me for help. I don't remember the last time you invited me to your house for coffee...even though our wives are friends.
BONASERA: What do you want of me? I'll give you anything you want, but do what I ask!",organized_crime_authority,authority,0.85,"The speaker is addressed as 'Don' and the listener is petitioning for help, offering anything in return, establishing a client-patron dynamic.",success,True,,"{
  ""relationship_type"": ""organized_crime_authority"",
  ""confidence"": 0.85,
  ""evidence"": ""The speaker is addressed as 'Don' and the listener is petitioning for help, offering anything in return, establishing a client-patron dynamic.""
}"
the godfather,,L592852,L592852,,0,0,u3098,DON CORLEONE,,,,DON CORLEONE: No. You ask for too much.,No. You ask for too much.,,unclear,unclear,0.95,"The speaker is refusing a request, but without previous context or information about the listener, there is insufficient evidence to determine if the relationship is familial, professional, or authority-based.",success,True,,"{
  ""relationship_type"": ""unclear"",
  ""confidence"": 0.95,
  ""evidence"": ""The speaker is refusing a request, but without previous context or information about the listener, there is insufficient evidence to determine if the relationship is familial, professional, or authority-based.""
}"
the godfather,,L592852,L592853,,1,1,u3094,BONASERA,,u3098,DON CORLEONE,BONASERA: I ask for Justice.,I ask for Justice.,DON CORLEONE: No. You ask for too much.,organized_crime_authority,authority,0.85,"Bonasera is petitioning the 'Don' for 'Justice,' which aligns with a patronage or client-patron relationship typical of an organized crime authority structure.",success,True,,"{
  ""relationship_type"": ""organized_crime_authority"",
  ""confidence"": 0.85,
  ""evidence"": ""Bonasera is petitioning the 'Don' for 'Justice,' which aligns with a patronage or client-patron relationship typical of an organized crime authority structure.""
}"
the godfather,,L592852,L592854,,2,2,u3098,DON CORLEONE,,u3094,BONASERA,DON CORLEONE: The Court gave you justice.,The Court gave you justice.,"DON CORLEONE: No. You ask for too much.
BONASERA: I ask for Justice.",organized_crime_authority,authority,0.85,"The speaker, titled 'Don,' is evaluating a petition for justice from a character seeking help outside the legal court system, characterizing a patronage-based authority relation.",success,True,,"{
  ""relationship_type"": ""organized_crime_authority"",
  ""confidence"": 0.85,
  ""evidence"": ""The speaker, titled 'Don,' is evaluating a petition for justice from a character seeking help outside the legal court system, characterizing a patronage-based authority relation.""
}"
the godfather,,L592852,L592855,,3,3,u3094,BONASERA,,u3098,DON CORLEONE,BONASERA: An eye for an eye!,An eye for an eye!,"DON CORLEONE: No. You ask for too much.
BONASERA: I ask for Justice.
DON CORLEONE: The Court gave you justice.",organized_crime_authority,authority,0.85,"Bonasera is petitioning 'Don' Corleone for extrajudicial justice ('an eye for an eye') after the courts failed, establishing a patron-client dynamic.",success,True,,"{
  ""relationship_type"": ""organized_crime_authority"",
  ""confidence"": 0.85,
  ""evidence"": ""Bonasera is petitioning 'Don' Corleone for extrajudicial justice ('an eye for an eye') after the courts failed, establishing a patron-client dynamic.""
}"
the godfather,,L592852,L592856,,4,4,u3098,DON CORLEONE,,u3094,BONASERA,DON CORLEONE: But your daughter is still alive.,But your daughter is still alive.,"DON CORLEONE: No. You ask for too much.
BONASERA: I ask for Justice.
DON CORLEONE: The Court gave you justice.
BONASERA: An eye for an eye!",organized_crime_authority,authority,0.85,"Bonasera is appealing to 'Don' Corleone for extra-legal justice, establishing a patron-client relationship where the Don acts as an authority figure outside the court system.",success,True,,"{
  ""relationship_type"": ""organized_crime_authority"",
  ""confidence"": 0.85,
  ""evidence"": ""Bonasera is appealing to 'Don' Corleone for extra-legal justice, establishing a patron-client relationship where the Don acts as an authority figure outside the court system.""
}"
the godfather,,L592852,L592857,,5,5,u3094,BONASERA,,u3098,DON CORLEONE,BONASERA: Then make them suffer as she suffers. How much shall I pay you.,Then make them suffer as she suffers. How much shall I pay you.,"DON CORLEONE: No. You ask for too much.
BONASERA: I ask for Justice.
DON CORLEONE: The Court gave you justice.
BONASERA: An eye for an eye!
DON CORLEONE: But your daughter is still alive.",organized_crime_authority,authority,0.9,"Bonasera is petitioning Don Corleone for extra-legal 'justice' and offering payment, which establishes a patronage-based/client-patron relationship.",success,True,,"{
  ""relationship_type"": ""organized_crime_authority"",
  ""confidence"": 0.9,
  ""evidence"": ""Bonasera is petitioning Don Corleone for extra-legal 'justice' and offering payment, which establishes a patronage-based/client-patron relationship.""
}"
the godfather,,L592858,L592858,,0,0,u3098,DON CORLEONE,,,,"DON CORLEONE: You never think to protect yourself with real friends. You think it's enough to be an American. All right, the Police protects you, there are Courts of Law, so you don't need a friend like me. But now you come to me and say Don Corleone, you must give me justice. And you don't ask in respect or friendship. And you don't think to call me Godfather; instead you come to my house on the day my daughter is to be married and you ask me to do murder...for money.","You never think to protect yourself with real friends. You think it's enough to be an American. All right, the Police protects you, there are Courts of Law, so you don't need a friend like me. But now you come to me and say Don Corleone, you must give me justice. And you don't ask in respect or friendship. And you don't think to call me Godfather; instead you come to my house on the day my daughter is to be married and you ask me to do murder...for money.",,organized_crime_authority,authority,0.9,"The speaker is being petitioned for 'justice' (murder) and critiques the listener's failure to offer respect or use the title 'Godfather,' indicating a patron-client relationship.",success,True,,"{
  ""relationship_type"": ""organized_crime_authority"",
  ""confidence"": 0.9,
  ""evidence"": ""The speaker is being petitioned for 'justice' (murder) and critiques the listener's failure to offer respect or use the title 'Godfather,' indicating a patron-client relationship.""
}"
