source_zip,source_csv,source_row_index,movie_name,movie_idx,conversation_id,utterance_id,timestamp,speaker_id,reply_to,listener_id,text,movie,line_number,en,pred_translation_error_possible,pred_risk_category_count,pred_risk_categories,pred_risk_confidence_summary,pred_risk_cues,_any_risk,_clean,_risk_idiomatic,_risk_pragmatic,_risk_social,_risk_register,_risk_constraint,_risk_fragmentation,_risk_terminology,_risk_ambiguity,target_risk_count,target_risk_types,risk_source_path,current_text,context_6_turns,final_power_dynamic,final_respect_level,judge1_power_dynamic,judge2_power_dynamic,judge1_respect_level,judge2_respect_level,speaker_name,listener_name,relationship_type,global_category,confidence,evidence,status,parse_success,re_source_path
amadeus.zip,dialogue_metadata.csv,5,amadeus,m16,L29991,L29996,,u266,L29995,u257,In the sight of God that is a sin.,amadeus,6,In the sight of God that is a sin.,1,1,pragmatic,,cat2_discourse_markers,True,False,False,True,False,False,False,False,False,False,1,_risk_pragmatic,/Users/canhui/Desktop/movie_social_re/data/data_prelabel_predictions/amadeus/dialogue_metadata_risk_predictions.csv,In the sight of God that is a sin.,"1. OLD SALIERI: What do you want?
2. VOGLER to OLD SALIERI: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.
3. OLD SALIERI to VOGLER: About what?
4. VOGLER to OLD SALIERI: You tried to take your life. You do remember that, don't you?
5. OLD SALIERI to VOGLER: So?",speaker_higher_power,neutral_respect,speaker_higher_power,speaker_higher_power,neutral_respect,neutral_respect,VOGLER,OLD SALIERI,court_authority,authority,0.92,"Vogler identifies himself as a Chaplain (church authority) and is lecturing Salieri on sin, representing an institutional and religious rank.",success,True,/Users/canhui/Desktop/movie_social_re/data/processed/amadeus/re_clean.csv
amadeus.zip,dialogue_metadata.csv,12,amadeus,m16,L29991,L30003,,u257,L30002,u266,Are they?,amadeus,13,Are they?,1,1,ambiguity,ambiguity:medium,_cue_ambiguity_pronoun_heavy,True,False,False,False,False,False,False,False,False,True,1,_risk_ambiguity,/Users/canhui/Desktop/movie_social_re/data/data_prelabel_predictions/amadeus/dialogue_metadata_risk_predictions.csv,Are they?,"1. OLD SALIERI to VOGLER: What do you want?
2. VOGLER to OLD SALIERI: Do you understand that you have sinned? Gravely.
3. OLD SALIERI to VOGLER: Leave me alone.
4. VOGLER to OLD SALIERI: I cannot leave alone a soul in pain.
5. OLD SALIERI to VOGLER: Do you know who I am? You never heard of me, did you?
6. VOGLER to OLD SALIERI: That makes no difference. All men are equal in God's eyes.",roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect,OLD SALIERI,VOGLER,court_authority,authority,0.85,"Vogler's language regarding 'sin,' 'souls,' and 'God' frames the interaction as a church-based institutional authority relationship.",success,True,/Users/canhui/Desktop/movie_social_re/data/processed/amadeus/re_clean.csv
amadeus.zip,dialogue_metadata.csv,13,amadeus,m16,L29991,L30004,,u266,L30003,u257,Offer me your confession. I can offer you God's forgiveness.,amadeus,14,Offer me your confession. I can offer you God's forgiveness.,1,2,social|terminology,social:medium|terminology:medium,_cue_social_addressed_command|_cue_terminology_domain_combo,True,False,False,False,True,False,False,False,True,False,1,_risk_social,/Users/canhui/Desktop/movie_social_re/data/data_prelabel_predictions/amadeus/dialogue_metadata_risk_predictions.csv,Offer me your confession. I can offer you God's forgiveness.,"1. VOGLER to OLD SALIERI: Do you understand that you have sinned? Gravely.
2. OLD SALIERI to VOGLER: Leave me alone.
3. VOGLER to OLD SALIERI: I cannot leave alone a soul in pain.
4. OLD SALIERI to VOGLER: Do you know who I am? You never heard of me, did you?
5. VOGLER to OLD SALIERI: That makes no difference. All men are equal in God's eyes.
6. OLD SALIERI to VOGLER: Are they?",speaker_higher_power,neutral_respect,speaker_higher_power,speaker_higher_power,neutral_respect,neutral_respect,VOGLER,OLD SALIERI,court_authority,authority,0.92,"Vogler is acting in a religious institutional capacity, offering confession and God's forgiveness, which fits the label definition including church authority.",success,True,/Users/canhui/Desktop/movie_social_re/data/processed/amadeus/re_clean.csv
amadeus.zip,dialogue_metadata.csv,15,amadeus,m16,L29991,L30006,,u266,L30005,u257,"My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.",amadeus,16,"My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.",1,3,social|constraint|terminology,social:medium|constraint:high|terminology:medium,_cue_social_request_form|_cue_constraint_longish|_cue_constraint_very_long|_cue_constraint_terminology_heavy|_cue_terminology_domain_combo,True,False,False,False,True,False,True,False,True,False,1,_risk_social,/Users/canhui/Desktop/movie_social_re/data/data_prelabel_predictions/amadeus/dialogue_metadata_risk_predictions.csv,"My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.","1. VOGLER to OLD SALIERI: I cannot leave alone a soul in pain.
2. OLD SALIERI to VOGLER: Do you know who I am? You never heard of me, did you?
3. VOGLER to OLD SALIERI: That makes no difference. All men are equal in God's eyes.
4. OLD SALIERI to VOGLER: Are they?
5. VOGLER to OLD SALIERI: Offer me your confession. I can offer you God's forgiveness.
6. OLD SALIERI to VOGLER: I do not seek forgiveness.",speaker_higher_power,high_respect,speaker_higher_power,speaker_higher_power,high_respect,high_respect,VOGLER,OLD SALIERI,court_authority,authority,0.92,"Vogler acts in a clerical capacity, offering confession and calling Salieri 'My son,' representing church institutional authority as defined in the schema.",success,True,/Users/canhui/Desktop/movie_social_re/data/processed/amadeus/re_clean.csv
amadeus.zip,dialogue_metadata.csv,19,amadeus,m16,L29991,L30010,,u266,L30009,u257,Here in Vienna.,amadeus,20,Here in Vienna.,1,1,ambiguity,ambiguity:high,_cue_ambiguity_deictic|_cue_ambiguity_fragment,True,False,False,False,False,False,False,False,False,True,1,_risk_ambiguity,/Users/canhui/Desktop/movie_social_re/data/data_prelabel_predictions/amadeus/dialogue_metadata_risk_predictions.csv,Here in Vienna.,"1. VOGLER to OLD SALIERI: Offer me your confession. I can offer you God's forgiveness.
2. OLD SALIERI to VOGLER: I do not seek forgiveness.
3. VOGLER to OLD SALIERI: My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.
4. OLD SALIERI to VOGLER: How well are you trained in music?
5. VOGLER to OLD SALIERI: I know a little. I studied it in my youth.
6. OLD SALIERI to VOGLER: Where?",roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect,VOGLER,OLD SALIERI,court_authority,authority,0.9,"Vogler is acting in a clerical capacity, offering confession and God's forgiveness while addressing Salieri as 'My son,' which falls under institutional church authority.",success,True,/Users/canhui/Desktop/movie_social_re/data/processed/amadeus/re_clean.csv
amadeus.zip,dialogue_metadata.csv,27,amadeus,m16,L30018,L30019,,u257,L30018,u266,I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?,amadeus,28,I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?,1,2,pragmatic|terminology,terminology:high,cat2_discourse_markers|_cue_terminology_rare_strong|_cue_terminology_entity_combo|_cue_terminology_domain_combo|_cue_terminology_multi_cap,True,False,False,True,False,False,False,False,True,False,1,_risk_pragmatic,/Users/canhui/Desktop/movie_social_re/data/data_prelabel_predictions/amadeus/dialogue_metadata_risk_predictions.csv,I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?,"1. VOGLER: Oh, I know that! That's charming!  I didn't know you wrote that.",roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect,OLD SALIERI,VOGLER,acquaintance,acquaintance,0.85,"The listener recognizes the speaker as a composer ('I didn't know you wrote that'), indicating a known social or professional relationship, but the specific nature of their bond is not yet detailed.",success,True,/Users/canhui/Desktop/movie_social_re/data/processed/amadeus/re_clean.csv
amadeus.zip,dialogue_metadata.csv,44,amadeus,m16,L30056,L30056,,u247,,,"Your Grace, I've got something to tell you. I want to complain about this man.",amadeus,45,"Your Grace, I've got something to tell you. I want to complain about this man.",1,1,register,register:medium,_cue_register_colloquial_strong,True,False,False,False,False,True,False,False,False,False,1,_risk_register,/Users/canhui/Desktop/movie_social_re/data/data_prelabel_predictions/amadeus/dialogue_metadata_risk_predictions.csv,"Your Grace, I've got something to tell you. I want to complain about this man.",,listener_higher_power,high_respect,listener_higher_power,listener_higher_power,high_respect,high_respect,CONSTANZE,,court_authority,authority,0.92,"Constanze addresses the listener as 'Your Grace,' a formal title for high-ranking nobility or clergy, and approaches them to lodge a formal complaint, indicating an institutional power dynamic.",success,True,/Users/canhui/Desktop/movie_social_re/data/processed/amadeus/re_clean.csv
amadeus.zip,dialogue_metadata.csv,46,amadeus,m16,L30056,L30058,,u247,L30057,u255,Why not?,amadeus,47,Why not?,1,1,ambiguity,ambiguity:medium,_cue_ambiguity_fragment,True,False,False,False,False,False,False,False,False,True,1,_risk_ambiguity,/Users/canhui/Desktop/movie_social_re/data/data_prelabel_predictions/amadeus/dialogue_metadata_risk_predictions.csv,Why not?,"1. CONSTANZE: Your Grace, I've got something to tell you. I want to complain about this man.
2. MOZART to CONSTANZE: Go ahead, tell him. Tell them all. They won't understand you anyway.",roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect,CONSTANZE,MOZART,adversarial,adversarial,0.85,"Constanze is openly oppositional, stating she wants to 'complain about this man' to an authority figure, while Mozart responds dismissively.",success,True,/Users/canhui/Desktop/movie_social_re/data/processed/amadeus/re_clean.csv
amadeus.zip,dialogue_metadata.csv,48,amadeus,m16,L30056,L30060,,u247,L30059,u255,That's stupid.,amadeus,49,That's stupid.,1,1,ambiguity,ambiguity:high,_cue_ambiguity_deictic|_cue_ambiguity_pronoun_heavy,True,False,False,False,False,False,False,False,False,True,1,_risk_ambiguity,/Users/canhui/Desktop/movie_social_re/data/data_prelabel_predictions/amadeus/dialogue_metadata_risk_predictions.csv,That's stupid.,"1. CONSTANZE: Your Grace, I've got something to tell you. I want to complain about this man.
2. MOZART to CONSTANZE: Go ahead, tell him. Tell them all. They won't understand you anyway.
3. CONSTANZE to MOZART: Why not?
4. MOZART to CONSTANZE: Because here everything goes backwards. People walk backwards, dance backwards, sing backwards, and talk backwards.",roughly_equal_power,low_respect,roughly_equal_power,roughly_equal_power,low_respect,low_respect,CONSTANZE,MOZART,friend,friendship,0.82,"The speaker and listener show high familiarity through informal language ('That's stupid'), and the listener aligns the speaker with himself against the court's understanding ('They won't understand you anyway').",success,True,/Users/canhui/Desktop/movie_social_re/data/processed/amadeus/re_clean.csv
amadeus.zip,dialogue_metadata.csv,54,amadeus,m16,L30064,L30066,,u247,L30065,u255,"Yes, you are. You're very sick.",amadeus,55,"Yes, you are. You're very sick.",1,1,register,register:medium,_cue_register_colloquial_strong,True,False,False,False,False,True,False,False,False,False,1,_risk_register,/Users/canhui/Desktop/movie_social_re/data/data_prelabel_predictions/amadeus/dialogue_metadata_risk_predictions.csv,"Yes, you are. You're very sick.","1. CONSTANZE: Oh, ha, ha, ha.
2. MOZART to CONSTANZE: Sra-I'm-sick! Sra-I'm sick!",roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect,CONSTANZE,MOZART,friend,friendship,0.8,"The exchange is informal and familiar, characterized by laughter and a playful or intimate response to a personal statement about being sick.",success,True,/Users/canhui/Desktop/movie_social_re/data/processed/amadeus/re_clean.csv
