movie_name,movie_idx,conversation_id,utterance_id,timestamp,turn_index,utterance_order,speaker_id,speaker_name,reply_to,listener_id,listener_name,current_turn,current_text,context_text,relationship_type,global_category,confidence,evidence,status,parse_success,error,raw_response
gladiator,,L242408,L242408,,0,0,u1161,LUCILLA,,,,"LUCILLA: Where are we now, Commodus? Can you see the camp? My Gods! The air is turning into ice!","Where are we now, Commodus? Can you see the camp? My Gods! The air is turning into ice!",,unclear,unclear,0.9,"The speaker addresses the listener by name and shares observations about the environment, but the text does not provide explicit evidence to determine a specific relationship type.",success,True,,"{
  ""relationship_type"": ""unclear"",
  ""confidence"": 0.9,
  ""evidence"": ""The speaker addresses the listener by name and shares observations about the environment, but the text does not provide explicit evidence to determine a specific relationship type.""
}"
gladiator,,L242408,L242409,,1,1,u1155,COMMODUS,,u1161,LUCILLA,"COMMODUS: We're nearly there, Lucilla.","We're nearly there, Lucilla.","LUCILLA: Where are we now, Commodus? Can you see the camp? My Gods! The air is turning into ice!",friend,friendship,0.8,"The characters address each other by name and share a familiar, supportive exchange during their journey, which matches the definition of a friend relationship.",success,True,,"{
  ""relationship_type"": ""friend"",
  ""confidence"": 0.8,
  ""evidence"": ""The characters address each other by name and share a familiar, supportive exchange during their journey, which matches the definition of a friend relationship.""
}"
gladiator,,L242408,L242410,,2,2,u1161,LUCILLA,,u1155,COMMODUS,LUCILLA: That's what you told me two days ago!,That's what you told me two days ago!,"LUCILLA: Where are we now, Commodus? Can you see the camp? My Gods! The air is turning into ice!
COMMODUS: We're nearly there, Lucilla.",unclear,unclear,0.9,"The characters address each other by first names and are traveling together, but there is no explicit mention of family ties, military rank, or imperial status.",success,True,,"{
  ""relationship_type"": ""unclear"",
  ""confidence"": 0.9,
  ""evidence"": ""The characters address each other by first names and are traveling together, but there is no explicit mention of family ties, military rank, or imperial status.""
}"
gladiator,,L242408,L242411,,3,3,u1155,COMMODUS,,u1161,LUCILLA,COMMODUS: Will you please get back in your wagon? And stay there?,Will you please get back in your wagon? And stay there?,"LUCILLA: Where are we now, Commodus? Can you see the camp? My Gods! The air is turning into ice!
COMMODUS: We're nearly there, Lucilla.
LUCILLA: That's what you told me two days ago!",unclear,unclear,0.9,"The characters use first names and are traveling together, but the dialogue lacks explicit markers of familial ties, military rank, or imperial status.",success,True,,"{
  ""relationship_type"": ""unclear"",
  ""confidence"": 0.9,
  ""evidence"": ""The characters use first names and are traveling together, but the dialogue lacks explicit markers of familial ties, military rank, or imperial status.""
}"
gladiator,,L242408,L242412,,4,4,u1161,LUCILLA,,u1155,COMMODUS,LUCILLA: I'm tired of being stuck in that wagon.,I'm tired of being stuck in that wagon.,"LUCILLA: Where are we now, Commodus? Can you see the camp? My Gods! The air is turning into ice!
COMMODUS: We're nearly there, Lucilla.
LUCILLA: That's what you told me two days ago!
COMMODUS: Will you please get back in your wagon? And stay there?",unclear,unclear,0.9,"While the characters address each other by name and are traveling together, the dialogue does not explicitly define their relationship as familial, friendly, or part of an authority hierarchy.",success,True,,"{
  ""relationship_type"": ""unclear"",
  ""confidence"": 0.9,
  ""evidence"": ""While the characters address each other by name and are traveling together, the dialogue does not explicitly define their relationship as familial, friendly, or part of an authority hierarchy.""
}"
gladiator,,L242414,L242414,,0,0,u1155,COMMODUS,,,,COMMODUS: Where is my father?,Where is my father?,,unclear,unclear,0.95,The listener is unknown and there is no preceding dialogue or context to establish a relationship based on the single question asked.,success,True,,"{
  ""relationship_type"": ""unclear"",
  ""confidence"": 0.95,
  ""evidence"": ""The listener is unknown and there is no preceding dialogue or context to establish a relationship based on the single question asked.""
}"
gladiator,,L242414,L242415,,1,1,u1168,TRIBUUS,,u1155,COMMODUS,"TRIBUUS: Where is the emperor and the army, soldier?","Where is the emperor and the army, soldier?",COMMODUS: Where is my father?,military_authority,authority,0.9,"The speaker addresses the listener as 'soldier' and refers to the 'army,' identifying the relationship within a military hierarchy.",success,True,,"{
  ""relationship_type"": ""military_authority"",
  ""confidence"": 0.9,
  ""evidence"": ""The speaker addresses the listener as 'soldier' and refers to the 'army,' identifying the relationship within a military hierarchy.""
}"
gladiator,,L242427,L242427,,0,0,u1165,QUINTUS,,,,QUINTUS: I see the emperor's little boy has finally caught up with the army.,I see the emperor's little boy has finally caught up with the army.,,imperial_authority,authority,0.8,"The speaker addresses the listener in relation to 'the emperor' and the 'army,' indicating a relationship defined by imperial and military power structures.",success,True,,"{
  ""relationship_type"": ""imperial_authority"",
  ""confidence"": 0.8,
  ""evidence"": ""The speaker addresses the listener in relation to 'the emperor' and the 'army,' indicating a relationship defined by imperial and military power structures.""
}"
gladiator,,L242427,L242428,,1,1,u1163,NARCISSUS,,u1165,QUINTUS,NARCISSUS: Let's hope he doesn't start giving orders.,Let's hope he doesn't start giving orders.,QUINTUS: I see the emperor's little boy has finally caught up with the army.,battle_ally,ally,0.7,"The characters are in a military context ('the army') and share a cynical perspective regarding the arrival and potential 'orders' of the emperor's son, suggesting a peer-level alliance or shared resistance.",success,True,,"{
  ""relationship_type"": ""battle_ally"",
  ""confidence"": 0.7,
  ""evidence"": ""The characters are in a military context ('the army') and share a cynical perspective regarding the arrival and potential 'orders' of the emperor's son, suggesting a peer-level alliance or shared resistance.""
}"
gladiator,,L242441,L242441,,0,0,u1155,COMMODUS,,,,"COMMODUS: Welcome back from your great triumph Narcissus Meridas. My father sends his heart felt praise. Sadly, Marcus is in dark humors -- nothing to worry about, but he needs rest. Likely just the weather.","Welcome back from your great triumph Narcissus Meridas. My father sends his heart felt praise. Sadly, Marcus is in dark humors -- nothing to worry about, but he needs rest. Likely just the weather.",,imperial_authority,authority,0.85,"The speaker relays 'heart felt praise' from his father for the listener's 'great triumph,' indicating a hierarchy involving the ruling family and a subordinate.",success,True,,"{
  ""relationship_type"": ""imperial_authority"",
  ""confidence"": 0.85,
  ""evidence"": ""The speaker relays 'heart felt praise' from his father for the listener's 'great triumph,' indicating a hierarchy involving the ruling family and a subordinate.""
}"
