movie_name,movie_idx,conversation_id,utterance_id,timestamp,turn_index,utterance_order,speaker_id,speaker_name,reply_to,listener_id,listener_name,current_turn,current_text,context_text,relationship_type,global_category,confidence,evidence,status,parse_success,error,raw_response
mrs brown,,L396374,L396374,,0,0,u6701,PONSONBY,,,,"PONSONBY: A fine choice, sir.","A fine choice, sir.",,royal_service,class_or_service,0.8,"The speaker addresses the listener as 'sir' and offers a deferential validation of their 'choice,' suggesting a household or attendant service role.",success,True,,"{
  ""relationship_type"": ""royal_service"",
  ""confidence"": 0.8,
  ""evidence"": ""The speaker addresses the listener as 'sir' and offers a deferential validation of their 'choice,' suggesting a household or attendant service role.""
}"
mrs brown,,L396374,L396375,,1,1,u6699,JENNER,,u6701,PONSONBY,JENNER: Excellent!,Excellent!,"PONSONBY: A fine choice, sir.",royal_service,class_or_service,0.82,"Ponsonby addresses Jenner with the honorific 'sir' and validates his 'choice,' indicating a formal hierarchical or household service relationship.",success,True,,"{
  ""relationship_type"": ""royal_service"",
  ""confidence"": 0.82,
  ""evidence"": ""Ponsonby addresses Jenner with the honorific 'sir' and validates his 'choice,' indicating a formal hierarchical or household service relationship.""
}"
mrs brown,,L396379,L396379,,0,0,u6700,LADY ELY,,,,"LADY ELY: The Royal Family and senior members of the household, ma'am.","The Royal Family and senior members of the household, ma'am.",,royal_service,class_or_service,0.9,"The speaker addresses the listener as 'ma'am' and provides information about the royal household and family, indicating an attendant or service-based role.",success,True,,"{
  ""relationship_type"": ""royal_service"",
  ""confidence"": 0.9,
  ""evidence"": ""The speaker addresses the listener as 'ma'am' and provides information about the royal household and family, indicating an attendant or service-based role.""
}"
mrs brown,,L396379,L396380,,1,1,u6704,VICTORIA,,u6700,LADY ELY,VICTORIA: Just them?,Just them?,"LADY ELY: The Royal Family and senior members of the household, ma'am.",monarch_subject_authority,authority,0.9,"The listener addresses the speaker as 'ma'am' and provides a report regarding the Royal Family and household, indicating a relationship shaped by rank and royal authority.",success,True,,"{
  ""relationship_type"": ""monarch_subject_authority"",
  ""confidence"": 0.9,
  ""evidence"": ""The listener addresses the speaker as 'ma'am' and provides a report regarding the Royal Family and household, indicating a relationship shaped by rank and royal authority.""
}"
mrs brown,,L396379,L396381,,2,2,u6700,LADY ELY,,u6704,VICTORIA,"LADY ELY: Yes, ma'am.","Yes, ma'am.","LADY ELY: The Royal Family and senior members of the household, ma'am.
VICTORIA: Just them?",royal_service,class_or_service,0.92,"Lady Ely addresses Victoria as 'ma'am' and provides information regarding the members of the royal household, indicating an attendant or service role.",success,True,,"{
  ""relationship_type"": ""royal_service"",
  ""confidence"": 0.92,
  ""evidence"": ""Lady Ely addresses Victoria as 'ma'am' and provides information regarding the members of the royal household, indicating an attendant or service role.""
}"
mrs brown,,L396382,L396382,,0,0,u6699,JENNER,,,,"JENNER: We're expecting Brown this afternoon, ma'am.","We're expecting Brown this afternoon, ma'am.",,royal_service,class_or_service,0.85,"Jenner addresses the listener as 'ma'am' and reports on a scheduled arrival, indicating a formal service or attendant role.",success,True,,"{
  ""relationship_type"": ""royal_service"",
  ""confidence"": 0.85,
  ""evidence"": ""Jenner addresses the listener as 'ma'am' and reports on a scheduled arrival, indicating a formal service or attendant role.""
}"
mrs brown,,L396382,L396383,,1,1,u6704,VICTORIA,,u6699,JENNER,VICTORIA: Whom?,Whom?,"JENNER: We're expecting Brown this afternoon, ma'am.",royal_service,class_or_service,0.9,"Jenner addresses Victoria as 'ma'am' while providing a report on expected arrivals, identifying a household service or attendant role.",success,True,,"{
  ""relationship_type"": ""royal_service"",
  ""confidence"": 0.9,
  ""evidence"": ""Jenner addresses Victoria as 'ma'am' while providing a report on expected arrivals, identifying a household service or attendant role.""
}"
mrs brown,,L396384,L396384,,0,0,u6704,VICTORIA,,,,"VICTORIA: That's a very pretty shawl you are wearing, Alex. Silk suits you well. But you are not eating enough. One must not let vanity overrule one's appetite.","That's a very pretty shawl you are wearing, Alex. Silk suits you well. But you are not eating enough. One must not let vanity overrule one's appetite.",,friend,friendship,0.85,"The speaker addresses the listener by a familiar name ('Alex'), offers a personal compliment on their appearance, and shows intimate concern regarding their eating habits.",success,True,,"{
  ""relationship_type"": ""friend"",
  ""confidence"": 0.85,
  ""evidence"": ""The speaker addresses the listener by a familiar name ('Alex'), offers a personal compliment on their appearance, and shows intimate concern regarding their eating habits.""
}"
mrs brown,,L396384,L396385,,1,1,u6702,PRINCESS ALEXANDRA,,u6704,VICTORIA,"PRINCESS ALEXANDRA: Yes, ma'am.","Yes, ma'am.","VICTORIA: That's a very pretty shawl you are wearing, Alex. Silk suits you well. But you are not eating enough. One must not let vanity overrule one's appetite.",monarch_subject_authority,authority,0.9,"The speaker responds with 'Yes, ma'am' to the listener's authoritative instruction regarding her eating habits and vanity, indicating a relationship shaped by rank and formal authority.",success,True,,"{
  ""relationship_type"": ""monarch_subject_authority"",
  ""confidence"": 0.9,
  ""evidence"": ""The speaker responds with 'Yes, ma'am' to the listener's authoritative instruction regarding her eating habits and vanity, indicating a relationship shaped by rank and formal authority.""
}"
mrs brown,,L396387,L396387,,0,0,u6701,PONSONBY,,,,"PONSONBY: Her Majesty's routine at Osborne House is not as you will remember it. The Household remains in full mourning and no-one is permitted to raise their voice under any circumstances whatsoever. As for the Queen's routine, she breakfasts at nine thirty, lunches at two,takes tea at five thirty and dinner at eight forty five. No one is allowed to leave the building while the Queen is at home. On the rare occasions when she is out, you may ask permission to leave, but only with my consent. You're to be ready to walk the pony at any time after ten o'clock. You'll clean her outdoor things and do any odd jobs as and when she requires.","Her Majesty's routine at Osborne House is not as you will remember it. The Household remains in full mourning and no-one is permitted to raise their voice under any circumstances whatsoever. As for the Queen's routine, she breakfasts at nine thirty, lunches at two,takes tea at five thirty and dinner at eight forty five. No one is allowed to leave the building while the Queen is at home. On the rare occasions when she is out, you may ask permission to leave, but only with my consent. You're to be ready to walk the pony at any time after ten o'clock. You'll clean her outdoor things and do any odd jobs as and when she requires.",,royal_service,class_or_service,0.95,"PONSONBY assigns the listener specific chores like walking the pony and cleaning the Queen's outdoor things, indicating a household service role.",success,True,,"{
  ""relationship_type"": ""royal_service"",
  ""confidence"": 0.95,
  ""evidence"": ""PONSONBY assigns the listener specific chores like walking the pony and cleaning the Queen's outdoor things, indicating a household service role.""
}"
