movie_name,movie_idx,conversation_id,utterance_id,timestamp,turn_index,utterance_order,speaker_id,speaker_name,reply_to,listener_id,listener_name,text
gladiator,m76,L242408,L242408,,0,0,u1161,LUCILLA,,,,"Where are we now, Commodus? Can you see the camp? My Gods! The air is turning into ice!"
gladiator,m76,L242408,L242409,,1,1,u1155,COMMODUS,L242408,u1161,LUCILLA,"We're nearly there, Lucilla."
gladiator,m76,L242408,L242410,,2,2,u1161,LUCILLA,L242409,u1155,COMMODUS,That's what you told me two days ago!
gladiator,m76,L242408,L242411,,3,3,u1155,COMMODUS,L242410,u1161,LUCILLA,Will you please get back in your wagon? And stay there?
gladiator,m76,L242408,L242412,,4,4,u1161,LUCILLA,L242411,u1155,COMMODUS,I'm tired of being stuck in that wagon.
gladiator,m76,L242414,L242414,,0,0,u1155,COMMODUS,,,,Where is my father?
gladiator,m76,L242414,L242415,,1,1,u1168,TRIBUUS,L242414,u1155,COMMODUS,"Where is the emperor and the army, soldier?"
gladiator,m76,L242427,L242427,,0,0,u1165,QUINTUS,,,,I see the emperor's little boy has finally caught up with the army.
gladiator,m76,L242427,L242428,,1,1,u1163,NARCISSUS,L242427,u1165,QUINTUS,Let's hope he doesn't start giving orders.
gladiator,m76,L242441,L242441,,0,0,u1155,COMMODUS,,,,"Welcome back from your great triumph Narcissus Meridas. My father sends his heart felt praise. Sadly, Marcus is in dark humors -- nothing to worry about, but he needs rest. Likely just the weather."
gladiator,m76,L242441,L242442,,1,1,u1163,NARCISSUS,L242441,u1155,COMMODUS,"Respectfully Caesar, Quintus and I must report."
gladiator,m76,L242441,L242443,,2,2,u1155,COMMODUS,L242442,u1163,NARCISSUS,"Of course, but not now. However, if he continues to be unwell, you may report to me."
gladiator,m76,L242444,L242444,,0,0,u1165,QUINTUS,,,,"Gladly, Caesar. And, if you'd like we can take you for a tour of the front at first light."
gladiator,m76,L242444,L242445,,1,1,u1155,COMMODUS,L242444,u1165,QUINTUS,"I'm certain father will be in better humors by then. Now, honor us with your presence at dinner. I'll join you as soon as I see my father's physician."
gladiator,m76,L242446,L242446,,0,0,u1163,NARCISSUS,,,,What the hell was all that about?
gladiator,m76,L242446,L242447,,1,1,u1165,QUINTUS,L242446,u1163,NARCISSUS,What the hell do you think it was about? There's nothing an unproved heir to the throne likes less than glaring competence in others.
gladiator,m76,L242446,L242448,,2,2,u1163,NARCISSUS,L242447,u1165,QUINTUS,Why don't we try to keep politics out of the conversation.
gladiator,m76,L242446,L242449,,3,3,u1165,QUINTUS,L242448,u1163,NARCISSUS,"Well, we can try..."
gladiator,m76,L242454,L242454,,0,0,u1163,NARCISSUS,,,,"No future-telling, please, I've been terrified enough for one day."
gladiator,m76,L242454,L242455,,1,1,u1161,LUCILLA,L242454,u1163,NARCISSUS,Narcissus! Terrified? You? The only thing he's scared of is me.
gladiator,m76,L242458,L242458,,0,0,u1161,LUCILLA,,,,You know our two most senior Senators: Gaius Cantus and Falco Verus?
gladiator,m76,L242458,L242459,,1,1,u1163,NARCISSUS,L242458,u1161,LUCILLA,Only from a distance.
gladiator,m76,L242466,L242466,,0,0,u1155,COMMODUS,,,,"More wine, sister? Surely you can drink more than that."
gladiator,m76,L242466,L242467,,1,1,u1161,LUCILLA,L242466,u1155,COMMODUS,I was suddenly thinking about going to bed.
gladiator,m76,L242466,L242468,,2,2,u1155,COMMODUS,L242467,u1161,LUCILLA,"Oh, stay... Don't you want to join the chorus of praises for Narcissus' glory? Just remember, he is a married man."
gladiator,m76,L242469,L242469,,0,0,u1163,NARCISSUS,,,,Do you expect Marcus to be well enough by morning for an audience?
gladiator,m76,L242469,L242470,,1,1,u1155,COMMODUS,L242469,u1163,NARCISSUS,"That's difficult to say, general."
