movie_name,conversation_id,utterance_id,turn_index,utterance_order,speaker_id,speaker_name,listener_id,listener_name,current_turn,current_text,context_text,num_prev_turns,prev_turn_1,prev_turn_2,prev_turn_3,prev_turn_4,prev_turn_5,prev_turn_6
gladiator,L242408,L242408,0,0,u1161,LUCILLA,,,"LUCILLA: Where are we now, Commodus? Can you see the camp? My Gods! The air is turning into ice!","Where are we now, Commodus? Can you see the camp? My Gods! The air is turning into ice!",,0,,,,,,
gladiator,L242408,L242409,1,1,u1155,COMMODUS,u1161,LUCILLA,"COMMODUS: We're nearly there, Lucilla.","We're nearly there, Lucilla.","LUCILLA: Where are we now, Commodus? Can you see the camp? My Gods! The air is turning into ice!",1,,,,,,"LUCILLA: Where are we now, Commodus? Can you see the camp? My Gods! The air is turning into ice!"
gladiator,L242408,L242410,2,2,u1161,LUCILLA,u1155,COMMODUS,LUCILLA: That's what you told me two days ago!,That's what you told me two days ago!,"LUCILLA: Where are we now, Commodus? Can you see the camp? My Gods! The air is turning into ice!
COMMODUS: We're nearly there, Lucilla.",2,,,,,"LUCILLA: Where are we now, Commodus? Can you see the camp? My Gods! The air is turning into ice!","COMMODUS: We're nearly there, Lucilla."
gladiator,L242408,L242411,3,3,u1155,COMMODUS,u1161,LUCILLA,COMMODUS: Will you please get back in your wagon? And stay there?,Will you please get back in your wagon? And stay there?,"LUCILLA: Where are we now, Commodus? Can you see the camp? My Gods! The air is turning into ice!
COMMODUS: We're nearly there, Lucilla.
LUCILLA: That's what you told me two days ago!",3,,,,"LUCILLA: Where are we now, Commodus? Can you see the camp? My Gods! The air is turning into ice!","COMMODUS: We're nearly there, Lucilla.",LUCILLA: That's what you told me two days ago!
gladiator,L242408,L242412,4,4,u1161,LUCILLA,u1155,COMMODUS,LUCILLA: I'm tired of being stuck in that wagon.,I'm tired of being stuck in that wagon.,"LUCILLA: Where are we now, Commodus? Can you see the camp? My Gods! The air is turning into ice!
COMMODUS: We're nearly there, Lucilla.
LUCILLA: That's what you told me two days ago!
COMMODUS: Will you please get back in your wagon? And stay there?",4,,,"LUCILLA: Where are we now, Commodus? Can you see the camp? My Gods! The air is turning into ice!","COMMODUS: We're nearly there, Lucilla.",LUCILLA: That's what you told me two days ago!,COMMODUS: Will you please get back in your wagon? And stay there?
gladiator,L242414,L242414,0,0,u1155,COMMODUS,,,COMMODUS: Where is my father?,Where is my father?,,0,,,,,,
gladiator,L242414,L242415,1,1,u1168,TRIBUUS,u1155,COMMODUS,"TRIBUUS: Where is the emperor and the army, soldier?","Where is the emperor and the army, soldier?",COMMODUS: Where is my father?,1,,,,,,COMMODUS: Where is my father?
gladiator,L242427,L242427,0,0,u1165,QUINTUS,,,QUINTUS: I see the emperor's little boy has finally caught up with the army.,I see the emperor's little boy has finally caught up with the army.,,0,,,,,,
gladiator,L242427,L242428,1,1,u1163,NARCISSUS,u1165,QUINTUS,NARCISSUS: Let's hope he doesn't start giving orders.,Let's hope he doesn't start giving orders.,QUINTUS: I see the emperor's little boy has finally caught up with the army.,1,,,,,,QUINTUS: I see the emperor's little boy has finally caught up with the army.
gladiator,L242441,L242441,0,0,u1155,COMMODUS,,,"COMMODUS: Welcome back from your great triumph Narcissus Meridas. My father sends his heart felt praise. Sadly, Marcus is in dark humors -- nothing to worry about, but he needs rest. Likely just the weather.","Welcome back from your great triumph Narcissus Meridas. My father sends his heart felt praise. Sadly, Marcus is in dark humors -- nothing to worry about, but he needs rest. Likely just the weather.",,0,,,,,,
gladiator,L242441,L242442,1,1,u1163,NARCISSUS,u1155,COMMODUS,"NARCISSUS: Respectfully Caesar, Quintus and I must report.","Respectfully Caesar, Quintus and I must report.","COMMODUS: Welcome back from your great triumph Narcissus Meridas. My father sends his heart felt praise. Sadly, Marcus is in dark humors -- nothing to worry about, but he needs rest. Likely just the weather.",1,,,,,,"COMMODUS: Welcome back from your great triumph Narcissus Meridas. My father sends his heart felt praise. Sadly, Marcus is in dark humors -- nothing to worry about, but he needs rest. Likely just the weather."
