modeling_row_id,movie_name,conversation_id,utterance_id,context_6_turns,current_text,final_power_dynamic,final_respect_level,model_text,speaker_name,listener_name,judge1_power_dynamic,judge2_power_dynamic,judge1_respect_level,judge2_respect_level
0,amadeus,L29991,L29994,"1. OLD SALIERI: What do you want?
2. VOGLER to OLD SALIERI: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.
3. OLD SALIERI to VOGLER: About what?","You tried to take your life. You do remember that, don't you?",speaker_higher_power,neutral_respect,"Context:
1. OLD SALIERI: What do you want?
2. VOGLER to OLD SALIERI: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.
3. OLD SALIERI to VOGLER: About what?

Current turn:
You tried to take your life. You do remember that, don't you?",VOGLER,OLD SALIERI,speaker_higher_power,speaker_higher_power,neutral_respect,neutral_respect
1,amadeus,L29991,L29996,"1. OLD SALIERI: What do you want?
2. VOGLER to OLD SALIERI: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.
3. OLD SALIERI to VOGLER: About what?
4. VOGLER to OLD SALIERI: You tried to take your life. You do remember that, don't you?
5. OLD SALIERI to VOGLER: So?",In the sight of God that is a sin.,speaker_higher_power,neutral_respect,"Context:
1. OLD SALIERI: What do you want?
2. VOGLER to OLD SALIERI: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.
3. OLD SALIERI to VOGLER: About what?
4. VOGLER to OLD SALIERI: You tried to take your life. You do remember that, don't you?
5. OLD SALIERI to VOGLER: So?

Current turn:
In the sight of God that is a sin.",VOGLER,OLD SALIERI,speaker_higher_power,speaker_higher_power,neutral_respect,neutral_respect
2,amadeus,L29991,L29998,"1. VOGLER to OLD SALIERI: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.
2. OLD SALIERI to VOGLER: About what?
3. VOGLER to OLD SALIERI: You tried to take your life. You do remember that, don't you?
4. OLD SALIERI to VOGLER: So?
5. VOGLER to OLD SALIERI: In the sight of God that is a sin.
6. OLD SALIERI to VOGLER: What do you want?",Do you understand that you have sinned? Gravely.,speaker_higher_power,neutral_respect,"Context:
1. VOGLER to OLD SALIERI: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.
2. OLD SALIERI to VOGLER: About what?
3. VOGLER to OLD SALIERI: You tried to take your life. You do remember that, don't you?
4. OLD SALIERI to VOGLER: So?
5. VOGLER to OLD SALIERI: In the sight of God that is a sin.
6. OLD SALIERI to VOGLER: What do you want?

Current turn:
Do you understand that you have sinned? Gravely.",VOGLER,OLD SALIERI,speaker_higher_power,speaker_higher_power,neutral_respect,neutral_respect
3,amadeus,L29991,L30003,"1. OLD SALIERI to VOGLER: What do you want?
2. VOGLER to OLD SALIERI: Do you understand that you have sinned? Gravely.
3. OLD SALIERI to VOGLER: Leave me alone.
4. VOGLER to OLD SALIERI: I cannot leave alone a soul in pain.
5. OLD SALIERI to VOGLER: Do you know who I am? You never heard of me, did you?
6. VOGLER to OLD SALIERI: That makes no difference. All men are equal in God's eyes.",Are they?,roughly_equal_power,neutral_respect,"Context:
1. OLD SALIERI to VOGLER: What do you want?
2. VOGLER to OLD SALIERI: Do you understand that you have sinned? Gravely.
3. OLD SALIERI to VOGLER: Leave me alone.
4. VOGLER to OLD SALIERI: I cannot leave alone a soul in pain.
5. OLD SALIERI to VOGLER: Do you know who I am? You never heard of me, did you?
6. VOGLER to OLD SALIERI: That makes no difference. All men are equal in God's eyes.

Current turn:
Are they?",OLD SALIERI,VOGLER,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
5,amadeus,L29991,L30005,"1. OLD SALIERI to VOGLER: Leave me alone.
2. VOGLER to OLD SALIERI: I cannot leave alone a soul in pain.
3. OLD SALIERI to VOGLER: Do you know who I am? You never heard of me, did you?
4. VOGLER to OLD SALIERI: That makes no difference. All men are equal in God's eyes.
5. OLD SALIERI to VOGLER: Are they?
6. VOGLER to OLD SALIERI: Offer me your confession. I can offer you God's forgiveness.",I do not seek forgiveness.,roughly_equal_power,neutral_respect,"Context:
1. OLD SALIERI to VOGLER: Leave me alone.
2. VOGLER to OLD SALIERI: I cannot leave alone a soul in pain.
3. OLD SALIERI to VOGLER: Do you know who I am? You never heard of me, did you?
4. VOGLER to OLD SALIERI: That makes no difference. All men are equal in God's eyes.
5. OLD SALIERI to VOGLER: Are they?
6. VOGLER to OLD SALIERI: Offer me your confession. I can offer you God's forgiveness.

Current turn:
I do not seek forgiveness.",OLD SALIERI,VOGLER,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
6,amadeus,L29991,L30006,"1. VOGLER to OLD SALIERI: I cannot leave alone a soul in pain.
2. OLD SALIERI to VOGLER: Do you know who I am? You never heard of me, did you?
3. VOGLER to OLD SALIERI: That makes no difference. All men are equal in God's eyes.
4. OLD SALIERI to VOGLER: Are they?
5. VOGLER to OLD SALIERI: Offer me your confession. I can offer you God's forgiveness.
6. OLD SALIERI to VOGLER: I do not seek forgiveness.","My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.",speaker_higher_power,high_respect,"Context:
1. VOGLER to OLD SALIERI: I cannot leave alone a soul in pain.
2. OLD SALIERI to VOGLER: Do you know who I am? You never heard of me, did you?
3. VOGLER to OLD SALIERI: That makes no difference. All men are equal in God's eyes.
4. OLD SALIERI to VOGLER: Are they?
5. VOGLER to OLD SALIERI: Offer me your confession. I can offer you God's forgiveness.
6. OLD SALIERI to VOGLER: I do not seek forgiveness.

Current turn:
My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.",VOGLER,OLD SALIERI,speaker_higher_power,speaker_higher_power,high_respect,high_respect
7,amadeus,L29991,L30010,"1. VOGLER to OLD SALIERI: Offer me your confession. I can offer you God's forgiveness.
2. OLD SALIERI to VOGLER: I do not seek forgiveness.
3. VOGLER to OLD SALIERI: My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.
4. OLD SALIERI to VOGLER: How well are you trained in music?
5. VOGLER to OLD SALIERI: I know a little. I studied it in my youth.
6. OLD SALIERI to VOGLER: Where?",Here in Vienna.,roughly_equal_power,neutral_respect,"Context:
1. VOGLER to OLD SALIERI: Offer me your confession. I can offer you God's forgiveness.
2. OLD SALIERI to VOGLER: I do not seek forgiveness.
3. VOGLER to OLD SALIERI: My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.
4. OLD SALIERI to VOGLER: How well are you trained in music?
5. VOGLER to OLD SALIERI: I know a little. I studied it in my youth.
6. OLD SALIERI to VOGLER: Where?

Current turn:
Here in Vienna.",VOGLER,OLD SALIERI,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
8,amadeus,L29991,L30011,"1. OLD SALIERI to VOGLER: I do not seek forgiveness.
2. VOGLER to OLD SALIERI: My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.
3. OLD SALIERI to VOGLER: How well are you trained in music?
4. VOGLER to OLD SALIERI: I know a little. I studied it in my youth.
5. OLD SALIERI to VOGLER: Where?
6. VOGLER to OLD SALIERI: Here in Vienna.",Then you must know this.,speaker_higher_power,neutral_respect,"Context:
1. OLD SALIERI to VOGLER: I do not seek forgiveness.
2. VOGLER to OLD SALIERI: My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.
3. OLD SALIERI to VOGLER: How well are you trained in music?
4. VOGLER to OLD SALIERI: I know a little. I studied it in my youth.
5. OLD SALIERI to VOGLER: Where?
6. VOGLER to OLD SALIERI: Here in Vienna.

Current turn:
Then you must know this.",OLD SALIERI,VOGLER,speaker_higher_power,speaker_higher_power,neutral_respect,neutral_respect
9,amadeus,L30015,L30016,1. OLD SALIERI: Well?,I regret it is not too familiar.,roughly_equal_power,high_respect,"Context:
1. OLD SALIERI: Well?

Current turn:
I regret it is not too familiar.",VOGLER,OLD SALIERI,roughly_equal_power,roughly_equal_power,high_respect,high_respect
11,amadeus,L30018,L30021,"1. VOGLER: Oh, I know that! That's charming!  I didn't know you wrote that.
2. OLD SALIERI to VOGLER: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?
3. VOGLER to OLD SALIERI: Of course. The man you accuse yourself of killing.",Ah - you've heard that?,roughly_equal_power,neutral_respect,"Context:
1. VOGLER: Oh, I know that! That's charming!  I didn't know you wrote that.
2. OLD SALIERI to VOGLER: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?
3. VOGLER to OLD SALIERI: Of course. The man you accuse yourself of killing.

Current turn:
Ah - you've heard that?",OLD SALIERI,VOGLER,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
