movie_name,movie_idx,conversation_id,utterance_id,timestamp,speaker_id,speaker_name,reply_to,listener_id,listener_name,text
dead poets society,m318,L157213,L157213,,u4786,NOLAN,,,,"Welcome. back, Mr. Dalton. How's your father?"
dead poets society,m318,L157213,L157214,,u4776,CHARLIE,L157213,u4786,NOLAN,"Doing fine, sir."
dead poets society,m318,L157213,L157215,,u4786,NOLAN,L157214,u4776,CHARLIE,"Your family move into that new house, Mr. Overstreet?"
dead poets society,m318,L157225,L157225,,u4785,NEIL,,,,I hear we're going to be roommates. Neil Perry.
dead poets society,m318,L157225,L157226,,u4788,TODD,L157225,u4785,NEIL,Todd Anderson.
dead poets society,m318,L157227,L157227,,u4785,NEIL,,,,Why'd you leave Balincrest?
dead poets society,m318,L157227,L157228,,u4788,TODD,L157227,u4785,NEIL,My brother went here.
dead poets society,m318,L157227,L157229,,u4785,NEIL,L157228,u4788,TODD,"Oh, so you're that Anderson."
dead poets society,m318,L157230,L157230,,u4788,TODD,,,,My parents wanted me here all along but my grades weren't good enough. I had to go to Balincrest to pull them up.
dead poets society,m318,L157230,L157231,,u4785,NEIL,L157230,u4788,TODD,"Well, you've won the booby prize. Don't expect to like it here."
dead poets society,m318,L157230,L157232,,u4788,TODD,L157231,u4785,NEIL,I don't.
dead poets society,m318,L157235,L157235,,u4776,CHARLIE,,,,"Hey, I heard you went to summer school?"
dead poets society,m318,L157235,L157236,,u4785,NEIL,L157235,u4776,CHARLIE,"Yeah, chemistry. My father thought I should get ahead."
dead poets society,m318,L157235,L157237,,u4776,CHARLIE,L157236,u4785,NEIL,"Well, Meeks aced Latin and I didn't quite flunk English so if you want, we've got our study group."
dead poets society,m318,L157235,L157238,,u4785,NEIL,L157237,u4776,CHARLIE,"Sure, but Cameron asked me too. Anybody mind including him?"
dead poets society,m318,L157235,L157239,,u4776,CHARLIE,L157238,u4785,NEIL,"What's his specialty, brown-nosing?"
dead poets society,m318,L157240,L157240,,u4785,NEIL,,,,"Hey, he's your roommate."
dead poets society,m318,L157240,L157241,,u4776,CHARLIE,L157240,u4785,NEIL,That's not my fault.
dead poets society,m318,L157244,L157244,,u4776,CHARLIE,,,,Charlie Dalton.
dead poets society,m318,L157244,L157245,,u4782,KNOX,L157244,u4776,CHARLIE,Knox Overstreet.
dead poets society,m318,L157246,L157246,,u4785,NEIL,,,,Todd's brother is Jeffrey Anderson.
dead poets society,m318,L157246,L157247,,u4776,CHARLIE,L157246,u4785,NEIL,"Oh yeah. Sure. Valedictorian, National Merit Scholar"
dead poets society,m318,L157248,L157248,,u4783,MEEKS,,,,"Well, welcome to ""Hell""ton."
dead poets society,m318,L157248,L157249,,u4776,CHARLIE,L157248,u4783,MEEKS,It's every bit as hard as they say. Unless you're a genius like Meeks.
