movie_name,movie_idx,conversation_id,utterance_id,timestamp,turn_index,utterance_order,speaker_id,speaker_name,reply_to,listener_id,listener_name,current_turn,current_text,context_text,relationship_type,global_category,confidence,evidence,status,parse_success,error,raw_response
an officer and a gentleman,,L426539,L426539,,0,0,u2405,BYRON,,,,"BYRON: You, Zack?","You, Zack?",,unclear,unclear,1.0,"The turn 'You, Zack?' provides no context regarding the speaker's relationship to the listener beyond knowing their name.",success,True,,"{
  ""relationship_type"": ""unclear"",
  ""confidence"": 1.0,
  ""evidence"": ""The turn 'You, Zack?' provides no context regarding the speaker's relationship to the listener beyond knowing their name.""
}"
an officer and a gentleman,,L426539,L426540,,1,1,u2415,ZACK,,u2405,BYRON,"ZACK: Yes, Sir.","Yes, Sir.","BYRON: You, Zack?",instructor_trainee_authority,authority,0.95,"ZACK addresses BYRON as 'Sir,' which in the context of military training indicates a hierarchical relationship of authority or rank.",success,True,,"{
  ""relationship_type"": ""instructor_trainee_authority"",
  ""confidence"": 0.95,
  ""evidence"": ""ZACK addresses BYRON as 'Sir,' which in the context of military training indicates a hierarchical relationship of authority or rank.""
}"
an officer and a gentleman,,L426539,L426541,,2,2,u2405,BYRON,,u2415,ZACK,BYRON: I'm Byron. Nice to meet you. C'mon. Let's go get your luggage.,I'm Byron. Nice to meet you. C'mon. Let's go get your luggage.,"BYRON: You, Zack?
ZACK: Yes, Sir.",acquaintance,acquaintance,0.9,"The speaker introduces himself ('I'm Byron') and states it is 'Nice to meet you,' which directly indicates a first-time meeting and the establishment of an acquaintance relationship.",success,True,,"{
  ""relationship_type"": ""acquaintance"",
  ""confidence"": 0.9,
  ""evidence"": ""The speaker introduces himself ('I'm Byron') and states it is 'Nice to meet you,' which directly indicates a first-time meeting and the establishment of an acquaintance relationship.""
}"
an officer and a gentleman,,L426543,L426543,,0,0,u2405,BYRON,,,,"BYRON: How was the flight? They take care of you okay? Long way from Norfolk, isn't it?","How was the flight? They take care of you okay? Long way from Norfolk, isn't it?",,acquaintance,acquaintance,0.7,"The speaker knows the listener's point of origin and inquires about their travel comfort, suggesting they are known to each other, though the specific nature of the bond is not defined.",success,True,,"{
  ""relationship_type"": ""acquaintance"",
  ""confidence"": 0.7,
  ""evidence"": ""The speaker knows the listener's point of origin and inquires about their travel comfort, suggesting they are known to each other, though the specific nature of the bond is not defined.""
}"
an officer and a gentleman,,L426543,L426544,,1,1,u2415,ZACK,,u2405,BYRON,"ZACK: Yes, sir.","Yes, sir.","BYRON: How was the flight? They take care of you okay? Long way from Norfolk, isn't it?",instructor_trainee_authority,authority,0.85,"Zack addresses Byron as 'sir' in response to questions about his arrival, indicating a clear hierarchy or rank-based relationship.",success,True,,"{
  ""relationship_type"": ""instructor_trainee_authority"",
  ""confidence"": 0.85,
  ""evidence"": ""Zack addresses Byron as 'sir' in response to questions about his arrival, indicating a clear hierarchy or rank-based relationship.""
}"
an officer and a gentleman,,L426543,L426545,,2,2,u2405,BYRON,,u2415,ZACK,"BYRON: Listen, kid, I was sorry to hear about your mom. That's pretty rough. I would've returned your call a lot sooner but I was out at sea...","Listen, kid, I was sorry to hear about your mom. That's pretty rough. I would've returned your call a lot sooner but I was out at sea...","BYRON: How was the flight? They take care of you okay? Long way from Norfolk, isn't it?
ZACK: Yes, sir.",unclear,unclear,0.9,"The dialogue indicates a pre-existing relationship involving personal history (a phone call regarding a mother's death) and a hierarchical structure (use of 'sir' and 'kid'), but there is insufficient evidence in the text to determine if the bond is military, mentor-based, or familial.",success,True,,"{
  ""relationship_type"": ""unclear"",
  ""confidence"": 0.9,
  ""evidence"": ""The dialogue indicates a pre-existing relationship involving personal history (a phone call regarding a mother's death) and a hierarchical structure (use of 'sir' and 'kid'), but there is insufficient evidence in the text to determine if the bond is military, mentor-based, or familial.""
}"
an officer and a gentleman,,L426543,L426546,,3,3,u2415,ZACK,,u2405,BYRON,ZACK: I been calling for four months.,I been calling for four months.,"BYRON: How was the flight? They take care of you okay? Long way from Norfolk, isn't it?
ZACK: Yes, sir.
BYRON: Listen, kid, I was sorry to hear about your mom. That's pretty rough. I would've returned your call a lot sooner but I was out at sea...",adversarial,adversarial,0.85,ZACK's response is confrontational and expresses personal hostility toward BYRON's excuse for failing to return his calls for four months.,success,True,,"{
  ""relationship_type"": ""adversarial"",
  ""confidence"": 0.85,
  ""evidence"": ""ZACK's response is confrontational and expresses personal hostility toward BYRON's excuse for failing to return his calls for four months.""
}"
an officer and a gentleman,,L426543,L426547,,4,4,u2405,BYRON,,u2415,ZACK,"BYRON: Well, that's how long I've been out at sea.","Well, that's how long I've been out at sea.","BYRON: How was the flight? They take care of you okay? Long way from Norfolk, isn't it?
ZACK: Yes, sir.
BYRON: Listen, kid, I was sorry to hear about your mom. That's pretty rough. I would've returned your call a lot sooner but I was out at sea...
ZACK: I been calling for four months.",acquaintance,acquaintance,0.85,"The characters have a known personal connection regarding Zack's mother and previous contact, but the specific nature of their relationship is not defined, and Zack uses the formal address 'sir'.",success,True,,"{
  ""relationship_type"": ""acquaintance"",
  ""confidence"": 0.85,
  ""evidence"": ""The characters have a known personal connection regarding Zack's mother and previous contact, but the specific nature of their relationship is not defined, and Zack uses the formal address 'sir'.""
}"
an officer and a gentleman,,L426551,L426551,,0,0,u2405,BYRON,,,,BYRON: This is it. This is where I live. I suppose you could bunk over there and you could go to school at the base.,This is it. This is where I live. I suppose you could bunk over there and you could go to school at the base.,,unclear,unclear,0.9,"While the speaker describes a living and school arrangement, there is insufficient context to identify the specific relationship between the speaker and the unknown listener.",success,True,,"{
  ""relationship_type"": ""unclear"",
  ""confidence"": 0.9,
  ""evidence"": ""While the speaker describes a living and school arrangement, there is insufficient context to identify the specific relationship between the speaker and the unknown listener.""
}"
an officer and a gentleman,,L426551,L426552,,1,1,u2415,ZACK,,u2405,BYRON,ZACK: Great.,Great.,BYRON: This is it. This is where I live. I suppose you could bunk over there and you could go to school at the base.,acquaintance,acquaintance,0.8,"The characters clearly know each other as Byron is offering Zack a place to stay and discussing his schooling, but the text does not yet provide enough evidence to define a more specific bond like friend or military peer.",success,True,,"{
  ""relationship_type"": ""acquaintance"",
  ""confidence"": 0.8,
  ""evidence"": ""The characters clearly know each other as Byron is offering Zack a place to stay and discussing his schooling, but the text does not yet provide enough evidence to define a more specific bond like friend or military peer.""
}"
an officer and a gentleman,,L426551,L426553,,2,2,u2405,BYRON,,u2415,ZACK,"BYRON: I'm not finished. I'll only be in port one week a month and when I'm here you'd never catch me playing daddy with you 'cause it's not who I am. Like I told you on the phone, you I'd be better off in that state school back in Virginia.","I'm not finished. I'll only be in port one week a month and when I'm here you'd never catch me playing daddy with you 'cause it's not who I am. Like I told you on the phone, you I'd be better off in that state school back in Virginia.","BYRON: This is it. This is where I live. I suppose you could bunk over there and you could go to school at the base.
ZACK: Great.",adversarial,adversarial,0.85,"Byron displays a hostile and resistant attitude toward the listener, explicitly rejecting a supportive role ('never catch me playing daddy') and stating the listener would be better off elsewhere.",success,True,,"{
  ""relationship_type"": ""adversarial"",
  ""confidence"": 0.85,
  ""evidence"": ""Byron displays a hostile and resistant attitude toward the listener, explicitly rejecting a supportive role ('never catch me playing daddy') and stating the listener would be better off elsewhere.""
}"
an officer and a gentleman,,L426551,L426554,,3,3,u2415,ZACK,,u2405,BYRON,"ZACK: I ain't never going back to that school, sir.","I ain't never going back to that school, sir.","BYRON: This is it. This is where I live. I suppose you could bunk over there and you could go to school at the base.
ZACK: Great.
BYRON: I'm not finished. I'll only be in port one week a month and when I'm here you'd never catch me playing daddy with you 'cause it's not who I am. Like I told you on the phone, you I'd be better off in that state school back in Virginia.",adversarial,adversarial,0.85,"Byron is personally hostile and dismissive, explicitly rejecting a parental role ('never catch me playing daddy'), while Zack is resistant to Byron's suggestion regarding school.",success,True,,"{
  ""relationship_type"": ""adversarial"",
  ""confidence"": 0.85,
  ""evidence"": ""Byron is personally hostile and dismissive, explicitly rejecting a parental role ('never catch me playing daddy'), while Zack is resistant to Byron's suggestion regarding school.""
}"
an officer and a gentleman,,L426551,L426555,,4,4,u2405,BYRON,,u2415,ZACK,BYRON: You got to kid. Let me spell it out for you. This is a whorehouse. And I happen to like my life the way it is and nobody's gonna make me change.,You got to kid. Let me spell it out for you. This is a whorehouse. And I happen to like my life the way it is and nobody's gonna make me change.,"BYRON: This is it. This is where I live. I suppose you could bunk over there and you could go to school at the base.
ZACK: Great.
BYRON: I'm not finished. I'll only be in port one week a month and when I'm here you'd never catch me playing daddy with you 'cause it's not who I am. Like I told you on the phone, you I'd be better off in that state school back in Virginia.
ZACK: I ain't never going back to that school, sir.",adversarial,adversarial,0.85,"BYRON is confrontational and personally hostile, explicitly rejecting a caregiving role ('playing daddy') and using harsh language to discourage the listener.",success,True,,"{
  ""relationship_type"": ""adversarial"",
  ""confidence"": 0.85,
  ""evidence"": ""BYRON is confrontational and personally hostile, explicitly rejecting a caregiving role ('playing daddy') and using harsh language to discourage the listener.""
}"
an officer and a gentleman,,L426551,L426556,,5,5,u2415,ZACK,,u2405,BYRON,ZACK: I don't care about that. I just ain't going back. You don't want me? Okay. I'll find me another place.,I don't care about that. I just ain't going back. You don't want me? Okay. I'll find me another place.,"BYRON: This is it. This is where I live. I suppose you could bunk over there and you could go to school at the base.
ZACK: Great.
BYRON: I'm not finished. I'll only be in port one week a month and when I'm here you'd never catch me playing daddy with you 'cause it's not who I am. Like I told you on the phone, you I'd be better off in that state school back in Virginia.
ZACK: I ain't never going back to that school, sir.
BYRON: You got to kid. Let me spell it out for you. This is a whorehouse. And I happen to like my life the way it is and nobody's gonna make me change.",adversarial,adversarial,0.85,The exchange is confrontational and resistant; Byron explicitly rejects a parental role ('playing daddy') and Zack responds defiantly to Byron's rejection by stating he will find another place.,success,True,,"{
  ""relationship_type"": ""adversarial"",
  ""confidence"": 0.85,
  ""evidence"": ""The exchange is confrontational and resistant; Byron explicitly rejects a parental role ('playing daddy') and Zack responds defiantly to Byron's rejection by stating he will find another place.""
}"
an officer and a gentleman,,L426558,L426558,,0,0,u2405,BYRON,,,,"BYRON: Come back here, kid!","Come back here, kid!",,unclear,unclear,0.95,A single imperative turn with no preceding context or identifying titles for the characters makes it impossible to determine a specific relationship type.,success,True,,"{
  ""relationship_type"": ""unclear"",
  ""confidence"": 0.95,
  ""evidence"": ""A single imperative turn with no preceding context or identifying titles for the characters makes it impossible to determine a specific relationship type.""
}"
