example_id,movie_name,conversation_id,utterance_id,speaker_name,listener_name,context_6_turns,current_text,final_power_dynamic,final_respect_level,judge1_power_dynamic,judge2_power_dynamic,judge1_respect_level,judge2_respect_level
amadeus__conv_L29991__utt_L29991,amadeus,L29991,L29991,OLD SALIERI,,,What do you want?,,,unclear,unclear,neutral_respect,neutral_respect
amadeus__conv_L29991__utt_L29992,amadeus,L29991,L29992,VOGLER,OLD SALIERI,1. OLD SALIERI: What do you want?,I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.,,,roughly_equal_power,speaker_higher_power,high_respect,high_respect
amadeus__conv_L29991__utt_L29993,amadeus,L29991,L29993,OLD SALIERI,VOGLER,"1. OLD SALIERI: What do you want?
2. VOGLER to OLD SALIERI: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.",About what?,,,roughly_equal_power,listener_higher_power,neutral_respect,neutral_respect
amadeus__conv_L29991__utt_L29994,amadeus,L29991,L29994,VOGLER,OLD SALIERI,"1. OLD SALIERI: What do you want?
2. VOGLER to OLD SALIERI: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.
3. OLD SALIERI to VOGLER: About what?","You tried to take your life. You do remember that, don't you?",speaker_higher_power,neutral_respect,speaker_higher_power,speaker_higher_power,neutral_respect,neutral_respect
amadeus__conv_L29991__utt_L29995,amadeus,L29991,L29995,OLD SALIERI,VOGLER,"1. OLD SALIERI: What do you want?
2. VOGLER to OLD SALIERI: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.
3. OLD SALIERI to VOGLER: About what?
4. VOGLER to OLD SALIERI: You tried to take your life. You do remember that, don't you?",So?,,,roughly_equal_power,listener_higher_power,low_respect,low_respect
amadeus__conv_L29991__utt_L29996,amadeus,L29991,L29996,VOGLER,OLD SALIERI,"1. OLD SALIERI: What do you want?
2. VOGLER to OLD SALIERI: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.
3. OLD SALIERI to VOGLER: About what?
4. VOGLER to OLD SALIERI: You tried to take your life. You do remember that, don't you?
5. OLD SALIERI to VOGLER: So?",In the sight of God that is a sin.,speaker_higher_power,neutral_respect,speaker_higher_power,speaker_higher_power,neutral_respect,neutral_respect
amadeus__conv_L29991__utt_L29997,amadeus,L29991,L29997,OLD SALIERI,VOGLER,"1. OLD SALIERI: What do you want?
2. VOGLER to OLD SALIERI: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.
3. OLD SALIERI to VOGLER: About what?
4. VOGLER to OLD SALIERI: You tried to take your life. You do remember that, don't you?
5. OLD SALIERI to VOGLER: So?
6. VOGLER to OLD SALIERI: In the sight of God that is a sin.",What do you want?,,,roughly_equal_power,listener_higher_power,neutral_respect,low_respect
amadeus__conv_L29991__utt_L29998,amadeus,L29991,L29998,VOGLER,OLD SALIERI,"1. VOGLER to OLD SALIERI: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.
2. OLD SALIERI to VOGLER: About what?
3. VOGLER to OLD SALIERI: You tried to take your life. You do remember that, don't you?
4. OLD SALIERI to VOGLER: So?
5. VOGLER to OLD SALIERI: In the sight of God that is a sin.
6. OLD SALIERI to VOGLER: What do you want?",Do you understand that you have sinned? Gravely.,speaker_higher_power,neutral_respect,speaker_higher_power,speaker_higher_power,neutral_respect,neutral_respect
amadeus__conv_L29991__utt_L29999,amadeus,L29991,L29999,OLD SALIERI,VOGLER,"1. OLD SALIERI to VOGLER: About what?
2. VOGLER to OLD SALIERI: You tried to take your life. You do remember that, don't you?
3. OLD SALIERI to VOGLER: So?
4. VOGLER to OLD SALIERI: In the sight of God that is a sin.
5. OLD SALIERI to VOGLER: What do you want?
6. VOGLER to OLD SALIERI: Do you understand that you have sinned? Gravely.",Leave me alone.,,,roughly_equal_power,listener_higher_power,low_respect,low_respect
amadeus__conv_L29991__utt_L30000,amadeus,L29991,L30000,VOGLER,OLD SALIERI,"1. VOGLER to OLD SALIERI: You tried to take your life. You do remember that, don't you?
2. OLD SALIERI to VOGLER: So?
3. VOGLER to OLD SALIERI: In the sight of God that is a sin.
4. OLD SALIERI to VOGLER: What do you want?
5. VOGLER to OLD SALIERI: Do you understand that you have sinned? Gravely.
6. OLD SALIERI to VOGLER: Leave me alone.",I cannot leave alone a soul in pain.,,,roughly_equal_power,speaker_higher_power,high_respect,high_respect
amadeus__conv_L29991__utt_L30001,amadeus,L29991,L30001,OLD SALIERI,VOGLER,"1. OLD SALIERI to VOGLER: So?
2. VOGLER to OLD SALIERI: In the sight of God that is a sin.
3. OLD SALIERI to VOGLER: What do you want?
4. VOGLER to OLD SALIERI: Do you understand that you have sinned? Gravely.
5. OLD SALIERI to VOGLER: Leave me alone.
6. VOGLER to OLD SALIERI: I cannot leave alone a soul in pain.","Do you know who I am? You never heard of me, did you?",,,speaker_higher_power,roughly_equal_power,low_respect,low_respect
amadeus__conv_L29991__utt_L30002,amadeus,L29991,L30002,VOGLER,OLD SALIERI,"1. VOGLER to OLD SALIERI: In the sight of God that is a sin.
2. OLD SALIERI to VOGLER: What do you want?
3. VOGLER to OLD SALIERI: Do you understand that you have sinned? Gravely.
4. OLD SALIERI to VOGLER: Leave me alone.
5. VOGLER to OLD SALIERI: I cannot leave alone a soul in pain.
6. OLD SALIERI to VOGLER: Do you know who I am? You never heard of me, did you?",That makes no difference. All men are equal in God's eyes.,,,roughly_equal_power,speaker_higher_power,neutral_respect,neutral_respect
amadeus__conv_L29991__utt_L30003,amadeus,L29991,L30003,OLD SALIERI,VOGLER,"1. OLD SALIERI to VOGLER: What do you want?
2. VOGLER to OLD SALIERI: Do you understand that you have sinned? Gravely.
3. OLD SALIERI to VOGLER: Leave me alone.
4. VOGLER to OLD SALIERI: I cannot leave alone a soul in pain.
5. OLD SALIERI to VOGLER: Do you know who I am? You never heard of me, did you?
6. VOGLER to OLD SALIERI: That makes no difference. All men are equal in God's eyes.",Are they?,roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L29991__utt_L30004,amadeus,L29991,L30004,VOGLER,OLD SALIERI,"1. VOGLER to OLD SALIERI: Do you understand that you have sinned? Gravely.
2. OLD SALIERI to VOGLER: Leave me alone.
3. VOGLER to OLD SALIERI: I cannot leave alone a soul in pain.
4. OLD SALIERI to VOGLER: Do you know who I am? You never heard of me, did you?
5. VOGLER to OLD SALIERI: That makes no difference. All men are equal in God's eyes.
6. OLD SALIERI to VOGLER: Are they?",Offer me your confession. I can offer you God's forgiveness.,speaker_higher_power,neutral_respect,speaker_higher_power,speaker_higher_power,neutral_respect,neutral_respect
amadeus__conv_L29991__utt_L30005,amadeus,L29991,L30005,OLD SALIERI,VOGLER,"1. OLD SALIERI to VOGLER: Leave me alone.
2. VOGLER to OLD SALIERI: I cannot leave alone a soul in pain.
3. OLD SALIERI to VOGLER: Do you know who I am? You never heard of me, did you?
4. VOGLER to OLD SALIERI: That makes no difference. All men are equal in God's eyes.
5. OLD SALIERI to VOGLER: Are they?
6. VOGLER to OLD SALIERI: Offer me your confession. I can offer you God's forgiveness.",I do not seek forgiveness.,roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L29991__utt_L30006,amadeus,L29991,L30006,VOGLER,OLD SALIERI,"1. VOGLER to OLD SALIERI: I cannot leave alone a soul in pain.
2. OLD SALIERI to VOGLER: Do you know who I am? You never heard of me, did you?
3. VOGLER to OLD SALIERI: That makes no difference. All men are equal in God's eyes.
4. OLD SALIERI to VOGLER: Are they?
5. VOGLER to OLD SALIERI: Offer me your confession. I can offer you God's forgiveness.
6. OLD SALIERI to VOGLER: I do not seek forgiveness.","My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.",speaker_higher_power,high_respect,speaker_higher_power,speaker_higher_power,high_respect,high_respect
amadeus__conv_L29991__utt_L30007,amadeus,L29991,L30007,OLD SALIERI,VOGLER,"1. OLD SALIERI to VOGLER: Do you know who I am? You never heard of me, did you?
2. VOGLER to OLD SALIERI: That makes no difference. All men are equal in God's eyes.
3. OLD SALIERI to VOGLER: Are they?
4. VOGLER to OLD SALIERI: Offer me your confession. I can offer you God's forgiveness.
5. OLD SALIERI to VOGLER: I do not seek forgiveness.
6. VOGLER to OLD SALIERI: My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.",How well are you trained in music?,,,speaker_higher_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L29991__utt_L30008,amadeus,L29991,L30008,VOGLER,OLD SALIERI,"1. VOGLER to OLD SALIERI: That makes no difference. All men are equal in God's eyes.
2. OLD SALIERI to VOGLER: Are they?
3. VOGLER to OLD SALIERI: Offer me your confession. I can offer you God's forgiveness.
4. OLD SALIERI to VOGLER: I do not seek forgiveness.
5. VOGLER to OLD SALIERI: My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.
6. OLD SALIERI to VOGLER: How well are you trained in music?",I know a little. I studied it in my youth.,,,roughly_equal_power,speaker_higher_power,neutral_respect,neutral_respect
amadeus__conv_L29991__utt_L30009,amadeus,L29991,L30009,OLD SALIERI,VOGLER,"1. OLD SALIERI to VOGLER: Are they?
2. VOGLER to OLD SALIERI: Offer me your confession. I can offer you God's forgiveness.
3. OLD SALIERI to VOGLER: I do not seek forgiveness.
4. VOGLER to OLD SALIERI: My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.
5. OLD SALIERI to VOGLER: How well are you trained in music?
6. VOGLER to OLD SALIERI: I know a little. I studied it in my youth.",Where?,,,speaker_higher_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L29991__utt_L30010,amadeus,L29991,L30010,VOGLER,OLD SALIERI,"1. VOGLER to OLD SALIERI: Offer me your confession. I can offer you God's forgiveness.
2. OLD SALIERI to VOGLER: I do not seek forgiveness.
3. VOGLER to OLD SALIERI: My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.
4. OLD SALIERI to VOGLER: How well are you trained in music?
5. VOGLER to OLD SALIERI: I know a little. I studied it in my youth.
6. OLD SALIERI to VOGLER: Where?",Here in Vienna.,roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L29991__utt_L30011,amadeus,L29991,L30011,OLD SALIERI,VOGLER,"1. OLD SALIERI to VOGLER: I do not seek forgiveness.
2. VOGLER to OLD SALIERI: My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.
3. OLD SALIERI to VOGLER: How well are you trained in music?
4. VOGLER to OLD SALIERI: I know a little. I studied it in my youth.
5. OLD SALIERI to VOGLER: Where?
6. VOGLER to OLD SALIERI: Here in Vienna.",Then you must know this.,speaker_higher_power,neutral_respect,speaker_higher_power,speaker_higher_power,neutral_respect,neutral_respect
amadeus__conv_L30012__utt_L30012,amadeus,L30012,L30012,VOGLER,,,I can't say I do. What is it?,,,unclear,unclear,neutral_respect,neutral_respect
amadeus__conv_L30012__utt_L30013,amadeus,L30012,L30013,OLD SALIERI,VOGLER,1. VOGLER: I can't say I do. What is it?,I'm surprised you don't know. It was a very popular tune in its day. I wrote it. How about this?,,,speaker_higher_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L30015__utt_L30015,amadeus,L30015,L30015,OLD SALIERI,,,Well?,,,unclear,unclear,neutral_respect,unclear
amadeus__conv_L30015__utt_L30016,amadeus,L30015,L30016,VOGLER,OLD SALIERI,1. OLD SALIERI: Well?,I regret it is not too familiar.,roughly_equal_power,high_respect,roughly_equal_power,roughly_equal_power,high_respect,high_respect
