movie_name,movie_idx,conversation_id,utterance_id,timestamp,speaker_id,speaker_name,reply_to,listener_id,listener_name,text
the godfather,m203,L592849,L592849,,u3098,DON CORLEONE,,,,"Bonasera, we know each other for years, but this is the first time you come to me for help. I don't remember the last time you invited me to your house for coffee...even though our wives are friends."
the godfather,m203,L592849,L592850,,u3094,BONASERA,L592849,u3098,DON CORLEONE,"What do you want of me? I'll give you anything you want, but do what I ask!"
the godfather,m203,L592849,L592851,,u3098,DON CORLEONE,L592850,u3094,BONASERA,And what is that Bonasera?
the godfather,m203,L592852,L592852,,u3098,DON CORLEONE,,,,No. You ask for too much.
the godfather,m203,L592852,L592853,,u3094,BONASERA,L592852,u3098,DON CORLEONE,I ask for Justice.
the godfather,m203,L592852,L592854,,u3098,DON CORLEONE,L592853,u3094,BONASERA,The Court gave you justice.
the godfather,m203,L592852,L592855,,u3094,BONASERA,L592854,u3098,DON CORLEONE,An eye for an eye!
the godfather,m203,L592852,L592856,,u3098,DON CORLEONE,L592855,u3094,BONASERA,But your daughter is still alive.
the godfather,m203,L592852,L592857,,u3094,BONASERA,L592856,u3098,DON CORLEONE,Then make them suffer as she suffers. How much shall I pay you.
the godfather,m203,L592858,L592858,,u3098,DON CORLEONE,,,,"You never think to protect yourself with real friends. You think it's enough to be an American. All right, the Police protects you, there are Courts of Law, so you don't need a friend like me. But now you come to me and say Don Corleone, you must give me justice. And you don't ask in respect or friendship. And you don't think to call me Godfather; instead you come to my house on the day my daughter is to be married and you ask me to do murder...for money."
the godfather,m203,L592858,L592859,,u3094,BONASERA,L592858,u3098,DON CORLEONE,America has been good to me...
the godfather,m203,L592858,L592860,,u3098,DON CORLEONE,L592859,u3094,BONASERA,"Then take the justice from the judge, the bitter with the sweet, Bonasera. But if you come to me with your friendship, your loyalty, then your enemies become my enemies, and then, believe me, they would fear you..."
the godfather,m203,L592861,L592861,,u3094,BONASERA,,,,Be my friend.
the godfather,m203,L592861,L592862,,u3098,DON CORLEONE,L592861,u3094,BONASERA,Good. From me you'll get Justice.
the godfather,m203,L592861,L592863,,u3094,BONASERA,L592862,u3098,DON CORLEONE,Godfather.
the godfather,m203,L592861,L592864,,u3098,DON CORLEONE,L592863,u3094,BONASERA,"Some day, and that day may never come, I would like to call upon you to do me a service in return."
the godfather,m203,L592871,L592871,,u3109,PAULIE,,,,You look terrif on the floor!
the godfather,m203,L592871,L592872,,u3096,CLEMENZA,L592871,u3109,PAULIE,"What are you, a dance judge? Go do your job; take a walk around the neighborhood... see everything is okay."
the godfather,m203,L592875,L592875,,u3107,NAZORINE,,,,"...a fine boy from Sicily, captured by the American Army, and sent to New Jersey as a prisoner of war..."
the godfather,m203,L592875,L592876,,u3098,DON CORLEONE,L592875,u3107,NAZORINE,"Nazorine, my friend, tell me what I can do."
the godfather,m203,L592875,L592877,,u3107,NAZORINE,L592876,u3098,DON CORLEONE,"Now that the war is over, Enzo, this boy is being repatriated to Italy. And you see, Godfather... He...my daughter...they..."
the godfather,m203,L592875,L592878,,u3098,DON CORLEONE,L592877,u3107,NAZORINE,You want him to stay in this country.
the godfather,m203,L592875,L592879,,u3107,NAZORINE,L592878,u3098,DON CORLEONE,"Godfather, you understand everything."
the godfather,m203,L592875,L592880,,u3098,DON CORLEONE,L592879,u3107,NAZORINE,"Tom, what we need is an Act of Congress to allow Enzo to become a citizen."
the godfather,m203,L592875,L592881,,u3107,NAZORINE,L592880,u3098,DON CORLEONE,An Act of Congress!
the godfather,m203,L592889,L592889,,u3098,DON CORLEONE,,,,Is it necessary?
the godfather,m203,L592889,L592890,,u3102,HAGEN,L592889,u3098,DON CORLEONE,You understand him better than anyone.
