movie_name,conversation_id,utterance_id,turn_index,utterance_order,speaker_id,speaker_name,listener_id,listener_name,current_turn,current_text,context_text,num_prev_turns,prev_turn_1,prev_turn_2,prev_turn_3,prev_turn_4,prev_turn_5,prev_turn_6
titanic,L614356,L614356,0,0,u8447,BODINE,,,BODINE: I'm in the sitting room. Heading for bedroom B-54.,I'm in the sitting room. Heading for bedroom B-54.,,0,,,,,,
titanic,L614356,L614357,1,1,u8460,LOVETT,u8447,BODINE,LOVETT: Stay off the floor. Don't stir it up like you did yesterday.,Stay off the floor. Don't stir it up like you did yesterday.,BODINE: I'm in the sitting room. Heading for bedroom B-54.,1,,,,,,BODINE: I'm in the sitting room. Heading for bedroom B-54.
titanic,L614356,L614358,2,2,u8447,BODINE,u8460,LOVETT,BODINE: I'm tryin' boss.,I'm tryin' boss.,"BODINE: I'm in the sitting room. Heading for bedroom B-54.
LOVETT: Stay off the floor. Don't stir it up like you did yesterday.",2,,,,,BODINE: I'm in the sitting room. Heading for bedroom B-54.,LOVETT: Stay off the floor. Don't stir it up like you did yesterday.
titanic,L614364,L614364,0,0,u8447,BODINE,,,BODINE: Who's the best? Say it.,Who's the best? Say it.,,0,,,,,,
titanic,L614364,L614365,1,1,u8460,LOVETT,u8447,BODINE,"LOVETT: You are, Lewis. You rolling?","You are, Lewis. You rolling?",BODINE: Who's the best? Say it.,1,,,,,,BODINE: Who's the best? Say it.
titanic,L614368,L614368,0,0,u8460,LOVETT,,,LOVETT: Shit.,Shit.,,0,,,,,,
titanic,L614368,L614369,1,1,u8447,BODINE,u8460,LOVETT,"BODINE: You know, boss, this happened to Geraldo and his career never recovered.","You know, boss, this happened to Geraldo and his career never recovered.",LOVETT: Shit.,1,,,,,,LOVETT: Shit.
titanic,L614368,L614370,2,2,u8460,LOVETT,u8447,BODINE,LOVETT: Get that outta my face.,Get that outta my face.,"LOVETT: Shit.
BODINE: You know, boss, this happened to Geraldo and his career never recovered.",2,,,,,LOVETT: Shit.,"BODINE: You know, boss, this happened to Geraldo and his career never recovered."
titanic,L614372,L614372,0,0,u8449,BUELL,,,BUELL: The partners want to know how it's going?,The partners want to know how it's going?,,0,,,,,,
titanic,L614372,L614373,1,1,u8460,LOVETT,u8449,BUELL,"LOVETT: How it's going? It's going like a first date in prison, whattaya think?!","How it's going? It's going like a first date in prison, whattaya think?!",BUELL: The partners want to know how it's going?,1,,,,,,BUELL: The partners want to know how it's going?
titanic,L614386,L614386,0,0,u8449,BUELL,,,BUELL: There's a satellite call for you.,There's a satellite call for you.,,0,,,,,,
titanic,L614386,L614387,1,1,u8460,LOVETT,u8449,BUELL,"LOVETT: Bobby, we're launching. See these submersibles here, going in the water? Take a message.","Bobby, we're launching. See these submersibles here, going in the water? Take a message.",BUELL: There's a satellite call for you.,1,,,,,,BUELL: There's a satellite call for you.
titanic,L614386,L614388,2,2,u8449,BUELL,u8460,LOVETT,"BUELL: No, trust me, you want to take this call.","No, trust me, you want to take this call.","BUELL: There's a satellite call for you.
LOVETT: Bobby, we're launching. See these submersibles here, going in the water? Take a message.",2,,,,,BUELL: There's a satellite call for you.,"LOVETT: Bobby, we're launching. See these submersibles here, going in the water? Take a message."
titanic,L614389,L614389,0,0,u8460,LOVETT,,,"LOVETT: This is Brock Lovett. What can I do for you, Mrs...?","This is Brock Lovett. What can I do for you, Mrs...?",,0,,,,,,
titanic,L614389,L614390,1,1,u8449,BUELL,u8460,LOVETT,BUELL: Rose Calvert.,Rose Calvert.,"LOVETT: This is Brock Lovett. What can I do for you, Mrs...?",1,,,,,,"LOVETT: This is Brock Lovett. What can I do for you, Mrs...?"
titanic,L614389,L614391,2,2,u8460,LOVETT,u8449,BUELL,LOVETT: ...Mrs. Calvert?,...Mrs. Calvert?,"LOVETT: This is Brock Lovett. What can I do for you, Mrs...?
BUELL: Rose Calvert.",2,,,,,"LOVETT: This is Brock Lovett. What can I do for you, Mrs...?",BUELL: Rose Calvert.
titanic,L614393,L614393,0,0,u8449,BUELL,,,BUELL: I told you you wanted to take this call.,I told you you wanted to take this call.,,0,,,,,,
titanic,L614393,L614394,1,1,u8460,LOVETT,u8449,BUELL,"LOVETT: Alright. You have my attention, Rose. Can you tell me who the woman in the picture is?","Alright. You have my attention, Rose. Can you tell me who the woman in the picture is?",BUELL: I told you you wanted to take this call.,1,,,,,,BUELL: I told you you wanted to take this call.
titanic,L614398,L614398,0,0,u8447,BODINE,,,"BODINE: She says she's Rose DeWitt Bukater, right? Rose DeWitt Bukater died on the Titanic. At the age of 17. If she'd've lived, she'd be over a hundred now.","She says she's Rose DeWitt Bukater, right? Rose DeWitt Bukater died on the Titanic. At the age of 17. If she'd've lived, she'd be over a hundred now.",,0,,,,,,
titanic,L614398,L614399,1,1,u8460,LOVETT,u8447,BODINE,LOVETT: A hundred and one next month.,A hundred and one next month.,"BODINE: She says she's Rose DeWitt Bukater, right? Rose DeWitt Bukater died on the Titanic. At the age of 17. If she'd've lived, she'd be over a hundred now.",1,,,,,,"BODINE: She says she's Rose DeWitt Bukater, right? Rose DeWitt Bukater died on the Titanic. At the age of 17. If she'd've lived, she'd be over a hundred now."
titanic,L614398,L614400,2,2,u8447,BODINE,u8460,LOVETT,"BODINE: Okay, so she's a very old goddamned liar. I traced her as far back as the 20's... she was working as an actress in L.A. An actress. Her name was Rose Dawson. Then she married a guy named Calvert, moved to Cedar Rapids, had two kids. Now Calvert's dead, and from what I've heard Cedar Rapids is dead.","Okay, so she's a very old goddamned liar. I traced her as far back as the 20's... she was working as an actress in L.A. An actress. Her name was Rose Dawson. Then she married a guy named Calvert, moved to Cedar Rapids, had two kids. Now Calvert's dead, and from what I've heard Cedar Rapids is dead.","BODINE: She says she's Rose DeWitt Bukater, right? Rose DeWitt Bukater died on the Titanic. At the age of 17. If she'd've lived, she'd be over a hundred now.
LOVETT: A hundred and one next month.",2,,,,,"BODINE: She says she's Rose DeWitt Bukater, right? Rose DeWitt Bukater died on the Titanic. At the age of 17. If she'd've lived, she'd be over a hundred now.",LOVETT: A hundred and one next month.
titanic,L614403,L614403,0,0,u8460,LOVETT,,,LOVETT: Is your stateroom alright?,Is your stateroom alright?,,0,,,,,,
titanic,L614403,L614404,1,1,u8462,ROSE,u8460,LOVETT,"ROSE: Yes. Very nice. Have you met my granddaughter, Lizzy? She takes care of me.","Yes. Very nice. Have you met my granddaughter, Lizzy? She takes care of me.",LOVETT: Is your stateroom alright?,1,,,,,,LOVETT: Is your stateroom alright?
titanic,L614407,L614407,0,0,u8462,ROSE,,,"ROSE: There, that's nice. I have to have my pictures when I travel. And Freddy of course. Isn't that right, sweetie.","There, that's nice. I have to have my pictures when I travel. And Freddy of course. Isn't that right, sweetie.",,0,,,,,,
titanic,L614407,L614408,1,1,u8460,LOVETT,u8462,ROSE,LOVETT: Would you like anything?,Would you like anything?,"ROSE: There, that's nice. I have to have my pictures when I travel. And Freddy of course. Isn't that right, sweetie.",1,,,,,,"ROSE: There, that's nice. I have to have my pictures when I travel. And Freddy of course. Isn't that right, sweetie."
titanic,L614407,L614409,2,2,u8462,ROSE,u8460,LOVETT,ROSE: I should like to see my drawing.,I should like to see my drawing.,"ROSE: There, that's nice. I have to have my pictures when I travel. And Freddy of course. Isn't that right, sweetie.
LOVETT: Would you like anything?",2,,,,,"ROSE: There, that's nice. I have to have my pictures when I travel. And Freddy of course. Isn't that right, sweetie.",LOVETT: Would you like anything?
titanic,L614410,L614410,0,0,u8460,LOVETT,,,"LOVETT: Louis the Sixteenth wore a fabulous stone, called the Blue Diamond of the Crown, which disappeared in 1792, about the time Louis lost everything from the neck up. The theory goes that the crown diamond was chopped too... recut into a heart-like shape... and it became Le Coeur de la Mer. The Heart of the Ocean. Today it would be worth more than the Hope Diamond.","Louis the Sixteenth wore a fabulous stone, called the Blue Diamond of the Crown, which disappeared in 1792, about the time Louis lost everything from the neck up. The theory goes that the crown diamond was chopped too... recut into a heart-like shape... and it became Le Coeur de la Mer. The Heart of the Ocean. Today it would be worth more than the Hope Diamond.",,0,,,,,,
titanic,L614410,L614411,1,1,u8462,ROSE,u8460,LOVETT,"ROSE: It was a dreadful, heavy thing. I only wore it this once.","It was a dreadful, heavy thing. I only wore it this once.","LOVETT: Louis the Sixteenth wore a fabulous stone, called the Blue Diamond of the Crown, which disappeared in 1792, about the time Louis lost everything from the neck up. The theory goes that the crown diamond was chopped too... recut into a heart-like shape... and it became Le Coeur de la Mer. The Heart of the Ocean. Today it would be worth more than the Hope Diamond.",1,,,,,,"LOVETT: Louis the Sixteenth wore a fabulous stone, called the Blue Diamond of the Crown, which disappeared in 1792, about the time Louis lost everything from the neck up. The theory goes that the crown diamond was chopped too... recut into a heart-like shape... and it became Le Coeur de la Mer. The Heart of the Ocean. Today it would be worth more than the Hope Diamond."
titanic,L614414,L614414,0,0,u8460,LOVETT,,,"LOVETT: I tracked it down through insurance records... and old claim that was settled under terms of absolute secrecy. Do you know who the claiment was, Rose?","I tracked it down through insurance records... and old claim that was settled under terms of absolute secrecy. Do you know who the claiment was, Rose?",,0,,,,,,
titanic,L614414,L614415,1,1,u8462,ROSE,u8460,LOVETT,"ROSE: Someone named Hockley, I should imagine.","Someone named Hockley, I should imagine.","LOVETT: I tracked it down through insurance records... and old claim that was settled under terms of absolute secrecy. Do you know who the claiment was, Rose?",1,,,,,,"LOVETT: I tracked it down through insurance records... and old claim that was settled under terms of absolute secrecy. Do you know who the claiment was, Rose?"
titanic,L614414,L614416,2,2,u8460,LOVETT,u8462,ROSE,"LOVETT: Nathan Hockley, right. Pittsburgh steel tycoon. For a diamond necklace his son Caledon Hockley bought in France for his fiancee... you... a week before he sailed on Titanic. And the claim was filed right after the sinking. So the diamond had to've gone down with the ship. See the date?","Nathan Hockley, right. Pittsburgh steel tycoon. For a diamond necklace his son Caledon Hockley bought in France for his fiancee... you... a week before he sailed on Titanic. And the claim was filed right after the sinking. So the diamond had to've gone down with the ship. See the date?","LOVETT: I tracked it down through insurance records... and old claim that was settled under terms of absolute secrecy. Do you know who the claiment was, Rose?
ROSE: Someone named Hockley, I should imagine.",2,,,,,"LOVETT: I tracked it down through insurance records... and old claim that was settled under terms of absolute secrecy. Do you know who the claiment was, Rose?","ROSE: Someone named Hockley, I should imagine."
