movie_name,conversation_id,utterance_id,turn_index,utterance_order,speaker_id,speaker_name,listener_id,listener_name,current_power_dynamic,current_respect_level,current_relationship_type,current_global_category,active_risk_types,target_risk_count,aggregate_power_dynamic,aggregate_respect_level,aggregate_relationship_type,recent_power_dynamic,recent_respect_level,recent_relationship_type,edge_observation_count,recent_observation_count,supporting_utterance_ids,recent_utterance_ids,recent_evidence_lines
amadeus,L29991,L29996,,,u266,VOGLER,u257,OLD SALIERI,speaker_higher_power,neutral_respect,court_authority,authority,_risk_pragmatic,1,speaker_higher_power,neutral_respect,court_authority,speaker_higher_power,neutral_respect,court_authority,1,1,L29996,L29996,In the sight of God that is a sin.
amadeus,L29991,L30003,,,u257,OLD SALIERI,u266,VOGLER,roughly_equal_power,neutral_respect,court_authority,authority,_risk_ambiguity,1,roughly_equal_power,neutral_respect,court_authority,roughly_equal_power,neutral_respect,court_authority,1,1,L30003,L30003,Are they?
amadeus,L29991,L30004,,,u266,VOGLER,u257,OLD SALIERI,speaker_higher_power,neutral_respect,court_authority,authority,_risk_social,1,speaker_higher_power,neutral_respect,court_authority,speaker_higher_power,neutral_respect,court_authority,2,2,L29996 || L30004,L29996 || L30004,In the sight of God that is a sin. || Offer me your confession. I can offer you God's forgiveness.
amadeus,L29991,L30006,,,u266,VOGLER,u257,OLD SALIERI,speaker_higher_power,high_respect,court_authority,authority,_risk_social,1,speaker_higher_power,neutral_respect,court_authority,speaker_higher_power,neutral_respect,court_authority,3,3,L29996 || L30004 || L30006,L29996 || L30004 || L30006,"In the sight of God that is a sin. || Offer me your confession. I can offer you God's forgiveness. || My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me."
amadeus,L29991,L30010,,,u266,VOGLER,u257,OLD SALIERI,roughly_equal_power,neutral_respect,court_authority,authority,_risk_ambiguity,1,speaker_higher_power,neutral_respect,court_authority,speaker_higher_power,neutral_respect,court_authority,4,4,L29996 || L30004 || L30006 || L30010,L29996 || L30004 || L30006 || L30010,"In the sight of God that is a sin. || Offer me your confession. I can offer you God's forgiveness. || My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me. || Here in Vienna."
amadeus,L30018,L30019,,,u257,OLD SALIERI,u266,VOGLER,roughly_equal_power,neutral_respect,acquaintance,acquaintance,_risk_pragmatic,1,roughly_equal_power,neutral_respect,acquaintance,roughly_equal_power,neutral_respect,acquaintance,2,2,L30003 || L30019,L30003 || L30019,Are they? || I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?
amadeus,L30056,L30056,,,u247,CONSTANZE,unknown_listener,unknown_listener,listener_higher_power,high_respect,court_authority,authority,_risk_register,1,listener_higher_power,high_respect,court_authority,listener_higher_power,high_respect,court_authority,1,1,L30056,L30056,"Your Grace, I've got something to tell you. I want to complain about this man."
amadeus,L30056,L30058,,,u247,CONSTANZE,u255,MOZART,roughly_equal_power,neutral_respect,adversarial,adversarial,_risk_ambiguity,1,roughly_equal_power,neutral_respect,adversarial,roughly_equal_power,neutral_respect,adversarial,1,1,L30058,L30058,Why not?
amadeus,L30056,L30060,,,u247,CONSTANZE,u255,MOZART,roughly_equal_power,low_respect,friend,friendship,_risk_ambiguity,1,roughly_equal_power,low_respect,adversarial,roughly_equal_power,low_respect,adversarial,2,2,L30058 || L30060,L30058 || L30060,Why not? || That's stupid.
amadeus,L30064,L30066,,,u247,CONSTANZE,u255,MOZART,roughly_equal_power,neutral_respect,friend,friendship,_risk_register,1,roughly_equal_power,neutral_respect,friend,roughly_equal_power,neutral_respect,friend,3,3,L30058 || L30060 || L30066,L30058 || L30060 || L30066,"Why not? || That's stupid. || Yes, you are. You're very sick."
