movie_name,conversation_id,utterance_id,turn_index,utterance_order,speaker_id,speaker_name,listener_id,listener_name,current_power_dynamic,current_respect_level,current_relationship_type,current_global_category,active_risk_types,target_risk_count,aggregate_power_dynamic,aggregate_respect_level,aggregate_relationship_type,recent_power_dynamic,recent_respect_level,recent_relationship_type,edge_observation_count,recent_observation_count,supporting_utterance_ids,recent_utterance_ids,recent_evidence_lines,graph_summary
amadeus,L29991,L29996,,,u266,VOGLER,u257,OLD SALIERI,speaker_higher_power,neutral_respect,court_authority,authority,_risk_pragmatic,1,speaker_higher_power,neutral_respect,court_authority,speaker_higher_power,neutral_respect,court_authority,1,1,L29996,L29996,In the sight of God that is a sin.,"VOGLER is speaking to OLD SALIERI in amadeus. Movie-specific social context: Court hierarchy, artistic rivalry, patronage, professional dependence, admiration, jealousy, institutional authority, and strategic cooperation. Aggregate relationship state: the edge is usually labeled as court authority (A court, emperor, church, noble, or institutional authority relation shaped by rank or command.); overall, the speaker appears to hold higher social power than the listener, and the speaker shows a neutral or ordinary level of respect. Recent interaction state: the recent edge is labeled as court authority (A court, emperor, church, noble, or institutional authority relation shaped by rank or command.); locally, the speaker appears to hold higher social power than the listener, and the speaker shows a neutral or ordinary level of respect. Recent evidence: In the sight of God that is a sin. Translation guidance: use the recent interaction state as the main guide and the aggregate state as background. Because this line has pragmatic risk, preserve the power dynamic, respect level, relationship tone, and register without over-forcing the labels if the source line suggests otherwise."
amadeus,L29991,L30003,,,u257,OLD SALIERI,u266,VOGLER,roughly_equal_power,neutral_respect,court_authority,authority,_risk_ambiguity,1,roughly_equal_power,neutral_respect,court_authority,roughly_equal_power,neutral_respect,court_authority,1,1,L30003,L30003,Are they?,"OLD SALIERI is speaking to VOGLER in amadeus. Movie-specific social context: Court hierarchy, artistic rivalry, patronage, professional dependence, admiration, jealousy, institutional authority, and strategic cooperation. Aggregate relationship state: the edge is usually labeled as court authority (A court, emperor, church, noble, or institutional authority relation shaped by rank or command.); overall, the speaker and listener appear to have roughly equal social power, and the speaker shows a neutral or ordinary level of respect. Recent interaction state: the recent edge is labeled as court authority (A court, emperor, church, noble, or institutional authority relation shaped by rank or command.); locally, the speaker and listener appear to have roughly equal social power, and the speaker shows a neutral or ordinary level of respect. Recent evidence: Are they? Translation guidance: use the recent interaction state as the main guide and the aggregate state as background. Because this line has ambiguity risk, preserve the power dynamic, respect level, relationship tone, and register without over-forcing the labels if the source line suggests otherwise."
amadeus,L29991,L30004,,,u266,VOGLER,u257,OLD SALIERI,speaker_higher_power,neutral_respect,court_authority,authority,_risk_social,1,speaker_higher_power,neutral_respect,court_authority,speaker_higher_power,neutral_respect,court_authority,2,2,L29996 || L30004,L29996 || L30004,In the sight of God that is a sin. || Offer me your confession. I can offer you God's forgiveness.,"VOGLER is speaking to OLD SALIERI in amadeus. Movie-specific social context: Court hierarchy, artistic rivalry, patronage, professional dependence, admiration, jealousy, institutional authority, and strategic cooperation. Aggregate relationship state: the edge is usually labeled as court authority (A court, emperor, church, noble, or institutional authority relation shaped by rank or command.); overall, the speaker appears to hold higher social power than the listener, and the speaker shows a neutral or ordinary level of respect. Recent interaction state: the recent edge is labeled as court authority (A court, emperor, church, noble, or institutional authority relation shaped by rank or command.); locally, the speaker appears to hold higher social power than the listener, and the speaker shows a neutral or ordinary level of respect. Recent evidence: In the sight of God that is a sin. || Offer me your confession. I can offer you God's forgiveness. Translation guidance: use the recent interaction state as the main guide and the aggregate state as background. Because this line has social risk, preserve the power dynamic, respect level, relationship tone, and register without over-forcing the labels if the source line suggests otherwise."
amadeus,L29991,L30006,,,u266,VOGLER,u257,OLD SALIERI,speaker_higher_power,high_respect,court_authority,authority,_risk_social,1,speaker_higher_power,neutral_respect,court_authority,speaker_higher_power,neutral_respect,court_authority,3,3,L29996 || L30004 || L30006,L29996 || L30004 || L30006,"In the sight of God that is a sin. || Offer me your confession. I can offer you God's forgiveness. || My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.","VOGLER is speaking to OLD SALIERI in amadeus. Movie-specific social context: Court hierarchy, artistic rivalry, patronage, professional dependence, admiration, jealousy, institutional authority, and strategic cooperation. Aggregate relationship state: the edge is usually labeled as court authority (A court, emperor, church, noble, or institutional authority relation shaped by rank or command.); overall, the speaker appears to hold higher social power than the listener, and the speaker shows a neutral or ordinary level of respect. Recent interaction state: the recent edge is labeled as court authority (A court, emperor, church, noble, or institutional authority relation shaped by rank or command.); locally, the speaker appears to hold higher social power than the listener, and the speaker shows a neutral or ordinary level of respect. Recent evidence: In the sight of God that is a sin. || Offer me your confession. I can offer you God's forgiveness. || My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me. Translation guidance: use the recent interaction state as the main guide and the aggregate state as background. Because this line has social risk, preserve the power dynamic, respect level, relationship tone, and register without over-forcing the labels if the source line suggests otherwise."
amadeus,L29991,L30010,,,u266,VOGLER,u257,OLD SALIERI,roughly_equal_power,neutral_respect,court_authority,authority,_risk_ambiguity,1,speaker_higher_power,neutral_respect,court_authority,speaker_higher_power,neutral_respect,court_authority,4,4,L29996 || L30004 || L30006 || L30010,L29996 || L30004 || L30006 || L30010,"In the sight of God that is a sin. || Offer me your confession. I can offer you God's forgiveness. || My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me. || Here in Vienna.","VOGLER is speaking to OLD SALIERI in amadeus. Movie-specific social context: Court hierarchy, artistic rivalry, patronage, professional dependence, admiration, jealousy, institutional authority, and strategic cooperation. Aggregate relationship state: the edge is usually labeled as court authority (A court, emperor, church, noble, or institutional authority relation shaped by rank or command.); overall, the speaker appears to hold higher social power than the listener, and the speaker shows a neutral or ordinary level of respect. Recent interaction state: the recent edge is labeled as court authority (A court, emperor, church, noble, or institutional authority relation shaped by rank or command.); locally, the speaker appears to hold higher social power than the listener, and the speaker shows a neutral or ordinary level of respect. Recent evidence: In the sight of God that is a sin. || Offer me your confession. I can offer you God's forgiveness. || My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me. || Here in Vienna. Translation guidance: use the recent interaction state as the main guide and the aggregate state as background. Because this line has ambiguity risk, preserve the power dynamic, respect level, relationship tone, and register without over-forcing the labels if the source line suggests otherwise."
amadeus,L30018,L30019,,,u257,OLD SALIERI,u266,VOGLER,roughly_equal_power,neutral_respect,acquaintance,acquaintance,_risk_pragmatic,1,roughly_equal_power,neutral_respect,acquaintance,roughly_equal_power,neutral_respect,acquaintance,2,2,L30003 || L30019,L30003 || L30019,Are they? || I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?,"OLD SALIERI is speaking to VOGLER in amadeus. Movie-specific social context: Court hierarchy, artistic rivalry, patronage, professional dependence, admiration, jealousy, institutional authority, and strategic cooperation. Aggregate relationship state: the edge is usually labeled as acquaintance (A known but weakly specified social or professional relation.); overall, the speaker and listener appear to have roughly equal social power, and the speaker shows a neutral or ordinary level of respect. Recent interaction state: the recent edge is labeled as acquaintance (A known but weakly specified social or professional relation.); locally, the speaker and listener appear to have roughly equal social power, and the speaker shows a neutral or ordinary level of respect. Recent evidence: Are they? || I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is? Translation guidance: use the recent interaction state as the main guide and the aggregate state as background. Because this line has pragmatic risk, preserve the power dynamic, respect level, relationship tone, and register without over-forcing the labels if the source line suggests otherwise."
amadeus,L30018,L30026,,,u266,VOGLER,u257,OLD SALIERI,roughly_equal_power,neutral_respect,unclear,unclear,_risk_ambiguity,1,speaker_higher_power,neutral_respect,court_authority,speaker_higher_power,neutral_respect,court_authority,5,5,L29996 || L30004 || L30006 || L30010 || L30026,L29996 || L30004 || L30006 || L30010 || L30026,"In the sight of God that is a sin. || Offer me your confession. I can offer you God's forgiveness. || My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me. || Here in Vienna. || Should I?","VOGLER is speaking to OLD SALIERI in amadeus. Movie-specific social context: Court hierarchy, artistic rivalry, patronage, professional dependence, admiration, jealousy, institutional authority, and strategic cooperation. Aggregate relationship state: the edge is usually labeled as court authority (A court, emperor, church, noble, or institutional authority relation shaped by rank or command.); overall, the speaker appears to hold higher social power than the listener, and the speaker shows a neutral or ordinary level of respect. Recent interaction state: the recent edge is labeled as court authority (A court, emperor, church, noble, or institutional authority relation shaped by rank or command.); locally, the speaker appears to hold higher social power than the listener, and the speaker shows a neutral or ordinary level of respect. Recent evidence: In the sight of God that is a sin. || Offer me your confession. I can offer you God's forgiveness. || My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me. || Here in Vienna. || Should I? Translation guidance: use the recent interaction state as the main guide and the aggregate state as background. Because this line has ambiguity risk, preserve the power dynamic, respect level, relationship tone, and register without over-forcing the labels if the source line suggests otherwise."
amadeus,L30051,L30052,,,u255,MOZART,u247,CONSTANZE,speaker_higher_power,low_respect,unclear,unclear,_risk_pragmatic,1,speaker_higher_power,low_respect,unclear,speaker_higher_power,low_respect,unclear,1,1,L30052,L30052,Yes! Back! Back! Listen - don't you know where you are?,"MOZART is speaking to CONSTANZE in amadeus. Movie-specific social context: Court hierarchy, artistic rivalry, patronage, professional dependence, admiration, jealousy, institutional authority, and strategic cooperation. Aggregate relationship state: the edge is usually labeled as unclear (Not enough evidence in the provided local dialogue context to infer a reliable relationship.); overall, the speaker appears to hold higher social power than the listener, and the speaker shows low respect, resistance, hostility, or informality. Recent interaction state: the recent edge is labeled as unclear (Not enough evidence in the provided local dialogue context to infer a reliable relationship.); locally, the speaker appears to hold higher social power than the listener, and the speaker shows low respect, resistance, hostility, or informality. Recent evidence: Yes! Back! Back! Listen - don't you know where you are? Translation guidance: use the recent interaction state as the main guide and the aggregate state as background. Because this line has pragmatic risk, preserve the power dynamic, respect level, relationship tone, and register without over-forcing the labels if the source line suggests otherwise."
amadeus,L30056,L30056,,,u247,CONSTANZE,unknown_listener,unknown_listener,listener_higher_power,high_respect,court_authority,authority,_risk_register,1,listener_higher_power,high_respect,court_authority,listener_higher_power,high_respect,court_authority,1,1,L30056,L30056,"Your Grace, I've got something to tell you. I want to complain about this man.","CONSTANZE is speaking to unknown_listener in amadeus. Movie-specific social context: Court hierarchy, artistic rivalry, patronage, professional dependence, admiration, jealousy, institutional authority, and strategic cooperation. Aggregate relationship state: the edge is usually labeled as court authority (A court, emperor, church, noble, or institutional authority relation shaped by rank or command.); overall, the listener appears to hold higher social power than the speaker, and the speaker shows high respect or deference. Recent interaction state: the recent edge is labeled as court authority (A court, emperor, church, noble, or institutional authority relation shaped by rank or command.); locally, the listener appears to hold higher social power than the speaker, and the speaker shows high respect or deference. Recent evidence: Your Grace, I've got something to tell you. I want to complain about this man. Translation guidance: use the recent interaction state as the main guide and the aggregate state as background. Because this line has register risk, preserve the power dynamic, respect level, relationship tone, and register without over-forcing the labels if the source line suggests otherwise."
amadeus,L30056,L30058,,,u247,CONSTANZE,u255,MOZART,roughly_equal_power,neutral_respect,adversarial,adversarial,_risk_ambiguity,1,roughly_equal_power,neutral_respect,adversarial,roughly_equal_power,neutral_respect,adversarial,1,1,L30058,L30058,Why not?,"CONSTANZE is speaking to MOZART in amadeus. Movie-specific social context: Court hierarchy, artistic rivalry, patronage, professional dependence, admiration, jealousy, institutional authority, and strategic cooperation. Aggregate relationship state: the edge is usually labeled as adversarial (A hostile, undermining, accusatory, jealous, or openly oppositional relationship.); overall, the speaker and listener appear to have roughly equal social power, and the speaker shows a neutral or ordinary level of respect. Recent interaction state: the recent edge is labeled as adversarial (A hostile, undermining, accusatory, jealous, or openly oppositional relationship.); locally, the speaker and listener appear to have roughly equal social power, and the speaker shows a neutral or ordinary level of respect. Recent evidence: Why not? Translation guidance: use the recent interaction state as the main guide and the aggregate state as background. Because this line has ambiguity risk, preserve the power dynamic, respect level, relationship tone, and register without over-forcing the labels if the source line suggests otherwise."
