movie_name,movie_idx,conversation_id,utterance_id,timestamp,turn_index,utterance_order,speaker_id,speaker_name,reply_to,listener_id,listener_name,current_turn,current_text,context_text,relationship_type,global_category,confidence,evidence,status,parse_success,error,raw_response
titanic,,L614356,L614356,,0,0,u8447,BODINE,,,,BODINE: I'm in the sitting room. Heading for bedroom B-54.,I'm in the sitting room. Heading for bedroom B-54.,,unclear,unclear,0.95,The speaker is reporting their location to an unknown listener with no previous context to establish a specific relationship type.,success,True,,"{
  ""relationship_type"": ""unclear"",
  ""confidence"": 0.95,
  ""evidence"": ""The speaker is reporting their location to an unknown listener with no previous context to establish a specific relationship type.""
}"
titanic,,L614356,L614357,,1,1,u8460,LOVETT,,u8447,BODINE,LOVETT: Stay off the floor. Don't stir it up like you did yesterday.,Stay off the floor. Don't stir it up like you did yesterday.,BODINE: I'm in the sitting room. Heading for bedroom B-54.,ally,ally,0.85,"The characters are engaged in a cooperative task, with the speaker providing directive guidance based on a shared past experience ('like you did yesterday').",success,True,,"{
  ""relationship_type"": ""ally"",
  ""confidence"": 0.85,
  ""evidence"": ""The characters are engaged in a cooperative task, with the speaker providing directive guidance based on a shared past experience ('like you did yesterday').""
}"
titanic,,L614356,L614358,,2,2,u8447,BODINE,,u8460,LOVETT,BODINE: I'm tryin' boss.,I'm tryin' boss.,"BODINE: I'm in the sitting room. Heading for bedroom B-54.
LOVETT: Stay off the floor. Don't stir it up like you did yesterday.",ship_authority,authority,0.95,The speaker addresses the listener as 'boss' and follows a direct command regarding his work performance.,success,True,,"{
  ""relationship_type"": ""ship_authority"",
  ""confidence"": 0.95,
  ""evidence"": ""The speaker addresses the listener as 'boss' and follows a direct command regarding his work performance.""
}"
titanic,,L614364,L614364,,0,0,u8447,BODINE,,,,BODINE: Who's the best? Say it.,Who's the best? Say it.,,unclear,unclear,1.0,There is no previous context and the single turn does not provide sufficient information to determine the relationship between the speaker and the unknown listener.,success,True,,"{
  ""relationship_type"": ""unclear"",
  ""confidence"": 1.0,
  ""evidence"": ""There is no previous context and the single turn does not provide sufficient information to determine the relationship between the speaker and the unknown listener.""
}"
titanic,,L614364,L614365,,1,1,u8460,LOVETT,,u8447,BODINE,"LOVETT: You are, Lewis. You rolling?","You are, Lewis. You rolling?",BODINE: Who's the best? Say it.,friend,friendship,0.8,"The speaker uses the listener's first name 'Lewis' and engages in playful, informal banter ('Who's the best?'), suggesting a familiar peer relationship.",success,True,,"{
  ""relationship_type"": ""friend"",
  ""confidence"": 0.8,
  ""evidence"": ""The speaker uses the listener's first name 'Lewis' and engages in playful, informal banter ('Who's the best?'), suggesting a familiar peer relationship.""
}"
titanic,,L614368,L614368,,0,0,u8460,LOVETT,,,,LOVETT: Shit.,Shit.,,unclear,unclear,1.0,The single exclamation 'Shit' provides no information about the relationship between the speaker and the unknown listener.,success,True,,"{
  ""relationship_type"": ""unclear"",
  ""confidence"": 1.0,
  ""evidence"": ""The single exclamation 'Shit' provides no information about the relationship between the speaker and the unknown listener.""
}"
titanic,,L614368,L614369,,1,1,u8447,BODINE,,u8460,LOVETT,"BODINE: You know, boss, this happened to Geraldo and his career never recovered.","You know, boss, this happened to Geraldo and his career never recovered.",LOVETT: Shit.,class_service,class_or_service,0.9,"Bodine addresses the listener as 'boss,' indicating a professional hierarchy or service-based relationship.",success,True,,"{
  ""relationship_type"": ""class_service"",
  ""confidence"": 0.9,
  ""evidence"": ""Bodine addresses the listener as 'boss,' indicating a professional hierarchy or service-based relationship.""
}"
titanic,,L614368,L614370,,2,2,u8460,LOVETT,,u8447,BODINE,LOVETT: Get that outta my face.,Get that outta my face.,"LOVETT: Shit.
BODINE: You know, boss, this happened to Geraldo and his career never recovered.",ship_authority,authority,0.9,"Bodine addresses Lovett as 'boss', and Lovett issues a direct command, indicating a role-based hierarchy or command relationship.",success,True,,"{
  ""relationship_type"": ""ship_authority"",
  ""confidence"": 0.9,
  ""evidence"": ""Bodine addresses Lovett as 'boss', and Lovett issues a direct command, indicating a role-based hierarchy or command relationship.""
}"
titanic,,L614372,L614372,,0,0,u8449,BUELL,,,,BUELL: The partners want to know how it's going?,The partners want to know how it's going?,,unclear,unclear,0.95,The single turn 'The partners want to know how it's going?' provides no context regarding the identity of the listener or the nature of their personal relationship.,success,True,,"{
  ""relationship_type"": ""unclear"",
  ""confidence"": 0.95,
  ""evidence"": ""The single turn 'The partners want to know how it's going?' provides no context regarding the identity of the listener or the nature of their personal relationship.""
}"
titanic,,L614372,L614373,,1,1,u8460,LOVETT,,u8449,BUELL,"LOVETT: How it's going? It's going like a first date in prison, whattaya think?!","How it's going? It's going like a first date in prison, whattaya think?!",BUELL: The partners want to know how it's going?,acquaintance,acquaintance,0.8,"The characters are professional associates discussing project progress for 'partners' using familiar, informal language.",success,True,,"{
  ""relationship_type"": ""acquaintance"",
  ""confidence"": 0.8,
  ""evidence"": ""The characters are professional associates discussing project progress for 'partners' using familiar, informal language.""
}"
