movie_name,movie_idx,conversation_id,utterance_id,timestamp,speaker_id,speaker_name,reply_to,listener_id,listener_name,text
amadeus,m16,L29991,L29991,,u257,OLD SALIERI,,,,What do you want?
amadeus,m16,L29991,L29992,,u266,VOGLER,L29991,u257,OLD SALIERI,I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.
amadeus,m16,L29991,L29993,,u257,OLD SALIERI,L29992,u266,VOGLER,About what?
amadeus,m16,L29991,L29994,,u266,VOGLER,L29993,u257,OLD SALIERI,"You tried to take your life. You do remember that, don't you?"
amadeus,m16,L29991,L29995,,u257,OLD SALIERI,L29994,u266,VOGLER,So?
amadeus,m16,L29991,L29996,,u266,VOGLER,L29995,u257,OLD SALIERI,In the sight of God that is a sin.
amadeus,m16,L29991,L29997,,u257,OLD SALIERI,L29996,u266,VOGLER,What do you want?
amadeus,m16,L29991,L29998,,u266,VOGLER,L29997,u257,OLD SALIERI,Do you understand that you have sinned? Gravely.
amadeus,m16,L29991,L29999,,u257,OLD SALIERI,L29998,u266,VOGLER,Leave me alone.
amadeus,m16,L29991,L30000,,u266,VOGLER,L29999,u257,OLD SALIERI,I cannot leave alone a soul in pain.
amadeus,m16,L29991,L30001,,u257,OLD SALIERI,L30000,u266,VOGLER,"Do you know who I am? You never heard of me, did you?"
amadeus,m16,L29991,L30002,,u266,VOGLER,L30001,u257,OLD SALIERI,That makes no difference. All men are equal in God's eyes.
amadeus,m16,L29991,L30003,,u257,OLD SALIERI,L30002,u266,VOGLER,Are they?
amadeus,m16,L29991,L30004,,u266,VOGLER,L30003,u257,OLD SALIERI,Offer me your confession. I can offer you God's forgiveness.
amadeus,m16,L29991,L30005,,u257,OLD SALIERI,L30004,u266,VOGLER,I do not seek forgiveness.
amadeus,m16,L29991,L30006,,u266,VOGLER,L30005,u257,OLD SALIERI,"My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me."
amadeus,m16,L29991,L30007,,u257,OLD SALIERI,L30006,u266,VOGLER,How well are you trained in music?
amadeus,m16,L29991,L30008,,u266,VOGLER,L30007,u257,OLD SALIERI,I know a little. I studied it in my youth.
amadeus,m16,L29991,L30009,,u257,OLD SALIERI,L30008,u266,VOGLER,Where?
amadeus,m16,L29991,L30010,,u266,VOGLER,L30009,u257,OLD SALIERI,Here in Vienna.
amadeus,m16,L29991,L30011,,u257,OLD SALIERI,L30010,u266,VOGLER,Then you must know this.
amadeus,m16,L30012,L30012,,u266,VOGLER,,,,I can't say I do. What is it?
amadeus,m16,L30012,L30013,,u257,OLD SALIERI,L30012,u266,VOGLER,I'm surprised you don't know. It was a very popular tune in its day. I wrote it. How about this?
amadeus,m16,L30015,L30015,,u257,OLD SALIERI,,,,Well?
amadeus,m16,L30015,L30016,,u266,VOGLER,L30015,u257,OLD SALIERI,I regret it is not too familiar.
amadeus,m16,L30015,L30017,,u257,OLD SALIERI,L30016,u266,VOGLER,Can you recall no melody of mine? I was the most famous composer in Europe when you were still a boy. I wrote forty operas alone. What about this little thing?
amadeus,m16,L30018,L30018,,u266,VOGLER,,,,"Oh, I know that! That's charming! I didn't know you wrote that."
amadeus,m16,L30018,L30019,,u257,OLD SALIERI,L30018,u266,VOGLER,I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?
amadeus,m16,L30018,L30020,,u266,VOGLER,L30019,u257,OLD SALIERI,Of course. The man you accuse yourself of killing.
amadeus,m16,L30018,L30021,,u257,OLD SALIERI,L30020,u266,VOGLER,Ah - you've heard that?
amadeus,m16,L30018,L30022,,u266,VOGLER,L30021,u257,OLD SALIERI,All Vienna has heard that.
amadeus,m16,L30018,L30023,,u257,OLD SALIERI,L30022,u266,VOGLER,And do they believe it?
amadeus,m16,L30018,L30024,,u266,VOGLER,L30023,u257,OLD SALIERI,Is it true?
amadeus,m16,L30018,L30025,,u257,OLD SALIERI,L30024,u266,VOGLER,Do you believe it?
amadeus,m16,L30018,L30026,,u266,VOGLER,L30025,u257,OLD SALIERI,Should I?
amadeus,m16,L30028,L30028,,u266,VOGLER,,,,Do you hear me?
amadeus,m16,L30028,L30029,,u257,OLD SALIERI,L30028,u266,VOGLER,"He was murdered, Father! Mozart! Cruelly murdered."
