movie_name,conversation_id,utterance_id,turn_index,utterance_order,speaker_id,speaker_name,listener_id,listener_name,current_turn,current_text,context_text,num_prev_turns,prev_turn_1,prev_turn_2,prev_turn_3,prev_turn_4,prev_turn_5,prev_turn_6
an officer and a gentleman,L426539,L426539,0,0,u2405,BYRON,,,"BYRON: You, Zack?","You, Zack?",,0,,,,,,
an officer and a gentleman,L426539,L426540,1,1,u2415,ZACK,u2405,BYRON,"ZACK: Yes, Sir.","Yes, Sir.","BYRON: You, Zack?",1,,,,,,"BYRON: You, Zack?"
an officer and a gentleman,L426539,L426541,2,2,u2405,BYRON,u2415,ZACK,BYRON: I'm Byron. Nice to meet you. C'mon. Let's go get your luggage.,I'm Byron. Nice to meet you. C'mon. Let's go get your luggage.,"BYRON: You, Zack?
ZACK: Yes, Sir.",2,,,,,"BYRON: You, Zack?","ZACK: Yes, Sir."
an officer and a gentleman,L426543,L426543,0,0,u2405,BYRON,,,"BYRON: How was the flight? They take care of you okay? Long way from Norfolk, isn't it?","How was the flight? They take care of you okay? Long way from Norfolk, isn't it?",,0,,,,,,
an officer and a gentleman,L426543,L426544,1,1,u2415,ZACK,u2405,BYRON,"ZACK: Yes, sir.","Yes, sir.","BYRON: How was the flight? They take care of you okay? Long way from Norfolk, isn't it?",1,,,,,,"BYRON: How was the flight? They take care of you okay? Long way from Norfolk, isn't it?"
an officer and a gentleman,L426543,L426545,2,2,u2405,BYRON,u2415,ZACK,"BYRON: Listen, kid, I was sorry to hear about your mom. That's pretty rough. I would've returned your call a lot sooner but I was out at sea...","Listen, kid, I was sorry to hear about your mom. That's pretty rough. I would've returned your call a lot sooner but I was out at sea...","BYRON: How was the flight? They take care of you okay? Long way from Norfolk, isn't it?
ZACK: Yes, sir.",2,,,,,"BYRON: How was the flight? They take care of you okay? Long way from Norfolk, isn't it?","ZACK: Yes, sir."
an officer and a gentleman,L426543,L426546,3,3,u2415,ZACK,u2405,BYRON,ZACK: I been calling for four months.,I been calling for four months.,"BYRON: How was the flight? They take care of you okay? Long way from Norfolk, isn't it?
ZACK: Yes, sir.
BYRON: Listen, kid, I was sorry to hear about your mom. That's pretty rough. I would've returned your call a lot sooner but I was out at sea...",3,,,,"BYRON: How was the flight? They take care of you okay? Long way from Norfolk, isn't it?","ZACK: Yes, sir.","BYRON: Listen, kid, I was sorry to hear about your mom. That's pretty rough. I would've returned your call a lot sooner but I was out at sea..."
an officer and a gentleman,L426543,L426547,4,4,u2405,BYRON,u2415,ZACK,"BYRON: Well, that's how long I've been out at sea.","Well, that's how long I've been out at sea.","BYRON: How was the flight? They take care of you okay? Long way from Norfolk, isn't it?
ZACK: Yes, sir.
BYRON: Listen, kid, I was sorry to hear about your mom. That's pretty rough. I would've returned your call a lot sooner but I was out at sea...
ZACK: I been calling for four months.",4,,,"BYRON: How was the flight? They take care of you okay? Long way from Norfolk, isn't it?","ZACK: Yes, sir.","BYRON: Listen, kid, I was sorry to hear about your mom. That's pretty rough. I would've returned your call a lot sooner but I was out at sea...",ZACK: I been calling for four months.
an officer and a gentleman,L426551,L426551,0,0,u2405,BYRON,,,BYRON: This is it. This is where I live. I suppose you could bunk over there and you could go to school at the base.,This is it. This is where I live. I suppose you could bunk over there and you could go to school at the base.,,0,,,,,,
an officer and a gentleman,L426551,L426552,1,1,u2415,ZACK,u2405,BYRON,ZACK: Great.,Great.,BYRON: This is it. This is where I live. I suppose you could bunk over there and you could go to school at the base.,1,,,,,,BYRON: This is it. This is where I live. I suppose you could bunk over there and you could go to school at the base.
