movie_name,movie_idx,conversation_id,utterance_id,timestamp,turn_index,utterance_order,speaker_id,speaker_name,reply_to,listener_id,listener_name,current_turn,current_text,context_text,relationship_type,global_category,confidence,evidence,status,parse_success,error,raw_response
amadeus,,L29991,L29991,,0,0,u257,OLD SALIERI,,,,OLD SALIERI: What do you want?,What do you want?,,unclear,unclear,1.0,There is no previous context and the current turn provides insufficient information to determine a relationship between the speaker and the unknown listener.,success,True,,"{
  ""relationship_type"": ""unclear"",
  ""confidence"": 1.0,
  ""evidence"": ""There is no previous context and the current turn provides insufficient information to determine a relationship between the speaker and the unknown listener.""
}"
amadeus,,L29991,L29992,,1,1,u266,VOGLER,,u257,OLD SALIERI,VOGLER: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.,I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.,OLD SALIERI: What do you want?,court_authority,authority,0.9,"Vogler identifies himself as a 'Father' and a 'Chaplain,' establishing an institutional church-based role.",success,True,,"{
  ""relationship_type"": ""court_authority"",
  ""confidence"": 0.9,
  ""evidence"": ""Vogler identifies himself as a 'Father' and a 'Chaplain,' establishing an institutional church-based role.""
}"
amadeus,,L29991,L29993,,2,2,u257,OLD SALIERI,,u266,VOGLER,OLD SALIERI: About what?,About what?,"OLD SALIERI: What do you want?
VOGLER: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.",court_authority,authority,0.85,"Vogler identifies himself as a 'Father' and 'Chaplain,' establishing a relationship rooted in church and institutional authority.",success,True,,"{
  ""relationship_type"": ""court_authority"",
  ""confidence"": 0.85,
  ""evidence"": ""Vogler identifies himself as a 'Father' and 'Chaplain,' establishing a relationship rooted in church and institutional authority.""
}"
amadeus,,L29991,L29994,,3,3,u266,VOGLER,,u257,OLD SALIERI,"VOGLER: You tried to take your life. You do remember that, don't you?","You tried to take your life. You do remember that, don't you?","OLD SALIERI: What do you want?
VOGLER: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.
OLD SALIERI: About what?",court_authority,authority,0.9,"Vogler identifies himself as a Father and Chaplain, establishing a church-based institutional authority relationship over Salieri.",success,True,,"{
  ""relationship_type"": ""court_authority"",
  ""confidence"": 0.9,
  ""evidence"": ""Vogler identifies himself as a Father and Chaplain, establishing a church-based institutional authority relationship over Salieri.""
}"
amadeus,,L29991,L29995,,4,4,u257,OLD SALIERI,,u266,VOGLER,OLD SALIERI: So?,So?,"OLD SALIERI: What do you want?
VOGLER: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.
OLD SALIERI: About what?
VOGLER: You tried to take your life. You do remember that, don't you?",court_authority,authority,0.85,"Vogler introduces himself as a 'Chaplain' and 'Father,' establishing an institutional and religious authority relationship in the context of Salieri's suicide attempt.",success,True,,"{
  ""relationship_type"": ""court_authority"",
  ""confidence"": 0.85,
  ""evidence"": ""Vogler introduces himself as a 'Chaplain' and 'Father,' establishing an institutional and religious authority relationship in the context of Salieri's suicide attempt.""
}"
amadeus,,L29991,L29996,,5,5,u266,VOGLER,,u257,OLD SALIERI,VOGLER: In the sight of God that is a sin.,In the sight of God that is a sin.,"OLD SALIERI: What do you want?
VOGLER: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.
OLD SALIERI: About what?
VOGLER: You tried to take your life. You do remember that, don't you?
OLD SALIERI: So?",court_authority,authority,0.92,"Vogler identifies himself as a Chaplain (church authority) and is lecturing Salieri on sin, representing an institutional and religious rank.",success,True,,"{
  ""relationship_type"": ""court_authority"",
  ""confidence"": 0.92,
  ""evidence"": ""Vogler identifies himself as a Chaplain (church authority) and is lecturing Salieri on sin, representing an institutional and religious rank.""
}"
amadeus,,L29991,L29997,,6,6,u257,OLD SALIERI,,u266,VOGLER,OLD SALIERI: What do you want?,What do you want?,"OLD SALIERI: What do you want?
VOGLER: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.
OLD SALIERI: About what?
VOGLER: You tried to take your life. You do remember that, don't you?
OLD SALIERI: So?
VOGLER: In the sight of God that is a sin.",court_authority,authority,0.85,"Vogler identifies as a Chaplain and addresses Salieri's suicide attempt as a sin, establishing a religious/institutional authority dynamic.",success,True,,"{
  ""relationship_type"": ""court_authority"",
  ""confidence"": 0.85,
  ""evidence"": ""Vogler identifies as a Chaplain and addresses Salieri's suicide attempt as a sin, establishing a religious/institutional authority dynamic.""
}"
amadeus,,L29991,L29998,,7,7,u266,VOGLER,,u257,OLD SALIERI,VOGLER: Do you understand that you have sinned? Gravely.,Do you understand that you have sinned? Gravely.,"VOGLER: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.
OLD SALIERI: About what?
VOGLER: You tried to take your life. You do remember that, don't you?
OLD SALIERI: So?
VOGLER: In the sight of God that is a sin.
OLD SALIERI: What do you want?",court_authority,authority,0.95,"Vogler identifies himself as a 'Chaplain' and 'Father,' exercising institutional and religious authority by questioning the listener about his 'sin'.",success,True,,"{
  ""relationship_type"": ""court_authority"",
  ""confidence"": 0.95,
  ""evidence"": ""Vogler identifies himself as a 'Chaplain' and 'Father,' exercising institutional and religious authority by questioning the listener about his 'sin'.""
}"
amadeus,,L29991,L29999,,8,8,u257,OLD SALIERI,,u266,VOGLER,OLD SALIERI: Leave me alone.,Leave me alone.,"OLD SALIERI: About what?
VOGLER: You tried to take your life. You do remember that, don't you?
OLD SALIERI: So?
VOGLER: In the sight of God that is a sin.
OLD SALIERI: What do you want?
VOGLER: Do you understand that you have sinned? Gravely.",court_authority,authority,0.85,"Vogler questions the speaker regarding a 'sin' in the 'sight of God,' indicating a church or institutional authority relationship as defined in the schema.",success,True,,"{
  ""relationship_type"": ""court_authority"",
  ""confidence"": 0.85,
  ""evidence"": ""Vogler questions the speaker regarding a 'sin' in the 'sight of God,' indicating a church or institutional authority relationship as defined in the schema.""
}"
amadeus,,L29991,L30000,,9,9,u266,VOGLER,,u257,OLD SALIERI,VOGLER: I cannot leave alone a soul in pain.,I cannot leave alone a soul in pain.,"VOGLER: You tried to take your life. You do remember that, don't you?
OLD SALIERI: So?
VOGLER: In the sight of God that is a sin.
OLD SALIERI: What do you want?
VOGLER: Do you understand that you have sinned? Gravely.
OLD SALIERI: Leave me alone.",court_authority,authority,0.85,"Vogler uses religious institutional language ('sin', 'sight of God', 'soul') to address Salieri's actions, positioning himself as a moral or church authority.",success,True,,"{
  ""relationship_type"": ""court_authority"",
  ""confidence"": 0.85,
  ""evidence"": ""Vogler uses religious institutional language ('sin', 'sight of God', 'soul') to address Salieri's actions, positioning himself as a moral or church authority.""
}"
amadeus,,L29991,L30001,,10,10,u257,OLD SALIERI,,u266,VOGLER,"OLD SALIERI: Do you know who I am? You never heard of me, did you?","Do you know who I am? You never heard of me, did you?","OLD SALIERI: So?
VOGLER: In the sight of God that is a sin.
OLD SALIERI: What do you want?
VOGLER: Do you understand that you have sinned? Gravely.
OLD SALIERI: Leave me alone.
VOGLER: I cannot leave alone a soul in pain.",court_authority,authority,0.9,"Vogler's focus on 'sin,' 'God,' and 'a soul in pain' establishes an institutional/church authority relation.",success,True,,"{
  ""relationship_type"": ""court_authority"",
  ""confidence"": 0.9,
  ""evidence"": ""Vogler's focus on 'sin,' 'God,' and 'a soul in pain' establishes an institutional/church authority relation.""
}"
amadeus,,L29991,L30002,,11,11,u266,VOGLER,,u257,OLD SALIERI,VOGLER: That makes no difference. All men are equal in God's eyes.,That makes no difference. All men are equal in God's eyes.,"VOGLER: In the sight of God that is a sin.
OLD SALIERI: What do you want?
VOGLER: Do you understand that you have sinned? Gravely.
OLD SALIERI: Leave me alone.
VOGLER: I cannot leave alone a soul in pain.
OLD SALIERI: Do you know who I am? You never heard of me, did you?",court_authority,authority,0.85,"Vogler's focus on 'sin', 'God', and the 'soul' indicates a religious/institutional authority role, which is explicitly included in the definition for court_authority.",success,True,,"{
  ""relationship_type"": ""court_authority"",
  ""confidence"": 0.85,
  ""evidence"": ""Vogler's focus on 'sin', 'God', and the 'soul' indicates a religious/institutional authority role, which is explicitly included in the definition for court_authority.""
}"
amadeus,,L29991,L30003,,12,12,u257,OLD SALIERI,,u266,VOGLER,OLD SALIERI: Are they?,Are they?,"OLD SALIERI: What do you want?
VOGLER: Do you understand that you have sinned? Gravely.
OLD SALIERI: Leave me alone.
VOGLER: I cannot leave alone a soul in pain.
OLD SALIERI: Do you know who I am? You never heard of me, did you?
VOGLER: That makes no difference. All men are equal in God's eyes.",court_authority,authority,0.85,"Vogler's language regarding 'sin,' 'souls,' and 'God' frames the interaction as a church-based institutional authority relationship.",success,True,,"{
  ""relationship_type"": ""court_authority"",
  ""confidence"": 0.85,
  ""evidence"": ""Vogler's language regarding 'sin,' 'souls,' and 'God' frames the interaction as a church-based institutional authority relationship.""
}"
amadeus,,L29991,L30004,,13,13,u266,VOGLER,,u257,OLD SALIERI,VOGLER: Offer me your confession. I can offer you God's forgiveness.,Offer me your confession. I can offer you God's forgiveness.,"VOGLER: Do you understand that you have sinned? Gravely.
OLD SALIERI: Leave me alone.
VOGLER: I cannot leave alone a soul in pain.
OLD SALIERI: Do you know who I am? You never heard of me, did you?
VOGLER: That makes no difference. All men are equal in God's eyes.
OLD SALIERI: Are they?",court_authority,authority,0.92,"Vogler is acting in a religious institutional capacity, offering confession and God's forgiveness, which fits the label definition including church authority.",success,True,,"{
  ""relationship_type"": ""court_authority"",
  ""confidence"": 0.92,
  ""evidence"": ""Vogler is acting in a religious institutional capacity, offering confession and God's forgiveness, which fits the label definition including church authority.""
}"
amadeus,,L29991,L30005,,14,14,u257,OLD SALIERI,,u266,VOGLER,OLD SALIERI: I do not seek forgiveness.,I do not seek forgiveness.,"OLD SALIERI: Leave me alone.
VOGLER: I cannot leave alone a soul in pain.
OLD SALIERI: Do you know who I am? You never heard of me, did you?
VOGLER: That makes no difference. All men are equal in God's eyes.
OLD SALIERI: Are they?
VOGLER: Offer me your confession. I can offer you God's forgiveness.",court_authority,authority,0.85,"Vogler offers confession and God's forgiveness, acting in the capacity of a religious/church authority.",success,True,,"{
  ""relationship_type"": ""court_authority"",
  ""confidence"": 0.85,
  ""evidence"": ""Vogler offers confession and God's forgiveness, acting in the capacity of a religious/church authority.""
}"
amadeus,,L29991,L30006,,15,15,u266,VOGLER,,u257,OLD SALIERI,"VOGLER: My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.","My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.","VOGLER: I cannot leave alone a soul in pain.
OLD SALIERI: Do you know who I am? You never heard of me, did you?
VOGLER: That makes no difference. All men are equal in God's eyes.
OLD SALIERI: Are they?
VOGLER: Offer me your confession. I can offer you God's forgiveness.
OLD SALIERI: I do not seek forgiveness.",court_authority,authority,0.92,"Vogler acts in a clerical capacity, offering confession and calling Salieri 'My son,' representing church institutional authority as defined in the schema.",success,True,,"{
  ""relationship_type"": ""court_authority"",
  ""confidence"": 0.92,
  ""evidence"": ""Vogler acts in a clerical capacity, offering confession and calling Salieri 'My son,' representing church institutional authority as defined in the schema.""
}"
amadeus,,L29991,L30007,,16,16,u257,OLD SALIERI,,u266,VOGLER,OLD SALIERI: How well are you trained in music?,How well are you trained in music?,"OLD SALIERI: Do you know who I am? You never heard of me, did you?
VOGLER: That makes no difference. All men are equal in God's eyes.
OLD SALIERI: Are they?
VOGLER: Offer me your confession. I can offer you God's forgiveness.
OLD SALIERI: I do not seek forgiveness.
VOGLER: My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.",court_authority,authority,0.9,"Vogler is acting as a priest offering religious confession and forgiveness, which falls under the definition of church or institutional authority.",success,True,,"{
  ""relationship_type"": ""court_authority"",
  ""confidence"": 0.9,
  ""evidence"": ""Vogler is acting as a priest offering religious confession and forgiveness, which falls under the definition of church or institutional authority.""
}"
amadeus,,L29991,L30008,,17,17,u266,VOGLER,,u257,OLD SALIERI,VOGLER: I know a little. I studied it in my youth.,I know a little. I studied it in my youth.,"VOGLER: That makes no difference. All men are equal in God's eyes.
OLD SALIERI: Are they?
VOGLER: Offer me your confession. I can offer you God's forgiveness.
OLD SALIERI: I do not seek forgiveness.
VOGLER: My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.
OLD SALIERI: How well are you trained in music?",court_authority,authority,0.9,"Vogler acts in a religious institutional capacity, offering 'confession' and 'God's forgiveness' and addressing Salieri as 'My son.'",success,True,,"{
  ""relationship_type"": ""court_authority"",
  ""confidence"": 0.9,
  ""evidence"": ""Vogler acts in a religious institutional capacity, offering 'confession' and 'God's forgiveness' and addressing Salieri as 'My son.'""
}"
amadeus,,L29991,L30009,,18,18,u257,OLD SALIERI,,u266,VOGLER,OLD SALIERI: Where?,Where?,"OLD SALIERI: Are they?
VOGLER: Offer me your confession. I can offer you God's forgiveness.
OLD SALIERI: I do not seek forgiveness.
VOGLER: My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.
OLD SALIERI: How well are you trained in music?
VOGLER: I know a little. I studied it in my youth.",court_authority,authority,0.85,"Vogler is acting in an institutional church role, offering 'confession' and 'God's forgiveness' to Salieri.",success,True,,"{
  ""relationship_type"": ""court_authority"",
  ""confidence"": 0.85,
  ""evidence"": ""Vogler is acting in an institutional church role, offering 'confession' and 'God's forgiveness' to Salieri.""
}"
amadeus,,L29991,L30010,,19,19,u266,VOGLER,,u257,OLD SALIERI,VOGLER: Here in Vienna.,Here in Vienna.,"VOGLER: Offer me your confession. I can offer you God's forgiveness.
OLD SALIERI: I do not seek forgiveness.
VOGLER: My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.
OLD SALIERI: How well are you trained in music?
VOGLER: I know a little. I studied it in my youth.
OLD SALIERI: Where?",court_authority,authority,0.9,"Vogler is acting in a clerical capacity, offering confession and God's forgiveness while addressing Salieri as 'My son,' which falls under institutional church authority.",success,True,,"{
  ""relationship_type"": ""court_authority"",
  ""confidence"": 0.9,
  ""evidence"": ""Vogler is acting in a clerical capacity, offering confession and God's forgiveness while addressing Salieri as 'My son,' which falls under institutional church authority.""
}"
amadeus,,L29991,L30011,,20,20,u257,OLD SALIERI,,u266,VOGLER,OLD SALIERI: Then you must know this.,Then you must know this.,"OLD SALIERI: I do not seek forgiveness.
VOGLER: My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.
OLD SALIERI: How well are you trained in music?
VOGLER: I know a little. I studied it in my youth.
OLD SALIERI: Where?
VOGLER: Here in Vienna.",court_authority,authority,0.85,"Vogler addresses Salieri as 'My son' and asks him to 'Unburden' his soul, establishing a church-based institutional authority relationship.",success,True,,"{
  ""relationship_type"": ""court_authority"",
  ""confidence"": 0.85,
  ""evidence"": ""Vogler addresses Salieri as 'My son' and asks him to 'Unburden' his soul, establishing a church-based institutional authority relationship.""
}"
amadeus,,L30012,L30012,,0,0,u266,VOGLER,,,,VOGLER: I can't say I do. What is it?,I can't say I do. What is it?,,unclear,unclear,1.0,There is no context or information about the listener provided to determine a relationship.,success,True,,"{
  ""relationship_type"": ""unclear"",
  ""confidence"": 1.0,
  ""evidence"": ""There is no context or information about the listener provided to determine a relationship.""
}"
amadeus,,L30012,L30013,,1,1,u257,OLD SALIERI,,u266,VOGLER,OLD SALIERI: I'm surprised you don't know. It was a very popular tune in its day. I wrote it. How about this?,I'm surprised you don't know. It was a very popular tune in its day. I wrote it. How about this?,VOGLER: I can't say I do. What is it?,unclear,unclear,0.9,"The dialogue identifies Salieri as a composer sharing his work, but provides no information about Vogler's role or his social/professional connection to Salieri.",success,True,,"{
  ""relationship_type"": ""unclear"",
  ""confidence"": 0.9,
  ""evidence"": ""The dialogue identifies Salieri as a composer sharing his work, but provides no information about Vogler's role or his social/professional connection to Salieri.""
}"
amadeus,,L30015,L30015,,0,0,u257,OLD SALIERI,,,,OLD SALIERI: Well?,Well?,,unclear,unclear,1.0,"The provided text contains no previous context and the current turn is only a single word ('Well?'), providing no evidence of the relationship between the speaker and the listener.",success,True,,"{
  ""relationship_type"": ""unclear"",
  ""confidence"": 1.0,
  ""evidence"": ""The provided text contains no previous context and the current turn is only a single word ('Well?'), providing no evidence of the relationship between the speaker and the listener.""
}"
amadeus,,L30015,L30016,,1,1,u266,VOGLER,,u257,OLD SALIERI,VOGLER: I regret it is not too familiar.,I regret it is not too familiar.,OLD SALIERI: Well?,unclear,unclear,0.95,"The brief exchange of an inquiry ('Well?') and a polite response ('I regret...') provides no evidence of a specific social, professional, or personal bond.",success,True,,"{
  ""relationship_type"": ""unclear"",
  ""confidence"": 0.95,
  ""evidence"": ""The brief exchange of an inquiry ('Well?') and a polite response ('I regret...') provides no evidence of a specific social, professional, or personal bond.""
}"
amadeus,,L30015,L30017,,2,2,u257,OLD SALIERI,,u266,VOGLER,OLD SALIERI: Can you recall no melody of mine? I was the most famous composer in Europe when you were still a boy. I wrote forty operas alone. What about this little thing?,Can you recall no melody of mine? I was the most famous composer in Europe when you were still a boy. I wrote forty operas alone. What about this little thing?,"OLD SALIERI: Well?
VOGLER: I regret it is not too familiar.",unclear,unclear,0.95,"The dialogue establishes Salieri's identity as a composer and Vogler as a listener, but does not provide sufficient information to define their specific social or professional relationship.",success,True,,"{
  ""relationship_type"": ""unclear"",
  ""confidence"": 0.95,
  ""evidence"": ""The dialogue establishes Salieri's identity as a composer and Vogler as a listener, but does not provide sufficient information to define their specific social or professional relationship.""
}"
amadeus,,L30018,L30018,,0,0,u266,VOGLER,,,,"VOGLER: Oh, I know that! That's charming! I didn't know you wrote that.","Oh, I know that! That's charming! I didn't know you wrote that.",,unclear,unclear,0.95,The single turn of dialogue is insufficient to establish the specific nature of the relationship beyond a reaction to a piece of work.,success,True,,"{
  ""relationship_type"": ""unclear"",
  ""confidence"": 0.95,
  ""evidence"": ""The single turn of dialogue is insufficient to establish the specific nature of the relationship beyond a reaction to a piece of work.""
}"
amadeus,,L30018,L30019,,1,1,u257,OLD SALIERI,,u266,VOGLER,OLD SALIERI: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?,I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?,"VOGLER: Oh, I know that! That's charming! I didn't know you wrote that.",acquaintance,acquaintance,0.85,"The listener recognizes the speaker as a composer ('I didn't know you wrote that'), indicating a known social or professional relationship, but the specific nature of their bond is not yet detailed.",success,True,,"{
  ""relationship_type"": ""acquaintance"",
  ""confidence"": 0.85,
  ""evidence"": ""The listener recognizes the speaker as a composer ('I didn't know you wrote that'), indicating a known social or professional relationship, but the specific nature of their bond is not yet detailed.""
}"
amadeus,,L30018,L30020,,2,2,u266,VOGLER,,u257,OLD SALIERI,VOGLER: Of course. The man you accuse yourself of killing.,Of course. The man you accuse yourself of killing.,"VOGLER: Oh, I know that! That's charming! I didn't know you wrote that.
OLD SALIERI: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?",acquaintance,acquaintance,0.8,"Vogler recognizes Salieri's music and is aware of his self-accusation regarding Mozart, indicating a known but weakly specified social or professional relation.",success,True,,"{
  ""relationship_type"": ""acquaintance"",
  ""confidence"": 0.8,
  ""evidence"": ""Vogler recognizes Salieri's music and is aware of his self-accusation regarding Mozart, indicating a known but weakly specified social or professional relation.""
}"
amadeus,,L30018,L30021,,3,3,u257,OLD SALIERI,,u266,VOGLER,OLD SALIERI: Ah - you've heard that?,Ah - you've heard that?,"VOGLER: Oh, I know that! That's charming! I didn't know you wrote that.
OLD SALIERI: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?
VOGLER: Of course. The man you accuse yourself of killing.",unclear,unclear,0.9,"The dialogue identifies the characters but provides no information regarding their social roles, professional connection, or level of familiarity.",success,True,,"{
  ""relationship_type"": ""unclear"",
  ""confidence"": 0.9,
  ""evidence"": ""The dialogue identifies the characters but provides no information regarding their social roles, professional connection, or level of familiarity.""
}"
amadeus,,L30018,L30022,,4,4,u266,VOGLER,,u257,OLD SALIERI,VOGLER: All Vienna has heard that.,All Vienna has heard that.,"VOGLER: Oh, I know that! That's charming! I didn't know you wrote that.
OLD SALIERI: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?
VOGLER: Of course. The man you accuse yourself of killing.
OLD SALIERI: Ah - you've heard that?",acquaintance,acquaintance,0.85,"Vogler is familiar with Salieri's musical work and the public rumors surrounding him, indicating a known but not intimate social connection.",success,True,,"{
  ""relationship_type"": ""acquaintance"",
  ""confidence"": 0.85,
  ""evidence"": ""Vogler is familiar with Salieri's musical work and the public rumors surrounding him, indicating a known but not intimate social connection.""
}"
amadeus,,L30018,L30023,,5,5,u257,OLD SALIERI,,u266,VOGLER,OLD SALIERI: And do they believe it?,And do they believe it?,"VOGLER: Oh, I know that! That's charming! I didn't know you wrote that.
OLD SALIERI: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?
VOGLER: Of course. The man you accuse yourself of killing.
OLD SALIERI: Ah - you've heard that?
VOGLER: All Vienna has heard that.",acquaintance,acquaintance,0.8,"Vogler is familiar with Salieri's reputation and work, and they are engaged in a social interaction, but the text does not specify a deeper bond or a clear hierarchy.",success,True,,"{
  ""relationship_type"": ""acquaintance"",
  ""confidence"": 0.8,
  ""evidence"": ""Vogler is familiar with Salieri's reputation and work, and they are engaged in a social interaction, but the text does not specify a deeper bond or a clear hierarchy.""
}"
amadeus,,L30018,L30024,,6,6,u266,VOGLER,,u257,OLD SALIERI,VOGLER: Is it true?,Is it true?,"VOGLER: Oh, I know that! That's charming! I didn't know you wrote that.
OLD SALIERI: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?
VOGLER: Of course. The man you accuse yourself of killing.
OLD SALIERI: Ah - you've heard that?
VOGLER: All Vienna has heard that.
OLD SALIERI: And do they believe it?",unclear,unclear,0.9,"The dialogue does not provide sufficient information to determine the specific social, professional, or institutional relationship between Vogler and Salieri.",success,True,,"{
  ""relationship_type"": ""unclear"",
  ""confidence"": 0.9,
  ""evidence"": ""The dialogue does not provide sufficient information to determine the specific social, professional, or institutional relationship between Vogler and Salieri.""
}"
amadeus,,L30018,L30025,,7,7,u257,OLD SALIERI,,u266,VOGLER,OLD SALIERI: Do you believe it?,Do you believe it?,"OLD SALIERI: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?
VOGLER: Of course. The man you accuse yourself of killing.
OLD SALIERI: Ah - you've heard that?
VOGLER: All Vienna has heard that.
OLD SALIERI: And do they believe it?
VOGLER: Is it true?",unclear,unclear,0.9,"The characters are discussing a public rumor regarding Mozart's death and Salieri's self-accusation, but the text does not define Vogler's specific role or his social/professional relationship to Salieri.",success,True,,"{
  ""relationship_type"": ""unclear"",
  ""confidence"": 0.9,
  ""evidence"": ""The characters are discussing a public rumor regarding Mozart's death and Salieri's self-accusation, but the text does not define Vogler's specific role or his social/professional relationship to Salieri.""
}"
amadeus,,L30018,L30026,,8,8,u266,VOGLER,,u257,OLD SALIERI,VOGLER: Should I?,Should I?,"VOGLER: Of course. The man you accuse yourself of killing.
OLD SALIERI: Ah - you've heard that?
VOGLER: All Vienna has heard that.
OLD SALIERI: And do they believe it?
VOGLER: Is it true?
OLD SALIERI: Do you believe it?",unclear,unclear,0.95,"While the characters are engaged in a dialogue about a murder accusation, the text does not provide sufficient information to establish their specific social, professional, or institutional relationship.",success,True,,"{
  ""relationship_type"": ""unclear"",
  ""confidence"": 0.95,
  ""evidence"": ""While the characters are engaged in a dialogue about a murder accusation, the text does not provide sufficient information to establish their specific social, professional, or institutional relationship.""
}"
amadeus,,L30028,L30028,,0,0,u266,VOGLER,,,,VOGLER: Do you hear me?,Do you hear me?,,unclear,unclear,1.0,The provided text contains only a single generic question with no context or listener information to determine a relationship.,success,True,,"{
  ""relationship_type"": ""unclear"",
  ""confidence"": 1.0,
  ""evidence"": ""The provided text contains only a single generic question with no context or listener information to determine a relationship.""
}"
amadeus,,L30028,L30029,,1,1,u257,OLD SALIERI,,u266,VOGLER,"OLD SALIERI: He was murdered, Father! Mozart! Cruelly murdered.","He was murdered, Father! Mozart! Cruelly murdered.",VOGLER: Do you hear me?,court_authority,authority,0.9,"The speaker addresses the listener as 'Father,' indicating a church-based institutional authority relationship.",success,True,,"{
  ""relationship_type"": ""court_authority"",
  ""confidence"": 0.9,
  ""evidence"": ""The speaker addresses the listener as 'Father,' indicating a church-based institutional authority relationship.""
}"
