movie_name,movie_idx,conversation_id,utterance_id,timestamp,turn_index,utterance_order,speaker_id,speaker_name,reply_to,listener_id,listener_name,text
titanic,m574,L614356,L614356,,0,0,u8447,BODINE,,,,I'm in the sitting room. Heading for bedroom B-54.
titanic,m574,L614356,L614357,,1,1,u8460,LOVETT,L614356,u8447,BODINE,Stay off the floor. Don't stir it up like you did yesterday.
titanic,m574,L614356,L614358,,2,2,u8447,BODINE,L614357,u8460,LOVETT,I'm tryin' boss.
titanic,m574,L614364,L614364,,0,0,u8447,BODINE,,,,Who's the best? Say it.
titanic,m574,L614364,L614365,,1,1,u8460,LOVETT,L614364,u8447,BODINE,"You are, Lewis. You rolling?"
titanic,m574,L614368,L614368,,0,0,u8460,LOVETT,,,,Shit.
titanic,m574,L614368,L614369,,1,1,u8447,BODINE,L614368,u8460,LOVETT,"You know, boss, this happened to Geraldo and his career never recovered."
titanic,m574,L614368,L614370,,2,2,u8460,LOVETT,L614369,u8447,BODINE,Get that outta my face.
titanic,m574,L614372,L614372,,0,0,u8449,BUELL,,,,The partners want to know how it's going?
titanic,m574,L614372,L614373,,1,1,u8460,LOVETT,L614372,u8449,BUELL,"How it's going? It's going like a first date in prison, whattaya think?!"
titanic,m574,L614386,L614386,,0,0,u8449,BUELL,,,,There's a satellite call for you.
titanic,m574,L614386,L614387,,1,1,u8460,LOVETT,L614386,u8449,BUELL,"Bobby, we're launching. See these submersibles here, going in the water? Take a message."
titanic,m574,L614386,L614388,,2,2,u8449,BUELL,L614387,u8460,LOVETT,"No, trust me, you want to take this call."
titanic,m574,L614389,L614389,,0,0,u8460,LOVETT,,,,"This is Brock Lovett. What can I do for you, Mrs...?"
titanic,m574,L614389,L614390,,1,1,u8449,BUELL,L614389,u8460,LOVETT,Rose Calvert.
titanic,m574,L614389,L614391,,2,2,u8460,LOVETT,L614390,u8449,BUELL,...Mrs. Calvert?
titanic,m574,L614393,L614393,,0,0,u8449,BUELL,,,,I told you you wanted to take this call.
titanic,m574,L614393,L614394,,1,1,u8460,LOVETT,L614393,u8449,BUELL,"Alright. You have my attention, Rose. Can you tell me who the woman in the picture is?"
titanic,m574,L614398,L614398,,0,0,u8447,BODINE,,,,"She says she's Rose DeWitt Bukater, right? Rose DeWitt Bukater died on the Titanic. At the age of 17. If she'd've lived, she'd be over a hundred now."
titanic,m574,L614398,L614399,,1,1,u8460,LOVETT,L614398,u8447,BODINE,A hundred and one next month.
