movie_name,conversation_id,utterance_id,turn_index,utterance_order,speaker_id,speaker_name,listener_id,listener_name,current_turn,current_text,context_text,num_prev_turns,prev_turn_1,prev_turn_2,prev_turn_3,prev_turn_4,prev_turn_5,prev_turn_6
amadeus,L29991,L29991,0,0,u257,OLD SALIERI,,,OLD SALIERI: What do you want?,What do you want?,,0,,,,,,
amadeus,L29991,L29992,1,1,u266,VOGLER,u257,OLD SALIERI,VOGLER: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.,I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.,OLD SALIERI: What do you want?,1,,,,,,OLD SALIERI: What do you want?
amadeus,L29991,L29993,2,2,u257,OLD SALIERI,u266,VOGLER,OLD SALIERI: About what?,About what?,"OLD SALIERI: What do you want?
VOGLER: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.",2,,,,,OLD SALIERI: What do you want?,VOGLER: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.
amadeus,L29991,L29994,3,3,u266,VOGLER,u257,OLD SALIERI,"VOGLER: You tried to take your life. You do remember that, don't you?","You tried to take your life. You do remember that, don't you?","OLD SALIERI: What do you want?
VOGLER: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.
OLD SALIERI: About what?",3,,,,OLD SALIERI: What do you want?,VOGLER: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.,OLD SALIERI: About what?
amadeus,L29991,L29995,4,4,u257,OLD SALIERI,u266,VOGLER,OLD SALIERI: So?,So?,"OLD SALIERI: What do you want?
VOGLER: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.
OLD SALIERI: About what?
VOGLER: You tried to take your life. You do remember that, don't you?",4,,,OLD SALIERI: What do you want?,VOGLER: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.,OLD SALIERI: About what?,"VOGLER: You tried to take your life. You do remember that, don't you?"
amadeus,L29991,L29996,5,5,u266,VOGLER,u257,OLD SALIERI,VOGLER: In the sight of God that is a sin.,In the sight of God that is a sin.,"OLD SALIERI: What do you want?
VOGLER: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.
OLD SALIERI: About what?
VOGLER: You tried to take your life. You do remember that, don't you?
OLD SALIERI: So?",5,,OLD SALIERI: What do you want?,VOGLER: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.,OLD SALIERI: About what?,"VOGLER: You tried to take your life. You do remember that, don't you?",OLD SALIERI: So?
amadeus,L29991,L29997,6,6,u257,OLD SALIERI,u266,VOGLER,OLD SALIERI: What do you want?,What do you want?,"OLD SALIERI: What do you want?
VOGLER: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.
OLD SALIERI: About what?
VOGLER: You tried to take your life. You do remember that, don't you?
OLD SALIERI: So?
VOGLER: In the sight of God that is a sin.",6,OLD SALIERI: What do you want?,VOGLER: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.,OLD SALIERI: About what?,"VOGLER: You tried to take your life. You do remember that, don't you?",OLD SALIERI: So?,VOGLER: In the sight of God that is a sin.
amadeus,L29991,L29998,7,7,u266,VOGLER,u257,OLD SALIERI,VOGLER: Do you understand that you have sinned? Gravely.,Do you understand that you have sinned? Gravely.,"VOGLER: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.
OLD SALIERI: About what?
VOGLER: You tried to take your life. You do remember that, don't you?
OLD SALIERI: So?
VOGLER: In the sight of God that is a sin.
OLD SALIERI: What do you want?",6,VOGLER: I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.,OLD SALIERI: About what?,"VOGLER: You tried to take your life. You do remember that, don't you?",OLD SALIERI: So?,VOGLER: In the sight of God that is a sin.,OLD SALIERI: What do you want?
amadeus,L29991,L29999,8,8,u257,OLD SALIERI,u266,VOGLER,OLD SALIERI: Leave me alone.,Leave me alone.,"OLD SALIERI: About what?
VOGLER: You tried to take your life. You do remember that, don't you?
OLD SALIERI: So?
VOGLER: In the sight of God that is a sin.
OLD SALIERI: What do you want?
VOGLER: Do you understand that you have sinned? Gravely.",6,OLD SALIERI: About what?,"VOGLER: You tried to take your life. You do remember that, don't you?",OLD SALIERI: So?,VOGLER: In the sight of God that is a sin.,OLD SALIERI: What do you want?,VOGLER: Do you understand that you have sinned? Gravely.
amadeus,L29991,L30000,9,9,u266,VOGLER,u257,OLD SALIERI,VOGLER: I cannot leave alone a soul in pain.,I cannot leave alone a soul in pain.,"VOGLER: You tried to take your life. You do remember that, don't you?
OLD SALIERI: So?
VOGLER: In the sight of God that is a sin.
OLD SALIERI: What do you want?
VOGLER: Do you understand that you have sinned? Gravely.
OLD SALIERI: Leave me alone.",6,"VOGLER: You tried to take your life. You do remember that, don't you?",OLD SALIERI: So?,VOGLER: In the sight of God that is a sin.,OLD SALIERI: What do you want?,VOGLER: Do you understand that you have sinned? Gravely.,OLD SALIERI: Leave me alone.
