movie_name,conversation_id,utterance_id,turn_index,utterance_order,speaker_id,speaker_name,listener_id,listener_name,current_turn,current_text,context_text,num_prev_turns,prev_turn_1,prev_turn_2,prev_turn_3,prev_turn_4,prev_turn_5,prev_turn_6
the godfather,L592849,L592849,0,0,u3098,DON CORLEONE,,,"DON CORLEONE: Bonasera, we know each other for years, but this is the first time you come to me for help. I don't remember the last time you invited me to your house for coffee...even though our wives are friends.","Bonasera, we know each other for years, but this is the first time you come to me for help. I don't remember the last time you invited me to your house for coffee...even though our wives are friends.",,0,,,,,,
the godfather,L592849,L592850,1,1,u3094,BONASERA,u3098,DON CORLEONE,"BONASERA: What do you want of me? I'll give you anything you want, but do what I ask!","What do you want of me? I'll give you anything you want, but do what I ask!","DON CORLEONE: Bonasera, we know each other for years, but this is the first time you come to me for help. I don't remember the last time you invited me to your house for coffee...even though our wives are friends.",1,,,,,,"DON CORLEONE: Bonasera, we know each other for years, but this is the first time you come to me for help. I don't remember the last time you invited me to your house for coffee...even though our wives are friends."
the godfather,L592849,L592851,2,2,u3098,DON CORLEONE,u3094,BONASERA,DON CORLEONE: And what is that Bonasera?,And what is that Bonasera?,"DON CORLEONE: Bonasera, we know each other for years, but this is the first time you come to me for help. I don't remember the last time you invited me to your house for coffee...even though our wives are friends.
BONASERA: What do you want of me? I'll give you anything you want, but do what I ask!",2,,,,,"DON CORLEONE: Bonasera, we know each other for years, but this is the first time you come to me for help. I don't remember the last time you invited me to your house for coffee...even though our wives are friends.","BONASERA: What do you want of me? I'll give you anything you want, but do what I ask!"
the godfather,L592852,L592852,0,0,u3098,DON CORLEONE,,,DON CORLEONE: No. You ask for too much.,No. You ask for too much.,,0,,,,,,
the godfather,L592852,L592853,1,1,u3094,BONASERA,u3098,DON CORLEONE,BONASERA: I ask for Justice.,I ask for Justice.,DON CORLEONE: No. You ask for too much.,1,,,,,,DON CORLEONE: No. You ask for too much.
the godfather,L592852,L592854,2,2,u3098,DON CORLEONE,u3094,BONASERA,DON CORLEONE: The Court gave you justice.,The Court gave you justice.,"DON CORLEONE: No. You ask for too much.
BONASERA: I ask for Justice.",2,,,,,DON CORLEONE: No. You ask for too much.,BONASERA: I ask for Justice.
the godfather,L592852,L592855,3,3,u3094,BONASERA,u3098,DON CORLEONE,BONASERA: An eye for an eye!,An eye for an eye!,"DON CORLEONE: No. You ask for too much.
BONASERA: I ask for Justice.
DON CORLEONE: The Court gave you justice.",3,,,,DON CORLEONE: No. You ask for too much.,BONASERA: I ask for Justice.,DON CORLEONE: The Court gave you justice.
the godfather,L592852,L592856,4,4,u3098,DON CORLEONE,u3094,BONASERA,DON CORLEONE: But your daughter is still alive.,But your daughter is still alive.,"DON CORLEONE: No. You ask for too much.
BONASERA: I ask for Justice.
DON CORLEONE: The Court gave you justice.
BONASERA: An eye for an eye!",4,,,DON CORLEONE: No. You ask for too much.,BONASERA: I ask for Justice.,DON CORLEONE: The Court gave you justice.,BONASERA: An eye for an eye!
the godfather,L592852,L592857,5,5,u3094,BONASERA,u3098,DON CORLEONE,BONASERA: Then make them suffer as she suffers. How much shall I pay you.,Then make them suffer as she suffers. How much shall I pay you.,"DON CORLEONE: No. You ask for too much.
BONASERA: I ask for Justice.
DON CORLEONE: The Court gave you justice.
BONASERA: An eye for an eye!
DON CORLEONE: But your daughter is still alive.",5,,DON CORLEONE: No. You ask for too much.,BONASERA: I ask for Justice.,DON CORLEONE: The Court gave you justice.,BONASERA: An eye for an eye!,DON CORLEONE: But your daughter is still alive.
the godfather,L592858,L592858,0,0,u3098,DON CORLEONE,,,"DON CORLEONE: You never think to protect yourself with real friends. You think it's enough to be an American. All right, the Police protects you, there are Courts of Law, so you don't need a friend like me. But now you come to me and say Don Corleone, you must give me justice. And you don't ask in respect or friendship. And you don't think to call me Godfather; instead you come to my house on the day my daughter is to be married and you ask me to do murder...for money.","You never think to protect yourself with real friends. You think it's enough to be an American. All right, the Police protects you, there are Courts of Law, so you don't need a friend like me. But now you come to me and say Don Corleone, you must give me justice. And you don't ask in respect or friendship. And you don't think to call me Godfather; instead you come to my house on the day my daughter is to be married and you ask me to do murder...for money.",,0,,,,,,
the godfather,L592858,L592859,1,1,u3094,BONASERA,u3098,DON CORLEONE,BONASERA: America has been good to me...,America has been good to me...,"DON CORLEONE: You never think to protect yourself with real friends. You think it's enough to be an American. All right, the Police protects you, there are Courts of Law, so you don't need a friend like me. But now you come to me and say Don Corleone, you must give me justice. And you don't ask in respect or friendship. And you don't think to call me Godfather; instead you come to my house on the day my daughter is to be married and you ask me to do murder...for money.",1,,,,,,"DON CORLEONE: You never think to protect yourself with real friends. You think it's enough to be an American. All right, the Police protects you, there are Courts of Law, so you don't need a friend like me. But now you come to me and say Don Corleone, you must give me justice. And you don't ask in respect or friendship. And you don't think to call me Godfather; instead you come to my house on the day my daughter is to be married and you ask me to do murder...for money."
the godfather,L592858,L592860,2,2,u3098,DON CORLEONE,u3094,BONASERA,"DON CORLEONE: Then take the justice from the judge, the bitter with the sweet, Bonasera. But if you come to me with your friendship, your loyalty, then your enemies become my enemies, and then, believe me, they would fear you...","Then take the justice from the judge, the bitter with the sweet, Bonasera. But if you come to me with your friendship, your loyalty, then your enemies become my enemies, and then, believe me, they would fear you...","DON CORLEONE: You never think to protect yourself with real friends. You think it's enough to be an American. All right, the Police protects you, there are Courts of Law, so you don't need a friend like me. But now you come to me and say Don Corleone, you must give me justice. And you don't ask in respect or friendship. And you don't think to call me Godfather; instead you come to my house on the day my daughter is to be married and you ask me to do murder...for money.
BONASERA: America has been good to me...",2,,,,,"DON CORLEONE: You never think to protect yourself with real friends. You think it's enough to be an American. All right, the Police protects you, there are Courts of Law, so you don't need a friend like me. But now you come to me and say Don Corleone, you must give me justice. And you don't ask in respect or friendship. And you don't think to call me Godfather; instead you come to my house on the day my daughter is to be married and you ask me to do murder...for money.",BONASERA: America has been good to me...
the godfather,L592861,L592861,0,0,u3094,BONASERA,,,BONASERA: Be my friend.,Be my friend.,,0,,,,,,
the godfather,L592861,L592862,1,1,u3098,DON CORLEONE,u3094,BONASERA,DON CORLEONE: Good. From me you'll get Justice.,Good. From me you'll get Justice.,BONASERA: Be my friend.,1,,,,,,BONASERA: Be my friend.
the godfather,L592861,L592863,2,2,u3094,BONASERA,u3098,DON CORLEONE,BONASERA: Godfather.,Godfather.,"BONASERA: Be my friend.
DON CORLEONE: Good. From me you'll get Justice.",2,,,,,BONASERA: Be my friend.,DON CORLEONE: Good. From me you'll get Justice.
the godfather,L592861,L592864,3,3,u3098,DON CORLEONE,u3094,BONASERA,"DON CORLEONE: Some day, and that day may never come, I would like to call upon you to do me a service in return.","Some day, and that day may never come, I would like to call upon you to do me a service in return.","BONASERA: Be my friend.
DON CORLEONE: Good. From me you'll get Justice.
BONASERA: Godfather.",3,,,,BONASERA: Be my friend.,DON CORLEONE: Good. From me you'll get Justice.,BONASERA: Godfather.
the godfather,L592871,L592871,0,0,u3109,PAULIE,,,PAULIE: You look terrif on the floor!,You look terrif on the floor!,,0,,,,,,
the godfather,L592871,L592872,1,1,u3096,CLEMENZA,u3109,PAULIE,"CLEMENZA: What are you, a dance judge? Go do your job; take a walk around the neighborhood... see everything is okay.","What are you, a dance judge? Go do your job; take a walk around the neighborhood... see everything is okay.",PAULIE: You look terrif on the floor!,1,,,,,,PAULIE: You look terrif on the floor!
